15-112901,http://tshop.r10s.jp/malsyo/cabinet/mugen/mu-kahi-a.jpg?fitin=700:700,33696.0000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【ポイント10倍】 かに座 PLUS ハイタイプ (座面高：400mm) KP-200 無限工房 送料無料 ダイニングチェア イス 椅子 蟹座 人にやさしい椅子かに座PLUS,ダイニングチェア イス 椅子 かに座,"<img src=""http://image.rakuten.co.jp/malsyo/cabinet/mugen/mu-kahi-b.jpg"" width=""100%""><br><br>

人へのいたわりを目指す「かに座PLUS」シリーズ。家族からお年寄りまで安心して使える椅子は、座面の高さ、広さ、手すりの形状、全てにおいて人に優しい家具であると考えます。流行や時代に左右されず、安心して心地良く暮らすために。そして長く愛される優しいカタチ……。それが「かに座PULS」シリーズなのです。<br><br>

→ かに座 PLUS 商品一覧<br><br>

※北海道・沖縄・離島は別途追加送料がかかります<br><br>

【サイズ】 幅650×奥行582×高さ680×座面400mm<br>
【材質】 木部：ビーチ材 ※黒のみダークブラウン色、赤・ベージュ：張地 ファブリック(布) - ポリエステル100%、黒：ビニールレザー(合皮) - PUレザー<br>
【備考】 完成品<br><br>

ダイニングチェア イス 椅子 敬老の日 父の日 母の日 お年寄り プレゼント MUGEN 無限工房 通販 家具 インテリア<br><br>

※スマートフォン、モバイルページでは商品の説明や欠品情報など不十分な点がございます。お手数をおかけした際、ご容赦いただければ幸いです。<br>※メール未到着の場合は、お手数ではございますがご連絡をお願いいたします。翌営業日までに、当店からご注文確認メール（前払い決済メール含む）を送信しております。<br>",【ポイント10倍】 かに座 PLUS ハイタイプ (座面高：400mm) KP-200 無限工房 送料無料 ダイニングチェア イス 椅子 蟹座 人にやさしい椅子かに座PLUS：家具通販 まるしょうインテリア,家具インテリアテーブルデスクイスチェアソファベッド食器棚本棚タンステレビ台ローボードハンガー収納和家具ニーチェアYチェアCDラックベビーチェア【ポイント10倍】 かに座 PLUS ハイタイプ (座面高：400mm) KP-200 無限工房 送料無料 ダイニングチェア イス 椅子 蟹座 人にやさしい椅子かに座PLUS,ダイニングチェア イス 椅子 かに座。【ポイント10倍】 かに座 PLUS ハイタイプ (座面高：400mm) KP-200 無限工房 送料無料 ダイニングチェア イス 椅子 蟹座 人にやさしい椅子かに座PLUS[rn]
15-112976,http://tshop.r10s.jp/kokoroes/cabinet/02594993/imgrc0062962638.jpg?fitin=700:700,64400.0000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【イタリア製】クラシックダイニングチェア　アームチェア,インテリア|家具|イタリア製|雑貨|ミラー,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br>～優美な猫脚フォルムのイタリア製ダイニングチェアー～<br><br>
★ヨーロピアンインテリアの定番。ロングセラーアイテムです。<br>★優雅でシンプルなデザインなチェアー。高品質・低価格での御提供。<br>★座面は堅いウレタンを使用。長い年月使用頂いても美しい形状を保ち続けます。<br>★ホテル・ネイルサロン・レストラン等各種店舗用の什器として御使用頂けます。<br><br>
■サイズ：590×500×90(48mm)
<br>
■生産国：イタリア<br>■良品返品不可<br><br>【注意事項】<br>※閲覧するPCやスマホ等のディスプレイ環境の特性上、実際の色彩と異なった見え方をする場合があります。主観的なイメージ違い等による返品・交換は承れませんので予めご了承ください。",【イタリア製】クラシックダイニングチェア　アームチェア：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【イタリア製】クラシックダイニングチェア　アームチェア,インテリア|家具|イタリア製|雑貨|ミラー。【イタリア製】クラシックダイニングチェア　アームチェア[rn]
15-112977,http://tshop.r10s.jp/kokoroes/cabinet/simple/457/4573458153346.jpg?fitin=700:700,27494.4000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,天然木ナラ材ダイニングシリーズ ダイニングチェア ブラウン SNS16337005【北海道・沖縄・東北・離島等の地域は別途送料あり】,ナラ材ダイニングシリーズのダイニングチェア,"<p><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""></p>サイズ:57 x 62 x 81(SH44)cm<br>本体重量:11kg<br>生産国:中国<br>材質・天板:天然木ナラ材<br>材質・張り地:ファブリック、ウェービングベルト、ウレタンフォーム<br>大川家具 天然木ナラ材ダイニングシリーズのダイニングチェア。<br>同シリーズの幅150ダイニングテーブルと組み合わせてダイニングセットになります。<br>仕様:完成品<br>【大型家具配送に関する注意事項】<br>
この商品は通常配送と違い、大型家具配送の扱いとなります。<br>
1、北海道・沖縄県・青森県・岩手県・宮城県・秋田県・山形県・福島県・<br>
　　その他離島への配送は別途見積となります。<br>
　　また一部地域は配送不可の場合あります。<br>
　　(サイト内記載の運賃表と異なりますのでご注意ください)<br>
2、お届け日の指定はご希望に添えない場合があることを予めご了承ください。<br>
　　ご注文確認のメールでお届け予定日をご案内いたします。<br>
　　また配達時間の指定はできません。<br>
　　お届け予定の目安:ご注文から約10日から約15日後のお届け<br>
　　(日曜・祝日は配達できない場合があります)<br>
3、配達はお客様玄関渡しです。玄関から家の中などへの搬入はいたしません。<br>
4、組立・設置のご希望がある場合は、必ずご注文時に明記してください。<br>
　　設置場所などを確認の上、別途見積いたします。(ご注文確定後は受付不可)<br>
5、配達前に地域の家具配送会社からお客様にお電話にて配送予定の連絡を入れます。<br>
　　電話にて配達日確認の際、お客様と時間帯が合わずやむを得ず変更する場合<br>
　　があります。<br>
　　電話がつながらない場合など事前に連絡が付かない場合、配達予定日でも<br>
　　商品の持ち出しができませんので配達は繰り延べになります。<br>",天然木ナラ材ダイニングシリーズ ダイニングチェア ブラウン SNS16337005【北海道・沖縄・東北・離島等の地域は別途送料あり】：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier天然木ナラ材ダイニングシリーズ ダイニングチェア ブラウン SNS16337005【北海道・沖縄・東北・離島等の地域は別途送料あり】,ナラ材ダイニングシリーズのダイニングチェア。天然木ナラ材ダイニングシリーズ ダイニングチェア ブラウン SNS16337005【北海道・沖縄・東北・離島等の地域は別途送料あり】[rn]
15-112978,http://tshop.r10s.jp/kokoroes/cabinet/02594993/imgrc0062962973.jpg?fitin=700:700,92592.0000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【イタリア製】ダイニングチェアー,インテリア|家具|イタリア製|雑貨|ミラー,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br>
～優美なフォルムのイタリア製チェアー～<br><br>伝統の技を現在に継承するイタリアの家具職人が美しい彫刻を施し<br>当社はイタリアの工場を訪れ実際の目で確かな商材を直輸入しております。<br>
<br>★高品質・低価格での御提供。<br>★ホテル・ネイルサロン・レストラン等各種店舗用の什器として御使用頂けます。<br>
<br>
■サイズ：500×500×97(480mm)
<br>
■生産国：イタリア<br>
■良品返品不可<br>
■メーカー直送の為代引き不可<br>【注意事項】<br>※閲覧するPCやスマホ等のディスプレイ環境の特性上、実際の色彩と異なった見え方をする場合があります。主観的なイメージ違い等による返品・交換は承れませんので予めご了承ください。",【イタリア製】ダイニングチェアー：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【イタリア製】ダイニングチェアー,インテリア|家具|イタリア製|雑貨|ミラー。【イタリア製】ダイニングチェアー[rn]
15-112979,http://tshop.r10s.jp/kokoroes/cabinet/dskagu/dsproducts/008/0001451307-1.jpg?fitin=700:700,16928.8000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 アビーロード 家具雑貨 ダーク 家具雑貨  家具雑貨 ACO-0552 家具雑貨 RLB 家具雑貨 ダーク,インテリア|家具|収納|キャビネット,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""><br><br>※メーカーより直送される商品のため、商品代引決済はお受けできません。また、以下の場合には追加送料がかかる場合がございます。<br><br>・同梱区分が異なる商品の複数購入時<br>・大型商品の複数購入時<br>・沖縄、離島および一部地域への配送時<br><br>【発送目安】：<b>2 - 5営業日</b><br>【同梱区分】：<b>TS 1651</b><br>【梱包サイズ】：<b>大型商品</b><br><br>ミキモク ダイニングチェア アビーロード ダーク  ACO-0552 RLB ダーク<br><br>ミキモク<br>ACO-0552 RLB<br><br><br><br>カントリー調の個性的でレトロなデザインのダイニングシリーズでお部屋に独特な雰囲気を醸し出してくれます。<br>天然木のレッドオークを使用し特殊な加工塗装をほどこしています。<br>それぞれの材質（木質・木目）により違った色や質感に見えることもあります。<br><br>【種類】ダイニングチェア <br>【シリーズ名】アビーロード <br>【色】ダーク <br>【本体サイズ】サイズ：41x51x82x座面高さ44cm <br>【本体重量】12kg <br>【素材・材質】本体：ナラ／布 <br>【原産国】中国 <br>【その他】ポリウレタン塗装<br><br><br><font color=""red""><b>【在庫や納期について】</b></font><br><br><b>≪在庫状況≫</b><br>当店在庫は当店系列他店や実店舗などで共有しており、また、メーカー直送によるためのメーカー在庫品の商品があるため、ご注文のタイミングや情報変更処理等の影響により在庫が無い状態やお取り寄せが必要になる場合があります。<br>また、万が一欠品等で商品をご用意できない場合は大変不本意ではありますが、ご注文を一旦キャンセルさせていただく事がございます。予めご了承ください。<br><br><b>≪納期状況≫</b><br>商品ページ記載の納期情報はあくまでも「通常目安」であり確定されたものではありません。お急ぎの場合や厳格な日時指定をご希望の場合は、必ず事前にお問い合わせいただきますようお願いいたします。<br><br>",【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 アビーロード 家具雑貨 ダーク 家具雑貨  家具雑貨 ACO-0552 家具雑貨 RLB 家具雑貨 ダーク：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 アビーロード 家具雑貨 ダーク 家具雑貨  家具雑貨 ACO-0552 家具雑貨 RLB 家具雑貨 ダーク,インテリア|家具|収納|キャビネット。【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 アビーロード 家具雑貨 ダーク 家具雑貨  家具雑貨 ACO-0552 家具雑貨 RLB 家具雑貨 ダーク[rn]
15-112980,http://tshop.r10s.jp/kokoroes/cabinet/dskagu/dsproducts/025/0001451324-1.jpg?fitin=700:700,14168.0000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【お薦めの逸品】ミキモク 家具雑貨 ダイニングベンチ 家具雑貨 サライ 家具雑貨 ナチュラル 家具雑貨 カバー付 家具雑貨 アイボリー 家具雑貨 BC-10398 家具雑貨 TNA 家具雑貨  家具雑貨 ナチュラル,インテリア|家具|収納|キャビネット,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""><br><br>※メーカーより直送される商品のため、商品代引決済はお受けできません。また、以下の場合には追加送料がかかる場合がございます。<br><br>・同梱区分が異なる商品の複数購入時<br>・大型商品の複数購入時<br>・沖縄、離島および一部地域への配送時<br><br>【発送目安】：<b>2 - 5営業日</b><br>【同梱区分】：<b>TS 1651</b><br>【梱包サイズ】：<b>大型商品</b><br><br>ミキモク ダイニングベンチ サライ ナチュラル カバー付 アイボリー BC-10398 TNA  ナチュラル<br><br>ミキモク<br>BC-10398 TNA<br><br><br><br>木のぬくもりが感じられるダイニングシリーズ。チェア・テーブルは小ぶりに設計されており日本の住宅に適している。<br>カバーは取り外し可能でドライクリーニング対応。<br><br>【種類】ダイニングベンチ <br>【シリーズ名】サライ <br>【色】ナチュラル <br>【仕様】カバー付 アイボリー <br>【本体サイズ】サイズ：93x40x44cm <br>【本体重量】9kg <br>【素材・材質】本体：タモ材／布張り カバー：布（ポリエステル85%、ナイロン15%） <br>【原産国】ベトナム カバー：中国 <br>【その他】ベンチ：ポリウレタン塗装 カバー：ドライクリーニングのみ可<br><br><br><font color=""red""><b>【在庫や納期について】</b></font><br><br><b>≪在庫状況≫</b><br>当店在庫は当店系列他店や実店舗などで共有しており、また、メーカー直送によるためのメーカー在庫品の商品があるため、ご注文のタイミングや情報変更処理等の影響により在庫が無い状態やお取り寄せが必要になる場合があります。<br>また、万が一欠品等で商品をご用意できない場合は大変不本意ではありますが、ご注文を一旦キャンセルさせていただく事がございます。予めご了承ください。<br><br><b>≪納期状況≫</b><br>商品ページ記載の納期情報はあくまでも「通常目安」であり確定されたものではありません。お急ぎの場合や厳格な日時指定をご希望の場合は、必ず事前にお問い合わせいただきますようお願いいたします。<br><br>",【お薦めの逸品】ミキモク 家具雑貨 ダイニングベンチ 家具雑貨 サライ 家具雑貨 ナチュラル 家具雑貨 カバー付 家具雑貨 アイボリー 家具雑貨 BC-10398 家具雑貨 TNA 家具雑貨  家具雑貨 ナチュラル：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【お薦めの逸品】ミキモク 家具雑貨 ダイニングベンチ 家具雑貨 サライ 家具雑貨 ナチュラル 家具雑貨 カバー付 家具雑貨 アイボリー 家具雑貨 BC-10398 家具雑貨 TNA 家具雑貨  家具雑貨 ナチュラル,インテリア|家具|収納|キャビネット。【お薦めの逸品】ミキモク 家具雑貨 ダイニングベンチ 家具雑貨 サライ 家具雑貨 ナチュラル 家具雑貨 カバー付 家具雑貨 アイボリー 家具雑貨 BC-10398 家具雑貨 TNA 家具雑貨  家具雑貨 ナチュラル[rn]
15-112981,http://tshop.r10s.jp/kokoroes/cabinet/02594993/imgrc0062962641.jpg?fitin=700:700,53280.0000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【イタリア製】クラシックダイニングチェア　アームチェア,インテリア|家具|イタリア製|雑貨|ミラー,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br>～優美な猫脚フォルムのイタリア製ダイニングチェアー～<br><br>
★ヨーロピアンインテリアの定番。ロングセラーアイテムです。<br>★優雅でシンプルなデザインなチェアー。高品質・低価格での御提供。<br>★座面は堅いウレタンを使用。長い年月使用頂いても美しい形状を保ち続けます。<br>★ホテル・ネイルサロン・レストラン等各種店舗用の什器として御使用頂けます。<br><br>
■サイズ：590×580×90(48mm)
<br>
■生産国：イタリア<br>■良品返品不可<br><br>【注意事項】<br>※閲覧するPCやスマホ等のディスプレイ環境の特性上、実際の色彩と異なった見え方をする場合があります。主観的なイメージ違い等による返品・交換は承れませんので予めご了承ください。",【イタリア製】クラシックダイニングチェア　アームチェア：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【イタリア製】クラシックダイニングチェア　アームチェア,インテリア|家具|イタリア製|雑貨|ミラー。【イタリア製】クラシックダイニングチェア　アームチェア[rn]
15-112982,http://tshop.r10s.jp/kokoroes/cabinet/j155new/sh_001/sh-01ymir_a.jpg?fitin=700:700,21963.2000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,《素敵なインテリア》快適な座り心地！スタッキングダイニングチェア（2脚セット）-Ymir-ユミル,ダイニングチェア 2脚セット♪,"<p><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""></p><img src=""http://image.rakuten.co.jp/shozaioh/cabinet/m/sh-01ymir_sf01.jpg""><img src=""http://image.rakuten.co.jp/shozaioh/cabinet/m/sh-01ymir_sf02.jpg""><br /><br />【商品について】<br /><br />■サイズ：<br />外寸<br />（約）幅48x奥行き52.5x高さ78（座面高：45）cm<br />■素材：<br />天然木化粧繊維板（アッシュ）、ウレタン塗装、ポリエステル、コットン<br />■その他：<br />・完成品でのお届けです。（2脚入り/1梱包）<br />・同色2脚セットでの販売です。<br /><br>【注意事項】<br>■本商品はメーカーより直送にてお届けさせていただく商品ですので下記事項をご承諾いただきますようお願いいたします。<br>※ご注文を頂いてからの在庫確認・発注手配となります。<br>※ご注文のタイミングによっては欠品となる事があります。<br>※日時指定等が承れない事があります。<br>※商品代引決済はご利用できません。<br>商品発送後のキャンセルや別住所への転送はできません。",《素敵なインテリア》快適な座り心地！スタッキングダイニングチェア（2脚セット）-Ymir-ユミル：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier《素敵なインテリア》快適な座り心地！スタッキングダイニングチェア（2脚セット）-Ymir-ユミル,ダイニングチェア 2脚セット♪。《素敵なインテリア》快適な座り心地！スタッキングダイニングチェア（2脚セット）-Ymir-ユミル[rn]
15-112983,http://tshop.r10s.jp/kokoroes/cabinet/dskagu/dsproducts/027/0001451376-1.jpg?fitin=700:700,15272.0000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 ジャズフェスト 家具雑貨 ブラウン 家具雑貨  家具雑貨 PC-0665 家具雑貨 MBR 家具雑貨 ブラウン,インテリア|家具|収納|キャビネット,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""><br><br>※メーカーより直送される商品のため、商品代引決済はお受けできません。また、以下の場合には追加送料がかかる場合がございます。<br><br>・同梱区分が異なる商品の複数購入時<br>・大型商品の複数購入時<br>・沖縄、離島および一部地域への配送時<br><br>【発送目安】：<b>2 - 5営業日</b><br>【同梱区分】：<b>TS 1651</b><br>【梱包サイズ】：<b>大型商品</b><br><br>ミキモク ダイニングチェア ジャズフェスト ブラウン  PC-0665 MBR ブラウン<br><br>ミキモク<br>PC-0665 MBR<br><br><br><br>カナダパイン材に浮造りを施し、木の質感をアピールしたダイニングシリーズです。<br>全て手作業で仕上げているため1つ1つ違った味わいがあります。<br>使用中に発生した「ソリ」 「ねじれ」 「ひび割れ」 などは、年が経つにつれ変化する木の味わいと考えて頂ければ幸いです。<br>浮造り（うづくり）：木材の年輪を引き立てて見せるために、柔らかな部分を磨いてへこませ、木目の部分を浮き立つようにした仕上げ方法。<br><br>【種類】ダイニングチェア <br>【シリーズ名】ジャズフェスト <br>【色】ブラウン <br>【本体サイズ】サイズ：43x49.5x80.5x座面高さ43cm <br>【本体重量】10.6kg <br>【素材・材質】本体：カナダパイン／布 <br>【原産国】中国 <br>【その他】ポリウレタン塗装 浮造り加工<br><br><br><font color=""red""><b>【在庫や納期について】</b></font><br><br><b>≪在庫状況≫</b><br>当店在庫は当店系列他店や実店舗などで共有しており、また、メーカー直送によるためのメーカー在庫品の商品があるため、ご注文のタイミングや情報変更処理等の影響により在庫が無い状態やお取り寄せが必要になる場合があります。<br>また、万が一欠品等で商品をご用意できない場合は大変不本意ではありますが、ご注文を一旦キャンセルさせていただく事がございます。予めご了承ください。<br><br><b>≪納期状況≫</b><br>商品ページ記載の納期情報はあくまでも「通常目安」であり確定されたものではありません。お急ぎの場合や厳格な日時指定をご希望の場合は、必ず事前にお問い合わせいただきますようお願いいたします。<br><br>",【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 ジャズフェスト 家具雑貨 ブラウン 家具雑貨  家具雑貨 PC-0665 家具雑貨 MBR 家具雑貨 ブラウン：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 ジャズフェスト 家具雑貨 ブラウン 家具雑貨  家具雑貨 PC-0665 家具雑貨 MBR 家具雑貨 ブラウン,インテリア|家具|収納|キャビネット。【お薦めの逸品】ミキモク 家具雑貨 ダイニングチェア 家具雑貨 ジャズフェスト 家具雑貨 ブラウン 家具雑貨  家具雑貨 PC-0665 家具雑貨 MBR 家具雑貨 ブラウン[rn]
15-112984,http://tshop.r10s.jp/kokoroes/cabinet/simple/457/4573458156491.jpg?fitin=700:700,22667.2000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,天然木ロータイプダイニングチェア2脚セット ic0075【北海道・沖縄・東北・離島等の地域は別途送料あり】,大川家具 ウォールナット無垢材ダイニングチェア,"<p><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""></p>サイズ・チェア1脚あたり:45 x 51 x 76(SH44)cm<br>本体重量チェア1脚あたり:5kg<br>生産国:ベトナム<br>材質:天然木ウォールナット<br>材質・チェア張り地:PVC<br>製品仕様:完成品<br>大川家具 ウォールナット無垢材を使用したダイニングセチェア<br>【大型家具配送に関する注意事項】<br>
この商品は通常配送と違い、大型家具配送の扱いとなります。<br>
1、北海道・沖縄県・青森県・岩手県・宮城県・秋田県・山形県・福島県・<br>
　　その他離島への配送は別途見積となります。<br>
　　また一部地域は配送不可の場合あります。<br>
　　(サイト内記載の運賃表と異なりますのでご注意ください)<br>
2、お届け日の指定はご希望に添えない場合があることを予めご了承ください。<br>
　　ご注文確認のメールでお届け予定日をご案内いたします。<br>
　　また配達時間の指定はできません。<br>
　　お届け予定の目安:ご注文から約7日から約10日後のお届け<br>
　　(日曜・祝日は配達できない場合があります)<br>
3、配達はお客様玄関渡しです。玄関から家の中などへの搬入はいたしません。<br>
4、組立・設置のご希望がある場合は、必ずご注文時に明記してください。<br>
　　設置場所などを確認の上、別途見積いたします。(ご注文確定後は受付不可)<br>",天然木ロータイプダイニングチェア2脚セット ic0075【北海道・沖縄・東北・離島等の地域は別途送料あり】：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier天然木ロータイプダイニングチェア2脚セット ic0075【北海道・沖縄・東北・離島等の地域は別途送料あり】,大川家具 ウォールナット無垢材ダイニングチェア。天然木ロータイプダイニングチェア2脚セット ic0075【北海道・沖縄・東北・離島等の地域は別途送料あり】[rn]
15-112985,http://tshop.r10s.jp/kokoroes/cabinet/02594993/imgrc0062949896.jpg?fitin=700:700,51680.0000,,インテリア・寝具・収納 > イス・チェア > ダイニングチェア > 木製,【イタリア製】クラシックダイニングチェア　アームチェア,インテリア|家具|イタリア製|雑貨|ミラー,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br>～優美な猫脚フォルムのイタリア製ダイニングチェアー～<br><br>
★ヨーロピアンインテリアの定番。ロングセラーアイテムです。<br>★優雅でシンプルなデザインなチェアー。高品質・低価格での御提供。<br>★座面は堅いウレタンを使用。長い年月使用頂いても美しい形状を保ち続けます。<br>★ホテル・ネイルサロン・レストラン等各種店舗用の什器として御使用頂けます。<br><br>
■サイズ：580×580×900(48mm)
■生産国：イタリア<br>■良品返品不可<br><br>【注意事項】<br>※閲覧するPCやスマホ等のディスプレイ環境の特性上、実際の色彩と異なった見え方をする場合があります。主観的なイメージ違い等による返品・交換は承れませんので予めご了承ください。",【イタリア製】クラシックダイニングチェア　アームチェア：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【イタリア製】クラシックダイニングチェア　アームチェア,インテリア|家具|イタリア製|雑貨|ミラー。【イタリア製】クラシックダイニングチェア　アームチェア[rn]
