15-163801,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58462887.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
BR9 レガシィ ツーリングワゴン 2.5 GT
ボディ型式 ： DBA-BR9
エンジン型式 ： EJ25
年式 ： H21.05～ 
適合車両 
BRG レガシィ ツーリングワゴン 2.0 GT DIT
ボディ型式 ： DBA-BRG
エンジン型式 ： FA20
年式 ： H24.05～ 
出口形状   
117φラウンドスラッシュ（II・R.L） 
備考  
AT/MT(BRG)、CVT(BRG)共通",FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT[rn]
15-163812,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417134.jpg?fitin=700:700,25088.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L375S タント カスタム NA 2WDボディ型式 ： DBA-L375Sエンジン型式 ： KF-VE年式 ： H19.12～H23.06 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L175S ムーヴ カスタム ＮＡ 2WDボディ型式 ： DBA-L175Sエンジン型式 ： KF-VE年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 L575S ムーヴ コンテ カスタム NA 2WDボディ型式 ： DBA-L575Sエンジン型式 ： KF-VE年式 ： H20.08～H23.06<BR><BR>特記事項

<BR>

CVT車、AT車共通、カスタム専用",FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD[rn]
15-163813,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58484670.jpg?fitin=700:700,28000.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGH3 インプレッサ 1.5 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
GH2 インプレッサ 1.5 2WDボディ型式 ： DBA-GH2エンジン型式 ： EL15年式 ： H19.06～ 
<BR>

GH3 インプレッサ 1.5 4WDボディ型式 ： DBA-GH3エンジン型式 ： EL15年式 ： H19.06～ <BR><BR>
特記事項

<BR>AT車/MT車 共通",FGK（フジツボ）オーソライズＳマフラーGH3 インプレッサ 1.5 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGH3 インプレッサ 1.5 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGH3 インプレッサ 1.5 4WD[rn]
15-163814,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58720575.jpg?fitin=700:700,47600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
ZC32S スイフトスポーツボディ型式 ： CBA-ZC32Sエンジン型式 ： M16A年式 ： H23.12～ 

<BR><BR>

特記事項

<BR><BR>MT車、CVT車 共通
<BR>


備考
<BR><BR>
右側シングル出し",FGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ[rn]
15-163815,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416796.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>クリッパー リオ ターボ 4WDボディ型式 ： ABA-U72Wエンジン型式 ： 3G83年式 ： H19.06～ クリッパー リオ ターボ 2WDボディ型式 ： ABA-U71Wエンジン型式 ： 3G83年式 ： H19.06～ タウンボックス ターボ 4WDボディ型式 ： ABA-U62Wエンジン型式 ： 3G83年式 ： H16.10～ タウンボックス ターボ 2WDボディ型式 ： ABA-U61Wエンジン型式 ： 3G83年式 ： H16.10～  <BR><BR>特記事項

<BR>
エアロバージョン リヤアンダースポイラー装着車共通 
寒冷地仕様車共通",FGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラークリッパー リオ ターボ 2WD[rn]
15-163816,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58462944.jpg?fitin=700:700,34720.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&#12316;H24.8) エアロ付,送料無料(沖縄・離島除く）代引手数料無料 納期確認,NHP10 アクア 1.5 2WD エアロ付ボディ型式 ： DAA-NHP10エンジン型式 ： 1NZ-FXE年式 ： H23.12～H24.08,FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&amp;#12316;H24.8) エアロ付：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&amp;#12316;H24.8) エアロ付,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&amp;#12316;H24.8) エアロ付[rn]
15-163817,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417138.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L275S ミラ カスタム NA 2WD
L275S ミラ カスタム ターボ 2WD
L175S ムーヴ カスタム ターボ 2WD
L175S ムーヴ カスタム ＮＡ 2WD
L375S タント カスタム NA 2WD
L575S ムーヴ コンテ カスタム NA 2WD
L575S ムーヴ コンテ カスタム ターボ 2WD
L375S タント カスタム ターボ 2WD
L675S ミラ ココア NA 2WD
L455S タント エグゼ カスタム ターボ 2WD
L455F ルクラ カスタム ターボ 2WD
L575A ピクシス スペース カスタム ターボ 2WD

特記事項

CVT車、AT車共通、カスタム専用 
マッドガード（カスタム用・リア）装着車共通",FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD[rn]
15-163818,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58637867.jpg?fitin=700:700,33880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーKGJ10 iQ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"KGJ10 iQ 2WDボディ型式 ： DBA-KGJ10エンジン型式 ： 1KR-FE年式 ： H20.11～ 

<BR><BR>


<BR>特記事項

<BR>",FGK（フジツボ）オーソライズＳマフラーKGJ10 iQ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーKGJ10 iQ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーKGJ10 iQ 2WD[rn]
15-163819,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469784.jpg?fitin=700:700,36120.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド V/X,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
ATH20W アルファード ハイブリッド G/Xボディ型式 ： DAA-ATH20Wエンジン型式 ： 2AZ-FXE年式 ： H23.11～ ATH20W ヴェルファイア ハイブリッド V/Xボディ型式 ： DAA-ATH20Wエンジン型式 ： 2AZ-FXE年式 ： H23.11～",FGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド V/X：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド V/X,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーATH20W ヴェルファイア ハイブリッド V/X[rn]
15-163820,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58635253.jpg?fitin=700:700,36400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーZVW40W プリウスα 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"ZVW41W プリウスα 1.8 2WDボディ型式 ： DAA-ZVW41Wエンジン型式 ： 2ZR-FXE年式 ： H23.05～
<BR><BR>
ZVW40W プリウスα 1.8 2WDボディ型式 ： DAA-ZVW40Wエンジン型式 ： 2ZR-FXE年式 ： H23.05～ 

<BR>特記事項

<BR>5人乗り、7人乗り 共通 
 
<BR><BR>
ディーラーオプション　モデリスタ　リヤスカート（D2641-34210-※※）装着車 共通",FGK（フジツボ）オーソライズＳマフラーZVW40W プリウスα 1.8 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーZVW40W プリウスα 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーZVW40W プリウスα 1.8 2WD[rn]
15-163821,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58680534.jpg?fitin=700:700,35280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD前期,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
RN6 ストリーム 1.8 2WDボディ型式 ： DBA-RN6エンジン型式 ： R18A年式 ： H18.07～H21.06 RN8 ストリーム 2.0 2WDボディ型式 ： DBA-RN8エンジン型式 ： R20A年式 ： H18.07～H21.06 RN6 ストリーム 1.8 2WD マイナー後ボディ型式 ： DBA-RN6エンジン型式 ： R18A年式 ： H21.06～ RN8 ストリーム 2.0 2WD マイナー後ボディ型式 ： DBA-RN8エンジン型式 ： R20A年式 ： H21.06～ 

<BR><BR>
特記事項

<BR>
RN6(M/C前)：X、RSZ共通 
RN6(M/C後)：RSZ、RST共通 
RN8(M/C前)：G、RSZ共通 
RN8(M/C後)：RST専用




備考

 詳細データは1.8(RN6)のもの",FGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD前期：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD前期,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD前期[rn]
15-163822,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60965033.jpg?fitin=700:700,70560.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーZRR80W ヴォクシー ZS 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR><BR>

ZRR80W ヴォクシー ZS 2WD
    ボディ型式 ： DBA-ZRR80W
    エンジン型式 ： 3ZR-FAE
    年式 ： H26.01～ 
<BR><BR>
ZRR80W ノア Ｓｉ 2ＷＤ
    ボディ型式 ： DBA-ZRR80Ｗ
    エンジン型式 ： 3ZR-FAE
    年式 ： H26.01～ 
<BR><BR>
特記事項 リア大型バンパー（3ナンバー）車両専用
Wテール左右出し",FGK（フジツボ）オーソライズＲマフラーZRR80W ヴォクシー ZS 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーZRR80W ヴォクシー ZS 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーZRR80W ヴォクシー ZS 2WD[rn]
15-163823,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58483151.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーYA4 エクシーガ 2.0 NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
YA5 エクシーガ 2.0 ターボボディ型式 ： DBA-YA5エンジン型式 ： EJ20年式 ： H22.08～ 
<BR>YA9 エクシーガ 2.5 NAボディ型式 ： DBA-YA9エンジン型式 ： EJ25年式 ： H21.12～ 
<BR>YA4 エクシーガ 2.0 NA 2WDボディ型式 ： DBA-YA4エンジン型式 ： EJ20年式 ： H20.06～ 

<BR><BR>
リヤバンパースカート（スタンダード）<BR>「E5617YC000##」装着車共通",FGK（フジツボ）オーソライズＳマフラーYA4 エクシーガ 2.0 NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーYA4 エクシーガ 2.0 NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーYA4 エクシーガ 2.0 NA 2WD[rn]
15-163824,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58720608.jpg?fitin=700:700,68880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーRK1 ステップワゴン 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
RK1 ステップワゴン 2.0 2WDボディ型式 ： DBA-RK1エンジン型式 ： R20A年式 ： H21.10～  <BR><BR>
RK5 ステップワゴン スパーダ 2.0 2WDボディ型式 ： DBA-RK5エンジン型式 ： R20A年式 ： H21.10～ 

 <BR><BR>


特記事項

<BR>
リヤバンパー内側カバー要取外し
<BR>
備考
<BR><BR>
規定回転に達しない為、測定可能な3950rpmにて測定",FGK（フジツボ）オーソライズＲマフラーRK1 ステップワゴン 2.0 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーRK1 ステップワゴン 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーRK1 ステップワゴン 2.0 2WD[rn]
15-163825,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60950391.jpg?fitin=700:700,64400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーRC1 オデッセイ アブソルート 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR><BR>

RC1 オデッセイ アブソルート 2WD
    ボディ型式 ： DBA-RC1
    エンジン型式 ： K24W
    年式 ： H25.11～ 


<BR><BR>
特記事項 アブソルート専用",FGK（フジツボ）オーソライズＳマフラーRC1 オデッセイ アブソルート 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーRC1 オデッセイ アブソルート 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーRC1 オデッセイ アブソルート 2WD[rn]
15-163826,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58707684.jpg?fitin=700:700,49840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズRMマフラーGVF WRX STI 4door A-Line,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
GVF WRX STI 4door A-Lineボディ型式 ： CBA-GVFエンジン型式 ： EJ25年式 ： H22.07～ 
<BR><BR>
GVB WRX STI 4doorボディ型式 ： CBA-GVBエンジン型式 ： EJ20年式 ： H22.07～ 


 <BR><BR>
特記事項

<BR>
詳細データはGVFのもの。 
純正バンパーのマフラー開口部（左側）をドレスアップする、オプションバンパーカバー（073-63082）がオススメ。",FGK（フジツボ）オーソライズRMマフラーGVF WRX STI 4door A-Line：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズRMマフラーGVF WRX STI 4door A-Line,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズRMマフラーGVF WRX STI 4door A-Line[rn]
15-163827,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469947.jpg?fitin=700:700,47600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両

ZC32S スイフトスポーツボディ型式 ： CBA-ZC32Sエンジン型式 ： M16A年式 ： H23.12～ 


特記事項

<BR>MT車、CVT車 共通
 <BR> 右側シングル出し",FGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーZC32S スイフトスポーツ[rn]
15-163828,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59755889.jpg?fitin=700:700,56000.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラーNF15 ジューク ニスモ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>NF15 ジューク ニスモボディ型式 ： CBA-NF15エンジン型式 ： MR16DDT年式 ： H25.02～8  

<BR><BR>
特記事項
NISMOグレード専用
 <BR><BR>


備考
ステンレス＋カーボンモデル",FGK（フジツボ）オーソライズＲMマフラーNF15 ジューク ニスモ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラーNF15 ジューク ニスモ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラーNF15 ジューク ニスモ[rn]
15-163829,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58634342.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーVY12 ADバン 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"VY12 ADエキスパート 1.5 2WDボディ型式 ： DBF-VY12エンジン型式 ： HR15DE年式 ： H19.01～ 

<BR><BR>
VY12 ADバン 1.5 2WDボディ型式 ： DBF-VY12エンジン型式 ： HR15DE年式 ： H19.01～",FGK（フジツボ）オーソライズＳマフラーVY12 ADバン 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーVY12 ADバン 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーVY12 ADバン 1.5 2WD[rn]
15-163830,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59476708.jpg?fitin=700:700,49840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 

特記事項
カスタム(CVT車)専用
 

備考
詳細データはL175S ムーヴ カスタム ターボ 2WDのものです",FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD[rn]
15-163831,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305778.jpg?fitin=700:700,25760.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）レガリスKマフラーMC22S ワゴンR NA 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
MG21S モコ NA 2WD・4WDボディ型式 ： UA,CBA-MG21S・LA,ABA-MG21Sエンジン型式 ： K6A年式 ： H14.04～H18.01 
<BR><BR>
MC22S ワゴンR NA 2WD マイナー後ボディ型式 ： UA-MC22Sエンジン型式 ： K6A年式 ： H14.09～H15.09 
<BR><BR>
MF21S MRワゴン NA 2WDボディ型式 ： LA,UA,CBA-MF21Sエンジン型式 ： K6A年式 ： H13.12～H18.01 






純正リヤロアスカート装着車共通、但しモデューロタイプZZ装着車取付不可",FGK（フジツボ）レガリスKマフラーMC22S ワゴンR NA 2WD マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）レガリスKマフラーMC22S ワゴンR NA 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）レガリスKマフラーMC22S ワゴンR NA 2WD マイナー後[rn]
15-163832,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58720594.jpg?fitin=700:700,86800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーCKV36 スカイライン クーペ 3.7 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
CKV36 スカイライン クーペ 3.7 2WDボディ型式 ： DBA-CKV36エンジン型式 ： VQ37VHR年式 ： H19.10～  

<BR><BR>

特記事項

<BR><BR>4輪アクティブ ステア(4WAS)共通

<BR>
備考
<BR><BR>",FGK（フジツボ）オーソライズＲマフラーCKV36 スカイライン クーペ 3.7 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーCKV36 スカイライン クーペ 3.7 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーCKV36 スカイライン クーペ 3.7 2WD[rn]
