24-20741,http://tshop.r10s.jp/monju/cabinet/one_item/ono/img61661096.jpg?fitin=700:700,1391.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,RINGSTAR(リングスター)ツールバックテイスト　オレンジ,,"フルオープンで取出し易い！<br>
大口開口部で出し入れ簡単<br>
<p>
工具の収納に便利な内側ポケット付き<br>
（９か所）<br>
<P>
サイズ：330(L)×230(W)×230(H)mm<br>
ショルダーベルト付き<br>",RINGSTAR(リングスター)ツールバックテイスト　オレンジ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRINGSTAR(リングスター)ツールバックテイスト　オレンジ,RINGSTAR(リングスター)ツールバックテイスト　オレンジ[rn]
24-20779,http://tshop.r10s.jp/monju/cabinet/engineer-2011/dr-61.jpg?fitin=700:700,606.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ENGINEERビットピット(ドライバービット用携帯ホルダー)DR-61/DR-62,,"<center>
<TABLE border=""0"">
        <TR>
      <TD colspan=""2"" align=""center""><B><FONT color=""#666666"">電気工事士ご用達！　ドライバービット用携帯ホルダー</FONT></B></TD>
    </TR><TR>
    <TD colspan=""2"">　</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><B><FONT size=""-1"">下向きスライド方式</FONT></B></TD>
  </TR><TR>
      <TD align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/engineer-2011/dr-61-02.jpg""></TD>
      <TD align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/engineer-2011/dr-61-01.jpg""></TD>
    </TR><TR>
    <TD colspan=""2"">　</TD>
  </TR><TR>
    <TD colspan=""2"" align=""center"">【特徴】</TD>
  </TR><TR>
    <TD colspan=""2""><FONT size=""-1"">◆コンパクトでおしゃれなビットホルダー</FONT></TD>
  </TR><TR>
    <TD colspan=""2""><FONT size=""-1"">◆ワンタッチで瞬間着脱</FONT></TD>
  </TR><TR>
    <TD colspan=""2""><FONT size=""-1"">◆カラビナと併せて使用すればさらに便利！</FONT></TD>
  </TR><TR>
    <TD colspan=""2"">　</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">【製品仕様】</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><IMG src=""http://image.rakuten.co.jp/monju/cabinet/engineer-2011/dr-61-03.gif""></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><TABLE border=""1"">
    <TR>
      <TD align=""center""><B><FONT size=""-1"">材質</FONT></B></TD>
      <TD align=""center""><FONT size=""-1""><B>サイズ</B></FONT></TD>
      <TD align=""center""><B><FONT size=""-1"">重量</FONT></B></TD>
    </TR>
    <TR>
      <TD align=""center""><FONT size=""-1"">鉄</FONT></TD>
      <TD align=""center""><FONT size=""-1"">35mm×14mm</FONT></TD>
      <TD align=""center""><FONT size=""-1"">20g</FONT></TD>
    </TR>
 </TABLE></TD>
  </TR></TABLE></center><br>",ENGINEERビットピット(ドライバービット用携帯ホルダー)DR-61/DR-62：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアENGINEERビットピット(ドライバービット用携帯ホルダー)DR-61/DR-62,ENGINEERビットピット(ドライバービット用携帯ホルダー)DR-61/DR-62[rn]
24-20780,http://tshop.r10s.jp/monju/cabinet/eigertool-2013/ksg-8-00.jpg?fitin=700:700,1848.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,モトコマ万能電ドルキャッチャー,,"インパクトドライバーやドライバードリル（キーレスチャック）の携帯に<br>
電ドルキャッチャーの改良版登場！！<br>
電ドル先端を装着部を取り除き、ドリル本体のみをホールドする部分を多く設けたことにより、日立・マキタ・リョービなど様々な形状のドリルに取り付けられます<br>
(※一部の機種で、使用できない場合がございますが、ご了承ください)<br>
ホルダーはスライド式で、作業中カラビナ引っ掛けが邪魔になりません<br>
全種類、錆びに強いステンレスを使用しています<br>
スライド式なので、電ドルに装着したまま工具箱などに収納できます<br>
★別売のアルミカラビナフックを併用してご使用ください<br><br>
フック部：スライド式<br>
適応機種：インパクトドライバー、ドライバドリル等<br>
キーレスチャックタイプ対応<br>
サイズ：70×115×75mm<br>
重量：122g<br>",モトコマ万能電ドルキャッチャー：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアモトコマ万能電ドルキャッチャー,モトコマ万能電ドルキャッチャー[rn]
24-20781,http://tshop.r10s.jp/monju/cabinet/eigertool-2013/tst-5-00.jpg?fitin=700:700,1671.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,モトコマソケットサポートホルダーブラック 1P,,"ソケットやドリルチャック、ビットの携帯に！<br>
色別にソケットのサイズ振り分けや種類別に収納できます<br>
チャックを増やせば、5本までのアイテムが携帯可能<br>
360度回転できるので、左右の入れ替えも楽々！<br>
ホルダー：1P<br>
回転プレート：360゜回転可能<br>
差し込むだけで簡単ロック<br><br>
サイズ：117×90×30mm<br>
重量：160g<br>",モトコマソケットサポートホルダーブラック 1P：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアモトコマソケットサポートホルダーブラック 1P,モトコマソケットサポートホルダーブラック 1P[rn]
24-20782,http://tshop.r10s.jp/monju/cabinet/eigertool/1325-00.jpg?fitin=700:700,7680.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,古沢製作所爪美人　雅　黒色(爪切り)白木化粧箱入,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b>金粉をあしらった美しい風合いの「和」のツメ切り</b></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">スプリングには耐久性において特に優れた樽バネを使用、アクセントに純金メッキを施しました<br>
    ドレスを着た女性をイメージした美しいフォルム(ボトルライン)</font></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/1325-01.jpg""></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">全長：120mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">重量：80g</font></td>
  </tr><tr>
    <td align=""left""></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃形状を斜めにしてあるため、爪切断時の視認性がとてもよく、<br>
    特に足の爪を切る際に楽に切れます</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃先端が鋭利ですので爪の端部分に食い込みがとてもよく、<br>
    巻き爪や厚爪・変形して切り難しくなった爪もラクラク切断できます</font></td>
  </tr>
</table>
</center><br>",古沢製作所爪美人　雅　黒色(爪切り)白木化粧箱入：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア古沢製作所爪美人　雅　黒色(爪切り)白木化粧箱入,古沢製作所爪美人　雅　黒色(爪切り)白木化粧箱入[rn]
24-20783,http://tshop.r10s.jp/monju/cabinet/eigertool/1356-00.jpg?fitin=700:700,5280.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,古沢製作所爪美人　ゴールド(爪切り),,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b>見た目が派手で「豪華」なツメ切り</b></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">すべてに鮮やかな純金メッキを施しました</font></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">全長：120mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">重量：65g</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃形状を斜めにしてあるため、爪切断時の視認性がとてもよく、特に足の爪を切る際に楽に切れます</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃先端が鋭利ですので爪の端部分に食い込みがとてもよく、巻き爪や厚爪・変形して切り難しくなった爪もラクラク切断できます</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※握り部分に穴を開けて軽量化と滑り止めを施しています</font></td>
  </tr>
</table>
</center><BR><br>",古沢製作所爪美人　ゴールド(爪切り)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア古沢製作所爪美人　ゴールド(爪切り),古沢製作所爪美人　ゴールド(爪切り)[rn]
24-20784,http://tshop.r10s.jp/monju/cabinet/eigertool/1226-00.jpg?fitin=700:700,1600.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,古沢製作所爪美人　ブラック(爪切り),,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b>爪美人のプレミアムの廉価版</b></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">斬れ味は、爪美人プレミアムと同等です</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">防錆効果の高い、黒色カチオン処理を施しました</font></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">全長：120mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">重量：80g</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※握りやすいボトルライン形状</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃形状を斜めにしてあるため、爪切断時の視認性がとてもよく、特に足の爪を切る際に楽に切れます</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃先端が鋭利ですので爪の端部分に食い込みがとてもよく、巻き爪や厚爪・変形して切り難しくなった爪もラクラク切断できます</font></td>
  </tr>
</table>
</center><br>",古沢製作所爪美人　ブラック(爪切り)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア古沢製作所爪美人　ブラック(爪切り),古沢製作所爪美人　ブラック(爪切り)[rn]
24-20785,http://tshop.r10s.jp/monju/cabinet/eigertool/1349-00.jpg?fitin=700:700,4224.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,古沢製作所爪美人　可憐(爪切り),,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b>女性の為の「化粧品」のようなツメ切り</b></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">こだわり抜いた染料を選別しプロによる焼き付け塗装で美しく仕上げ、化粧台の上に化粧品と一緒に並べて置いても、まったく違和感が無い、女性の為の爪切</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">巻き爪で変形した爪も切りやすく、爪の厚みが薄く切り難い方でも安心して使えるように刃の付け方にもこだわりました</font></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">全長：120mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">重量：80g</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃形状を斜めにしてあるため、爪切断時の視認性がとてもよく、特に足の爪を切る際に楽に切れます</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃先端が鋭利ですので爪の端部分に食い込みがとてもよく、巻き爪や厚爪・変形して切り難しくなった爪もラクラク切断できます</font></td>
  </tr>
</table>
</center><br>",古沢製作所爪美人　可憐(爪切り)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア古沢製作所爪美人　可憐(爪切り),古沢製作所爪美人　可憐(爪切り)[rn]
24-20786,http://tshop.r10s.jp/monju/cabinet/one_item/img56057061.jpg?fitin=700:700,816.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,RINGSTAR(リングスター)スーパーバスケット　ブラウン,,"<FONT color=""#ff0033"" size=""+2""><B>こんな悩みを即解消！</B></FONT><BR>
<BR>
収納時には積み重ねが出来ない<BR>
単色の為、色分け収納が出来ない<BR>
大型工具・道具が収納しにくい<BR>
<BR>
<BR>
<B><FONT color=""#ff0033"" size=""+2"">こんな場面で活躍！</FONT></B><BR>
<BR>
レジャー・キャンプ・バーベキュー<BR>
スーパーマーケット、ショッピングセンター<BR>
大工現場、工事現場<BR>
子供の、おもちゃ入れ<BR>
<BR>
<BR>
<FONT color=""#0033cc"">簡単に言えば、コンビニやスパーに置いてる<BR>
買い物かごを丈夫にした感じです</FONT></P>
<P><BR>
サイズ： 465×385×280H(mm)<BR>
重量： 1.4kg<BR>
仕切り板：１枚付き<BR>
材質：高耐衝撃性コーポリマー使用</P><br>",RINGSTAR(リングスター)スーパーバスケット　ブラウン：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアRINGSTAR(リングスター)スーパーバスケット　ブラウン,RINGSTAR(リングスター)スーパーバスケット　ブラウン[rn]
24-20787,http://tshop.r10s.jp/monju/cabinet/eigertool/1219-00.jpg?fitin=700:700,1600.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,古沢製作所ペット用爪切りだワン！,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b>痛がる愛犬のために造った爪切り</b></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">全長：125mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">重量：80g</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃部開口部を広くとり柄は柔らかく滑りにくいレジンを施しました</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※スプリングも荷重の弱い物を使い、握る力の負担を軽減しました</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃形状を斜めにしてあるため、爪切断時の視認性がとてもよく、特に削る際に楽に切れます</font></td>
  </tr>
</table>
</center><br>",古沢製作所ペット用爪切りだワン！：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア古沢製作所ペット用爪切りだワン！,古沢製作所ペット用爪切りだワン！[rn]
24-20788,http://tshop.r10s.jp/monju/cabinet/eigertool/1066-00.jpg?fitin=700:700,1536.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,古沢製作所斜刃爪切り,,"<center>
<table border=""0"">
  <tr>
    <td align=""center""><b>「安価なれど高級品」の爪切り</b></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">昔からある製品　長く愛用されています</font></td>
  </tr><tr>
    <td>　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">全長：100mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">重量：50g</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃形状を斜めにいるため、爪切断時の視認性がとてもよく、特に足の爪を切る際に楽に切れます</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">※刃先端が鋭利ですので爪の端部分に食い込みがとてもよく、巻き爪や厚爪・変形して切り難くなった爪も楽々切断できます</font></td>
  </tr>
</table>
</center><br>",古沢製作所斜刃爪切り：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア古沢製作所斜刃爪切り,古沢製作所斜刃爪切り[rn]
24-20789,http://tshop.r10s.jp/monju/cabinet/00564959/img55989083.jpg?fitin=700:700,915.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,フマキラー　じゃんぼ蚊取り線香　50巻き,,"特徴<br>
●持続時間はレギュラータイプの1.6倍で、安定した効き目が11時間以上持続します。<br>
●天然香料の涼やかな香りで燃焼時の刺激臭もさらに低減しました。<br>
●吟味した原料を均一に練り合わせることで、ムラのない仕上がりを実現しました。<br>
<p>
用途<br>
●蚊の駆除。<br>
<p>
注意事項<br>
●防除用医薬部外品です。<br>
<p>
●生産国 日本<br>",フマキラー　じゃんぼ蚊取り線香　50巻き：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアフマキラー　じゃんぼ蚊取り線香　50巻き,フマキラー　じゃんぼ蚊取り線香　50巻き[rn]
24-20790,http://tshop.r10s.jp/monju/cabinet/eigertool/707f5.jpg?fitin=700:700,15573.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,アイガーワゴンベーシックタイプイエロー　KT-707F5,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" colspan=""2""><B><FONT color=""#009900"">プレートはプラスチックで軽くて、洗える！！</FONT></B></TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-05.jpg""></TD>
  </TR><TR>
    <TD colspan=""2""><hr></TD>
  </TR><TR>
    <TD colspan=""2"">
    <TABLE border=""1"">
      <TR>
        <TD align=""center""><FONT size=""-1"">全体寸法</FONT></TD>
        <TD align=""center""><FONT size=""-1"">幅750mm×高さ980mm×奥行460mm</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">重量</FONT></TD>
        <TD align=""center""><FONT size=""-1"">約11.4kg</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">材質</FONT></TD>
        <TD align=""center""><FONT size=""-1"">アルミ/プラ(PP)</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">支柱規格</FONT></TD>
        <TD align=""center""><FONT size=""-1"">280mm×8本(アルミ)</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">耐荷重</FONT></TD>
        <TD align=""center""><FONT size=""-1"">1段につき60kg</FONT></TD>
      </TR>
    </TABLE>
    </TD>
  </TR><TR>
    <TD colspan=""2"">　</TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><FONT size=""-1"">ステップストッパー<BR>
    ステップを軽く踏むだけでON/OFF</FONT></TD>
  </TR><TR>
    <TD align=""center""><IMG src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-03.jpg""></TD>
    <TD align=""center""><IMG src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-02.jpg""></TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><FONT size=""-1"">φ100mm自在キャスタ×4<BR>
    (2個はステップストッパー付)</FONT></TD>
  </TR><TR>
    <TD colspan=""2""><hr></TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-04.jpg""></TD>
  </TR><TR>
    <TD colspan=""2""><hr></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">【707ワゴンシリーズ】</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ブラック
　ホワイト　
ブルー　
グリーン　
レッド　
イエロー</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">プレート2段ブラック</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">メッシュ左右2枚セット　トレー 44.5L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">　</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">【909ワゴンシリーズ】</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">プレート3段ブラック　　 プレート2段ブラック</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">トレー 38.3L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">　</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">【共通オプション】</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ゴムバイス・ゴムフック</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ホルダー　10L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ホルダー　25L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ホルダー　30L</FONT></TD>
  </TR></TABLE>
</CENTER><br>",アイガーワゴンベーシックタイプイエロー　KT-707F5：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアアイガーワゴンベーシックタイプイエロー　KT-707F5,アイガーワゴンベーシックタイプイエロー　KT-707F5[rn]
24-20791,http://tshop.r10s.jp/monju/cabinet/eigertool/707f3.jpg?fitin=700:700,15573.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,アイガーワゴンベーシックタイプグリーン　KT-707F3,,"<CENTER>
<TABLE border=""0"">
  <TR>
    <TD align=""center"" colspan=""2""><B><FONT color=""#009900"">プレートはプラスチックで軽くて、洗える！！</FONT></B></TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-05.jpg""></TD>
  </TR><TR>
    <TD colspan=""2""><hr></TD>
  </TR><TR>
    <TD colspan=""2"">
    <TABLE border=""1"">
      <TR>
        <TD align=""center""><FONT size=""-1"">全体寸法</FONT></TD>
        <TD align=""center""><FONT size=""-1"">幅750mm×高さ980mm×奥行460mm</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">重量</FONT></TD>
        <TD align=""center""><FONT size=""-1"">約11.4kg</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">材質</FONT></TD>
        <TD align=""center""><FONT size=""-1"">アルミ/プラ(PP)</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">支柱規格</FONT></TD>
        <TD align=""center""><FONT size=""-1"">280mm×8本(アルミ)</FONT></TD>
      </TR><TR>
        <TD align=""center""><FONT size=""-1"">耐荷重</FONT></TD>
        <TD align=""center""><FONT size=""-1"">1段につき60kg</FONT></TD>
      </TR>
    </TABLE>
    </TD>
  </TR><TR>
    <TD colspan=""2"">　</TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><FONT size=""-1"">ステップストッパー<BR>
    ステップを軽く踏むだけでON/OFF</FONT></TD>
  </TR><TR>
    <TD align=""center""><IMG src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-03.jpg""></TD>
    <TD align=""center""><IMG src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-02.jpg""></TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><FONT size=""-1"">φ100mm自在キャスタ×4<BR>
    (2個はステップストッパー付)</FONT></TD>
  </TR><TR>
    <TD colspan=""2""><hr></TD>
  </TR><TR>
    <TD colspan=""2"" align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/eigertool/707f-04.jpg""></TD>
  </TR><TR>
    <TD colspan=""2""><hr></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">【707ワゴンシリーズ】</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ブラック
　ホワイト　
ブルー　
グリーン　
レッド　
イエロー</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">プレート2段ブラック</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">メッシュ左右2枚セット　トレー 44.5L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">　</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">【909ワゴンシリーズ】</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">プレート3段ブラック　　 プレート2段ブラック</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">トレー 38.3L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">　</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2"">【共通オプション】</TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ゴムバイス・ゴムフック</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ホルダー　10L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ホルダー　25L</FONT></TD>
  </TR><TR>
    <TD align=""center"" colspan=""2""><FONT size=""-1"">ホルダー　30L</FONT></TD>
  </TR></TABLE>
</CENTER><br>",アイガーワゴンベーシックタイプグリーン　KT-707F3：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアアイガーワゴンベーシックタイプグリーン　KT-707F3,アイガーワゴンベーシックタイプグリーン　KT-707F3[rn]
