19-96101,http://tshop.r10s.jp/akibamac/cabinet/04462522/4905090399606.jpg?fitin=700:700,12624.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】オーデリックLEDスタンド OT209701LD 電球色,,白熱灯60W相当。,【送料無料】オーデリックLEDスタンド OT209701LD 電球色：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】オーデリックLEDスタンド OT209701LD 電球色,【送料無料】オーデリックLEDスタンド OT209701LD 電球色[rn]
19-96143,http://tshop.r10s.jp/hmfurniture/cabinet/lighting/lt003-wn-600-top.jpg?fitin=700:700,99200.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【日本製！リプロダクト品】 TALIESIN2 （ タリアセン2 ） 【10灯】150cmタイプ　フランク・ロイド・ライト ウォールナット 【送料無料】 フロアスタンド　デザイン 照明 北欧 Walnut 【業務用】,リプロダクト TALIESIN2/タリアセン2 10灯 150cm ウォールナット,"<center><img src=""http://www.rakuten.ne.jp/gold/hmfurniture/images/sumaho/sma_taliesin2-w.jpg"" width=""100%""><br><img border=""0"" src=""http://image.rakuten.co.jp/hmfurniture/cabinet/lighting/taliesin_delivery_60.jpg""/><br><img border=""0"" src=""http://image.rakuten.co.jp/hmfurniture/cabinet/swan/reviewdiscount.jpg"" /></center>
日本の大手照明メーカーの下請け企業として、和風照明を製作している工房にて生産していますので、安心・安全な商品です。日本国内の電気に関するPSE（電気安全法）適合品です。リプロダクト品。
日本の住環境に合わせて、高さを150ｃｍにリメイクしております。
帝国ホテルなどの建築デザインなどを手がけた世界的な建築家フランク・ロイド・ライトの名作であるこのフロアーランプの「TALIESIN 2」及びテーブルランプの「TALIESIN 3」は、幾つものチェリー材のブロックで構成され、それぞれのブロックに白熱電球が組み込まれています。この照明は計算されたデザインで、木目と木漏れ日の光のコンストラクトが相まって暖かくムーディーな空間を演出してくれます。合板の遮光板を取り付けることで、間接光の心地よい明るさが得られるようになっています。 
<br>
サイズ：W26×D26×H150cm<br>
材質：ウォールナット<br>
セード：ウォールナット無垢材+オイルフィニッシュ<br> 　 
反射板：ウォールナット突板<br>
送　料:無料（沖縄、離島は非対応）<br>
備　考:ワット数：15w×10個＝150w、口径サイズ：E17",【日本製！リプロダクト品】 TALIESIN2 （ タリアセン2 ） 【10灯】150cmタイプ　フランク・ロイド・ライト ウォールナット 【送料無料】 フロアスタンド　デザイン 照明 北欧 Walnut 【業務用】：Ｈ＋ｍＦｕｒｎｉｔｕｒｅ,アルミナムチェア　アルミナムグループチェアオーガニックチェアチューリップチェア　ファブリック　ブラック脚チューリップアームチェアシェルチェア　DSW　DSRセブンチェアスワンチェア　本革　イタリアンレザーLC2　グランコンフォート　本革　イタリアンレザーLC３　グランコンフォート　本革　イタリアンレザーLC５　本革　イタリアンレザーDayBed　デイベット　本革　イタリアンレザーEggChair　エッグチェア　本革　イタリアンレザーCoronaChair　コロナチェア　本革　イタリアンレザーPK31　本革　イタリアンレザーデザイナーズ　家具　リプロダクトワイヤーハイスツール　ハリーベルトイヤ【日本製！リプロダクト品】 TALIESIN2 （ タリアセン2 ） 【10灯】150cmタイプ　フランク・ロイド・ライト ウォールナット 【送料無料】 フロアスタンド　デザイン 照明 北欧 Walnut 【業務用】,リプロダクト TALIESIN2/タリアセン2 10灯 150cm ウォールナット。【日本製！リプロダクト品】 TALIESIN2 （ タリアセン2 ） 【10灯】150cmタイプ　フランク・ロイド・ライト ウォールナット 【送料無料】 フロアスタンド　デザイン 照明 北欧 Walnut 【業務用】[rn]
19-96144,http://tshop.r10s.jp/akarie/cabinet/remake/smn/7055039_smn1.jpg?fitin=700:700,13556.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1265 BK・IV ブラック・アイボリー【TC】 【IF】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,,【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1265 BK・IV ブラック・アイボリー【TC】 【IF】：照明とインテリアの専門店　Akarie,【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1265 BK・IV ブラック・アイボリー【TC】 【IF】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1265 BK・IV ブラック・アイボリー【TC】 【IF】[rn]
19-96145,http://tshop.r10s.jp/akarie/cabinet/remake/wave_sum750.jpg?fitin=700:700,5911.2000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,間接照明 寝室 照明 led フロアライト WAVE 完成品 フロアランプ 照明 おしゃれ 間接照明 寝室 E26【B】MT3003Z【D】【送料無料】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,"<b><font color=""#DCDCDC"">【フロアライト  フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】<br></font></b><br>
<center>
<Img Src=""http://image.rakuten.co.jp/akarie/cabinet/nikuzuke/150703_floorlamp/wave_01s.jpg"" width=""100%"" border=0><br>
<Img Src=""http://image.rakuten.co.jp/akarie/cabinet/nikuzuke/150703_floorlamp/wave_02s.jpg"" width=""100%"" border=0><br>
<Img Src=""http://image.rakuten.co.jp/akarie/cabinet/nikuzuke/150703_floorlamp/wave_03s.jpg"" width=""100%"" border=0><br>
</center>


<br>お部屋の雰囲気作りに最適なアイテム<br><br>●商品サイズ(cm)：幅約20×奥行約20×高さ約121.5<br>
●対応電球：Ｅ26口金／40Ｗ型タイプ×2<br>
●素材：ポリエチレン、スチール、PVC<br>
●カラー：ホワイト<br>
<br>
<font size=""-1""><br><br>◇◆おすすめ商品◆◇<br>
★【フロアライト 】アクシア【フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】 79500・KO98CH【D】<br>
★【フロアライト 】シェードランプ スクエア L【フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】 78437・KO98BC【D】<br>
★【フロアライト 】シェードランプ ラウンド L【フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】 78438・KO98BE【D】<br>
★【フロアライト 】シェードランプ スクエア M【フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】 78435・KO96BR【D】<br>
★【フロアライト 】シェードランプ ラウンド M【フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】 78436・KO96CX【D】<br>
★【フロアライト 】シェードランプ【フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】 78432・KO96U【D】<br>
★【フロアライト 】シェードランプ【フロアランプ 照明 おしゃれ 間接照明 寝室】【FB】 78433・KO96EQ【D】<br>
</font>",間接照明 寝室 照明 led フロアライト WAVE 完成品 フロアランプ 照明 おしゃれ 間接照明 寝室 E26【B】MT3003Z【D】【送料無料】：照明とインテリアの専門店　Akarie,間接照明 寝室 照明 led フロアライト WAVE 完成品 フロアランプ 照明 おしゃれ 間接照明 寝室 E26【B】MT3003Z【D】【送料無料】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。間接照明 寝室 照明 led フロアライト WAVE 完成品 フロアランプ 照明 おしゃれ 間接照明 寝室 E26【B】MT3003Z【D】【送料無料】[rn]
19-96146,http://tshop.r10s.jp/akarie/cabinet/tasya11/9585789-e.jpg?fitin=700:700,17600.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】コベントリー フロアランプCoventry floor lamp クローム ブラック【B】DI CLASSE【TC】【お取寄せ品】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,,【送料無料】コベントリー フロアランプCoventry floor lamp クローム ブラック【B】DI CLASSE【TC】【お取寄せ品】：照明とインテリアの専門店　Akarie,【送料無料】コベントリー フロアランプCoventry floor lamp クローム ブラック【B】DI CLASSE【TC】【お取寄せ品】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。【送料無料】コベントリー フロアランプCoventry floor lamp クローム ブラック【B】DI CLASSE【TC】【お取寄せ品】[rn]
19-96147,http://tshop.r10s.jp/akarie/cabinet/remake/smn/7055037_smn.jpg?fitin=700:700,11704.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1264 BK・IV ブラック・アイボリー【TC】 【IF】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,,【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1264 BK・IV ブラック・アイボリー【TC】 【IF】：照明とインテリアの専門店　Akarie,【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1264 BK・IV ブラック・アイボリー【TC】 【IF】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。【送料無料】【間接照明 おしゃれ】【B】フロアライト Bus Roll Floor Lamp バスロールフロアランプ【インテリア照明 リビング ダイニング】LT-1264 BK・IV ブラック・アイボリー【TC】 【IF】[rn]
19-96148,http://tshop.r10s.jp/akarie/cabinet/remake/smn/7069059_smn.jpg?fitin=700:700,14560.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【B】 フロアライト MORCLES モルクレス LT-1431 送料無料 照明 おしゃれ アンティーク 北欧 インテリア WH【TC】 【NGL】 【IF】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,,【B】 フロアライト MORCLES モルクレス LT-1431 送料無料 照明 おしゃれ アンティーク 北欧 インテリア WH【TC】 【NGL】 【IF】：照明とインテリアの専門店　Akarie,【B】 フロアライト MORCLES モルクレス LT-1431 送料無料 照明 おしゃれ アンティーク 北欧 インテリア WH【TC】 【NGL】 【IF】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。【B】 フロアライト MORCLES モルクレス LT-1431 送料無料 照明 おしゃれ アンティーク 北欧 インテリア WH【TC】 【NGL】 【IF】[rn]
19-96149,http://tshop.r10s.jp/akarie/cabinet/diclasse/9580061.jpg?fitin=700:700,44000.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,DI CLASSE（ディ クラッセ） Auro-wood floor lamp LF4200WO【TC】【照明/インテリア/リビング/フロアランプ/ライト/間接照明/北欧/ナチュラルテイスト/モダン】【RCP】【お取寄せ品】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,大人気のアウロシリーズから、ウッド素材が登場！北欧スタイルの優しい温かみのあるナチュラルなデザインランプです。<br><br>■素材<br>シェード/ウッド（ヒノキ）、ポリプロピレン、スチール<br>ベース/ニッケルサテン<br>■サイズ（約）：幅37×奥行き37×高さ148cm<br>■コード：黒　フットスイッチ付<br>■色：ウッド<br>■仕様：Ｅ-２６/６０Ｗ　普通球×1<br><br>※この商品は組立式です。<br><br><font color=red>※お取り寄せ商品の為、お届けまで7～10日ほどお時間をいただく場合がございます。予めご了承ください。</font>※通常在庫をお取り置きさせて頂いておりますが、ご注文状況によってはメーカーよりお取り寄せとなる場合がございます。在庫につきましては別途お問い合わせ頂けます様お願い致します。,DI CLASSE（ディ クラッセ） Auro-wood floor lamp LF4200WO【TC】【照明/インテリア/リビング/フロアランプ/ライト/間接照明/北欧/ナチュラルテイスト/モダン】【RCP】【お取寄せ品】：照明とインテリアの専門店　Akarie,DI CLASSE（ディ クラッセ） Auro-wood floor lamp LF4200WO【TC】【照明/インテリア/リビング/フロアランプ/ライト/間接照明/北欧/ナチュラルテイスト/モダン】【RCP】【お取寄せ品】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。DI CLASSE（ディ クラッセ） Auro-wood floor lamp LF4200WO【TC】【照明/インテリア/リビング/フロアランプ/ライト/間接照明/北欧/ナチュラルテイスト/モダン】【RCP】【お取寄せ品】[rn]
19-96150,http://tshop.r10s.jp/akarie/cabinet/tasya21/7024086-e.jpg?fitin=700:700,37036.8000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】フレイムス Grass Chandelier グラスシャンデリアライト 4灯 ナチュラル・ダークブラウン DP-061-3・DP-061-3DB 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,,【送料無料】フレイムス Grass Chandelier グラスシャンデリアライト 4灯 ナチュラル・ダークブラウン DP-061-3・DP-061-3DB 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】：照明とインテリアの専門店　Akarie,【送料無料】フレイムス Grass Chandelier グラスシャンデリアライト 4灯 ナチュラル・ダークブラウン DP-061-3・DP-061-3DB 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。【送料無料】フレイムス Grass Chandelier グラスシャンデリアライト 4灯 ナチュラル・ダークブラウン DP-061-3・DP-061-3DB 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】[rn]
19-96151,http://tshop.r10s.jp/akarie/cabinet/tasya21/7024029-e.jpg?fitin=700:700,18370.4000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】フレイムス hikidashi ヒキダシフロアスタンドライト ライトブラウン・ダークブラウン HDF-101・HDF-201 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,,【送料無料】フレイムス hikidashi ヒキダシフロアスタンドライト ライトブラウン・ダークブラウン HDF-101・HDF-201 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】：照明とインテリアの専門店　Akarie,【送料無料】フレイムス hikidashi ヒキダシフロアスタンドライト ライトブラウン・ダークブラウン HDF-101・HDF-201 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。【送料無料】フレイムス hikidashi ヒキダシフロアスタンドライト ライトブラウン・ダークブラウン HDF-101・HDF-201 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】[rn]
19-96152,http://tshop.r10s.jp/akarie/cabinet/tasya21/7024044-e.jpg?fitin=700:700,18370.4000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】フレイムス Dia ダイヤフロアスタンドライト DF-029 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料,"光で感動を…<br>
灯りの美しさ、デザイン性にこだわり<br>
照明器具として、インテリアとして<br>
ライフスタイルにあった、新しい空間が生まれる灯りを提案いたします。<br><br>
明治建築の窓枠のような、モダンでレトロな心地よさを<br>
演出するオフホワイトの照明器具です。<br>
ダイヤマークの部分には、和紙をプラスチックでサンドし、<br>
柔らかな光に調節。<br>
周りからは、枠の模様を壁面一杯に映し出します。<br><br>●商品サイズ（cm）：幅約22.5ｘ高さ約120<br>
●重量：1.8kg<br>
●材質<br>
本体：MDF塗装仕上<br>
台座：ニッケルメッキ<br>
●E26・60Wクリアボール球×1<br>
●コード長さ：約2m<br>
●スイッチ有：引紐（点灯・消灯）<br><br><br><font color=""red"">※お取り寄せ品につき初期不良以外のご返品はお受けできかねます。<br>
※こちらの商品はお支払い方法【代金引換】を承れません。予めご了承下さい。</font>",【送料無料】フレイムス Dia ダイヤフロアスタンドライト DF-029 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】：照明とインテリアの専門店　Akarie,【送料無料】フレイムス Dia ダイヤフロアスタンドライト DF-029 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】,[店内商品ポイント最大10倍]税抜5000円以上ご購入で送料無料。【送料無料】フレイムス Dia ダイヤフロアスタンドライト DF-029 【TD】【デザイナーズ照明 おしゃれ 照明 インテリアライト】【代引き不可】[rn]
19-96153,http://tshop.r10s.jp/bbstyle/cabinet/tasya8/9504485-e.jpg?fitin=700:700,17600.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】【B】【TC】フロアライト SILVIA 02007-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料,"<b><font color=royalblue>北欧照明のニューウェーブVITAのデザイン！</font></b><br>
「自分で組み立てる」をコンセプトに作られました。<br>
斬新で個性的なデンマークのデザイナーズ照明です。<br>
北欧ならではのぬくもりと、現代的なセンスを感じるデザイン♪<br>
セードは上向きにも下向きにもすることができます。
<br><br>
●商品サイズ（約）<br>
　セード：直径45×高さ45cm<br>
　全高：158cm（セード含む）<br>
　ベース：直径28cm<br>
　フットスイッチ、コード長：120cm<br>
●材質：プラスチックシート・アクリルプレート<br>
●1灯タイプ<br>
●電球：電球型蛍光灯22W/口金E26（100W相当）<br>
　（普通電球使用の場合60Wまで対応/LED電球使用可能）<br>
　直径6.5×高さ13cm以下のサイズ対応<br>
<font color=red>
※電球は付属しません。<br>
※素材の性質上、熱によって変形するおそれがありますので、白熱電球は使用しないでください。<br>
※お客様組み立て商品です。（製作時間目安：約30分程度）
</font>
<br><br>
◇◆こちらもオススメ◆◇<br>
フロアライト　SILVIA-mini　02009-FL<br>
フロアランプ　LUNA　02005-FL<br>
フロアランプ　ALBA　02004-FL<br>
フロアランプ　PAGODA　02001-FL<br><br><!--▼クール特集▼--><font color=""#87cefa"" size=""3""><b>この夏当店おすすめアイテム♪<br>さらに、一部商品ポイントUP♪</font></b><br><img src=""http://image.rakuten.co.jp/bbstyle/cabinet/04638087/title_hoka2.jpg""  border=""0"" width=""100%""><br>",【送料無料】【B】【TC】フロアライト SILVIA 02007-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】：ベッド・寝具・雑貨 B＆Bスタイル,折りたたみベッドアイリスオーヤマエアリーマットレスソファーベッドOTB-ラックアイリスオーヤマ 収納イームズチェアフランスベッドアテックス ATEXすのこベッド布団セットシングルベッド寝具ふとん西川リビングブリヂストンマットレス電動ベッド介護ベッド【送料無料】【B】【TC】フロアライト SILVIA 02007-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料。【送料無料】【B】【TC】フロアライト SILVIA 02007-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】[rn]
19-96154,http://tshop.r10s.jp/bbstyle/cabinet/tasya8/9504490-e.jpg?fitin=700:700,14400.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】【B】【TC】フロアライト SILVIA-mini 02009-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料,"<b><font color=royalblue>北欧照明のニューウェーブVITAのデザイン！</font></b><br>
「自分で組み立てる」をコンセプトに作られました。<br>
斬新で個性的なデンマークのデザイナーズ照明です。<br>
北欧ならではのぬくもりと、現代的なセンスを感じるデザイン♪<br>
セードは上向きにも下向きにもすることができます。<br>
こちらはミニサイズとなっています。
<br><br>
●商品サイズ（約）<br>
　セード：直径34×高さ27cm<br>
　全高：147cm（セード含む）<br>
　ベース：直径28cm<br>
　フットスイッチ、コード長：120cm<br>
●材質：プラスチックシート・アクリルプレート<br>
●1灯タイプ<br>
●電球：電球型蛍光灯22W/口金E26（100W相当）<br>
　（普通電球使用の場合60Wまで対応/LED電球使用可能）<br>
　直径6.5×高さ13cm以下のサイズ対応<br>
<font color=red>
※電球は付属しません。<br>
※素材の性質上、熱によって変形するおそれがありますので、白熱電球は使用しないでください。<br>
※お客様組み立て商品です。（製作時間目安：約30分程度）
</font>
<br><br>
◇◆こちらもオススメ◆◇<br>
フロアライト　SILVIA　02007-FL<br>
フロアランプ　LUNA　02005-FL<br>
フロアランプ　ALBA　02004-FL<br>
フロアランプ　PAGODA　02001-FL<br><br><!--▼ｸｰﾙ特集▼--><font color=""#87cefa"" size=""3""><b>この夏当店おすすめアイテム♪<br>さらに、一部商品ポイントUP♪</font></b><br><img src=""http://image.rakuten.co.jp/bbstyle/cabinet/04638087/title_hoka2.jpg""  border=""0"" width=""100%""><br>",【送料無料】【B】【TC】フロアライト SILVIA-mini 02009-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】：ベッド・寝具・雑貨 B＆Bスタイル,折りたたみベッドアイリスオーヤマエアリーマットレスソファーベッドOTB-ラックアイリスオーヤマ 収納イームズチェアフランスベッドアテックス ATEXすのこベッド布団セットシングルベッド寝具ふとん西川リビングブリヂストンマットレス電動ベッド介護ベッド【送料無料】【B】【TC】フロアライト SILVIA-mini 02009-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料。【送料無料】【B】【TC】フロアライト SILVIA-mini 02009-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】[rn]
19-96155,http://tshop.r10s.jp/bbstyle/cabinet/tasya8/9504503-e.jpg?fitin=700:700,14400.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】【B】【TC】フロアランプ PAGODA 02001-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料,"<b><font color=royalblue>北欧照明のニューウェーブVITAのデザイン！</font></b><br>
「自分で組み立てる」をコンセプトに作られました。<br>
斬新で個性的なデンマークのデザイナーズ照明です。<br>
北欧ならではのぬくもりと、現代的なセンスを感じるデザイン♪
<br><br>
●商品サイズ（約）<br>
　セード：直径50×高さ35cm<br>
　全高：164cm（セード含む）<br>
　ベース：直径28cm<br>
　フットスイッチ、コード長：120cm<br>
●材質：プラスチックシート・アクリルプレート<br>
●1灯タイプ<br>
●電球：電球型蛍光灯22W/口金E26（100W相当）<br>
　（普通電球使用の場合60Wまで対応/LED電球使用可能）<br>
　直径6.5×高さ13cm以下のサイズ対応<br>
●付属品：コード長調整具<br>
●シーリングカバー別売<br>
<font color=red>
※電球は付属しません。<br>
※素材の性質上、熱によって変形するおそれがありますので、白熱電球は使用しないでください。<br>
※お客様組み立て商品です。（製作時間目安：約30分程度）
</font>
<br><br>
◇◆こちらもオススメ◆◇<br>
フロアライト　SILVIA　02007-FL<br>
フロアライト　SILVIA-mini　02009-FL<br>
フロアランプ　LUNA　02005-FL<br>
フロアランプ　ALBA　02004-FL<br><!--▼ｸｰﾙ特集▼--><font color=""#87cefa"" size=""3""><b>この夏当店おすすめアイテム♪<br>さらに、一部商品ポイントUP♪</font></b><br><img src=""http://image.rakuten.co.jp/bbstyle/cabinet/04638087/title_hoka2.jpg""  border=""0"" width=""100%""><br>",【送料無料】【B】【TC】フロアランプ PAGODA 02001-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】：ベッド・寝具・雑貨 B＆Bスタイル,折りたたみベッドアイリスオーヤマエアリーマットレスソファーベッドOTB-ラックアイリスオーヤマ 収納イームズチェアフランスベッドアテックス ATEXすのこベッド布団セットシングルベッド寝具ふとん西川リビングブリヂストンマットレス電動ベッド介護ベッド【送料無料】【B】【TC】フロアランプ PAGODA 02001-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料。【送料無料】【B】【TC】フロアランプ PAGODA 02001-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】[rn]
19-96156,http://tshop.r10s.jp/bbstyle/cabinet/tasya8/9504499-e.jpg?fitin=700:700,14400.0000,,インテリア・寝具・収納 > ライト・照明 > スタンドライト > フロアスタンド,【送料無料】【B】【TC】フロアランプ ALBA 02004-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料,"<b><font color=royalblue>北欧照明のニューウェーブVITAのデザイン！</font></b><br>
「自分で組み立てる」をコンセプトに作られました。<br>
斬新で個性的なデンマークのデザイナーズ照明です。<br>
北欧ならではのぬくもりと、現代的なセンスを感じるデザイン。<br>
花のようなかわいらしいフォルムです♪
<br><br>
●商品サイズ（約）<br>
　セード：直径40×高さ35cm<br>
　全高：156cm（セード含む）<br>
　ベース：直径28cm<br>
　フットスイッチ、コード長：120cm<br>
●材質：プラスチックシート・アクリルプレート<br>
●1灯タイプ<br>
●電球：電球型蛍光灯22W/口金E26（100W相当）<br>
　（普通電球使用の場合60Wまで対応/LED電球使用可能）<br>
　直径6.5×高さ13cm以下のサイズ対応<br>
●付属品：コード長調整具<br>
●シーリングカバー別売<br>
<font color=red>
※電球は付属しません。<br>
※素材の性質上、熱によって変形するおそれがありますので、白熱電球は使用しないでください。<br>
※お客様組み立て商品です。（製作時間目安：約30分程度）
</font>
<br><br>
◇◆こちらもオススメ◆◇<br>
フロアライト　SILVIA　02007-FL<br>
フロアライト　SILVIA-mini　02009-FL<br>
フロアランプ　LUNA　02005-FL<br>
フロアランプ　PAGODA　02001-FL<br><br><!--▼ｸｰﾙ特集▼--><font color=""#87cefa"" size=""3""><b>この夏当店おすすめアイテム♪<br>さらに、一部商品ポイントUP♪</font></b><br><img src=""http://image.rakuten.co.jp/bbstyle/cabinet/04638087/title_hoka2.jpg""  border=""0"" width=""100%""><br>",【送料無料】【B】【TC】フロアランプ ALBA 02004-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】：ベッド・寝具・雑貨 B＆Bスタイル,折りたたみベッドアイリスオーヤマエアリーマットレスソファーベッドOTB-ラックアイリスオーヤマ 収納イームズチェアフランスベッドアテックス ATEXすのこベッド布団セットシングルベッド寝具ふとん西川リビングブリヂストンマットレス電動ベッド介護ベッド【送料無料】【B】【TC】フロアランプ ALBA 02004-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】,当店人気商品ﾎﾟｲﾝﾄ10倍&amp;税抜9000円以上購入で送料無料。【送料無料】【B】【TC】フロアランプ ALBA 02004-FL スタンド照明 リビング照明 インテリア照明 明かり 家庭用 【ELUX】[rn]
