10-34501,http://tshop.r10s.jp/dtc/cabinet/chuko_c/2051290817012.jpg?fitin=700:700,7184.0000,,パソコン・周辺機器 > 液晶ディスプレイ,【中古】DELLE2211HB【291-ud】,,<table width=100%><tr><td><font size=2>【商品カテゴリ】液晶モニタ【商品グレード】∥★★★∥中古品∥<BR><BR>【画面サイズ】21.5インチワイド<BR>【映像入力端子】D-SUBミニ15ピンx1/DVI-Dx1<BR>【HDCP】対応<BR>【パネル】ノングレア(反射防止)<BR>【解像度】1920x1080/フルHD(アスペクト比16:9)<BR>【性能】21.5型ワイドスクリーンフラットパネルモニター ・最大表示解像度:1920 x 1080 ・コントラスト比: 1000:1 ・輝度:250cd/m2 ・応答速度:5ms ・視野角度: 垂直160°/水平170°・表示色: 1670万色 ・インターフェース:VGA、DVI-D(HDCP対応)/2010年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【付属品】[スタンド、ACケーブル、VGAケーブル]が付属。<BR>【欠品】[クイックセットアップガイド、ドライバおよびドキュメントメディア、DVIケーブル]欠品。<BR>【備考】正面ロゴ欠け有り。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】DELLE2211HB【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】DELLE2211HB【291-ud】,【中古】DELLE2211HB【291-ud】[rn]
10-34539,http://tshop.r10s.jp/akibamac/cabinet/04417723/4978877197610.jpg?fitin=700:700,10952.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】コダックスポーツカメラ PIXPRO WP1 イエロー[デジタルカメラ本体],,アウトドアやレジャー、スポーツに最適な防水対応スポーツカメラ。単3形乾電池対応の入門機。,【送料無料】コダックスポーツカメラ PIXPRO WP1 イエロー[デジタルカメラ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】コダックスポーツカメラ PIXPRO WP1 イエロー[デジタルカメラ本体],【送料無料】コダックスポーツカメラ PIXPRO WP1 イエロー[デジタルカメラ本体][rn]
10-34540,http://tshop.r10s.jp/akibamac/cabinet/04075997/4548182184416.jpg?fitin=700:700,214392.8000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】LeicaライカX (Typ 113) シルバー 18441 （APS-C 単焦点[F1.7] 3.0型液晶）[デジタルカメラ本体],,圧倒的な高画質を実現する“Made in Germany”のコンパクトデジタルカメラ,【送料無料】LeicaライカX (Typ 113) シルバー 18441 （APS-C 単焦点[F1.7] 3.0型液晶）[デジタルカメラ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】LeicaライカX (Typ 113) シルバー 18441 （APS-C 単焦点[F1.7] 3.0型液晶）[デジタルカメラ本体],【送料無料】LeicaライカX (Typ 113) シルバー 18441 （APS-C 単焦点[F1.7] 3.0型液晶）[デジタルカメラ本体][rn]
10-34541,http://tshop.r10s.jp/akibamac/cabinet/04927126/4971850483977.jpg?fitin=700:700,31956.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】カシオ コンパクトデジタルカメラ　HIGH SPEED EXILIM（エクシリム） EX-ZR4000（ホワイト）,,■画角が広く遠近感を生かしたダイナミックな写真が撮れる超広角19mmレンズを搭載<br>旅先で出会った雄大な景色や壮麗な建築物を、ダイナミックな印象そのままに、美しく残せます。また、広い画角を活かして、自分撮り・みんな撮りのスタイルでも背景をしっかり入れられるので、見る人の想像を膨らませる魅力的な写真に仕上げることができます。また、コンパクトサイズながら超広角で光学5倍ズームを実現しています。超解像技術を使ったプレミアムズームにより、10倍相当まで解像感を保持しながら高品位なズーム撮影が可能です。レンズは、広角F2.7の明るいレンズを搭載。レンズの面間反射を抑える設計を行い、収差を補正して高い解像性能を持つガラスモールドレンズ、ゴーストを低減するフィルターを採用しています。<br><br>■画角の違う静止画・静止画が切り替わるアニメーション動画を作れる「ワイドビューフォト」<br>一度決めた画角の静止画(ズーム)に加え、そこから引いた広い画角の静止画(ワイド)と、ズームからワイドへと移り変わるアニメーション動画を一度に保存できます。ズームの画角はカメラを動かしても元の位置を追尾するので、撮りたいものに合わせて構図を工夫することも可能。ワイドにすると実は背景に意外なものが写っているなど、印象ががらりと変わる様子をアニメーション動画で見せることで、SNSでシェアして驚きや楽しさも共有できるような「一枚」を撮影できます。<br><br>■撮影した一日分のデータをダイジェストにまとめる「ハイライトムービー/ハイライトフォト」<br>・ハイライトムービー<br>独自のアルゴリズムにより、記念撮影や自分撮り、風景など様々なシーンを織り交ぜた1本のダイジェストムービーを自動で作成します。選べるBGMに結婚式をイメージした新曲を追加しました。<br>・ハイライトフォト<br>おすすめの静止画を自動で選択し、1枚のフォトコラージュに仕上げます。<br><br>■健康的でみずみずしい色合いの美肌表現を追求したメイクアップ機能<br>繊細な表現力で女性の美しさを丁寧に表現します。女性が理想とする美肌を追求し、女性が憧れるみずみずしい自然な美肌に調整します。<br><br>■自分撮りに個性的なアート効果を加える「セルフィーアート」<br>メイクアップ機能による美しさはそのままに、窓際で撮影したようなイメージの「ハイキー」、柔らかな雰囲気の「フォギー」、より女性らしいイメージの「フェアリー」、どこか懐かしさを感じさせる「ノスタルジー」、鮮やかな「ビビッド」の5つのアート効果を加えられます。<br><br>■自分撮りに最適なチルト液晶・フロントシャッターを搭載<br>アングルや構図のチェックができるチルト液晶や、縦に構えたときに便利なフロントシャッター、カメラに手を振ることでシャッターがきれるモーションシャッター機能により、自分撮りを簡単に楽しめます。<br><br>■動き回る被写体もブレずに撮れる1/1.7型センサー<br>受光面積が広い1/1.7型裏面照射型のCMOSセンサー、広角F2.7の明るいレンズにより、暗いところでの撮影、子どもやペットなどの動きの速い被写体も、決定的な瞬間を逃さず撮影できます。<br><br>■高速レスポンス(数値はCIPA規格による)を実現する「EXILIMエンジンHS Ver.3」<br>デュアルCPUと2つの画像処理回路などにより、1.2秒の高速起動、0.17秒の高速オートフォーカス、0.015秒のレリーズ・タイムラグ、最短0.22秒の撮影間隔を実現しています。<br><br>■すばやい動きもとらえる「高速連写」<br>12Mサイズで秒間30枚、最大30枚の高速連写が可能。また「AF連写」機能を使えば、動物や人物などの動く被写体にピントを合わせながら、最大秒間6枚、最大30枚の連写が行えます。<br><br>■Bluetooth Smartでスマートフォンと連携して通信をコントロール<br><br>■連絡先の交換をしなくても気軽に画像をシェアできる「ワンタイムシェア」機能<br><br>■スマートフォンに送信した画像に位置情報を付加<br><br>■上下回転、左右回転、上下、左右、回転の5軸方向の手ブレを高度に補正する「HS手ブレ補正」<br><br>■シャッターを押すだけで最適な設定と画像処理を実行し美しく撮れる「プレミアムオートPRO」<br><br>■シャッターを押した時とその前後の画像、計3枚を連写する「トリプルショット」<br><br>■最高ISO25600の高速連写で暗いシーンでも手ブレを気にせずに撮れる「HSナイトショット」<br><br>■長時間の変化を短時間の動画に圧縮して見られる「タイムラプス」<br><br>■美しく背景をぼかして被写体の存在感を際立たせる「背景ぼかし」<br><br>■手前の被写体から遠くの背景までくっきり撮れる「全焦点マクロ」<br>,【送料無料】カシオ コンパクトデジタルカメラ　HIGH SPEED EXILIM（エクシリム） EX-ZR4000（ホワイト）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】カシオ コンパクトデジタルカメラ　HIGH SPEED EXILIM（エクシリム） EX-ZR4000（ホワイト）,【送料無料】カシオ コンパクトデジタルカメラ　HIGH SPEED EXILIM（エクシリム） EX-ZR4000（ホワイト）[rn]
10-34542,http://tshop.r10s.jp/akibamac/cabinet/04679805/4960759146960.jpg?fitin=700:700,8800.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコンCOOLPIX A100 シルバー (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶),,有効2005万画素の光学5倍ズームレンズ搭載。毎日持ち歩ける、薄さ約19.8mm（突起部を除く）のスタイリッシュスリム。,【送料無料】ニコンCOOLPIX A100 シルバー (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコンCOOLPIX A100 シルバー (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶),【送料無料】ニコンCOOLPIX A100 シルバー (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶)[rn]
10-34543,http://tshop.r10s.jp/akibamac/cabinet/04802318/4960759147226.jpg?fitin=700:700,32548.8000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B700（ブラック）[デジタルカメラ本体],,光学60倍のNIKKORレンズを搭載し、広角24mm相当から超望遠1440mm相当（35mm判換算の撮影画角）をカバーしています。,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B700（ブラック）[デジタルカメラ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B700（ブラック）[デジタルカメラ本体],【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B700（ブラック）[デジタルカメラ本体][rn]
10-34544,http://tshop.r10s.jp/akibamac/cabinet/04927126/4960759148261.jpg?fitin=700:700,12003.2000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（マリン）,,■濡れて落としても安心！<br>・水深10mまでの防水性能と1.8mの耐衝撃性能を実現。プールや砂場などでも気軽に使えて、水中もキレイに撮れます。<br><br>■使う人に合わせて選べる2つのメニュー！<br>・メニューのフル表示や主要機能のみのシンプルな表示を選べるバラエティーメニューを採用しています。<br><br>■かわいいキャラクターやスタンプが充実！<br>・オープニング画面に登場するキャラクターや、写真を飾るスタンプをたっぷり内蔵。写真を撮るのが楽しくなります。<br><br>■一度のカンタン設定で、いつでも接続<br>・一度の設定で、カメラとスマートフォン/タブレットをBLE（Bluetoot low energy）テクノロジーにより接続。<br><br>【製品仕様】<br>■色：マリン<br>■本体サイズ(H×W×D) mm：約109.5×67.0×38.0 mm（突起部除く、CIPAガイドライン DCG-002-2012に準拠）<br>■本体重量：約177 g（電池、SDメモリーカードを含む。CIPAガイドライン DCG-002-2012に準拠）<br>■撮像画面サイズ：1/3.1型原色CMOS、総画素数1417万画素<br>■有効画素数：1317万画素<br>■液晶モニターサイズ：2.7型TFT液晶モニター、反射防止コート付き、約23万ドット、輝度調節機能付き<br>■レンズ：【焦点距離】4.1-12.3mm（35mm判換算30-90mm相当の撮影画角）【レンズ構成】5群6枚<br>■絞り・開放絞り：f/3.3-5.9<br>■ズーム機能：光学3倍ズーム<br>■ISO感度：ISO 125 - 1600<br>■シャッタースピード: 1/2000 ～1秒、25秒（［場面を変える］の［光の軌跡をのこす］の［星空］<br>■記録メディア:内蔵メモリー、SD/SDHC/SDXCメモリーカード<br>■撮影可能枚数:【静止画】約220コマ（EN-EL19使用時）【動画】約1時間30分（EN-EL19使用時）※動画の連続撮影可能時間（1回の撮影で記録可能な時間）は、SDメモリーカードの残量が多いときでもファイルサイズ4 GBまで、または最長29分までです。カメラが熱くなった場合、連続撮影可能時間内でも動画撮影が終了することがあります。<br>■静止画種類:JPEG<br>■動画種類:MP4（映像：H.264/MPEG-4 AVC、音声：AACステレオ）<br>■電源：Li-ionリチャージャブルバッテリー EN-EL19（リチウムイオン充電池）、ACアダプター EH-62G（別売）<br>■付属品：ストラップ、Li-ionリチャージャブルバッテリー EN-EL19、本体充電ACアダプター EH-73P、USBケーブル UC-E21、ブラシ（防水パッキンの清掃用です）<br>■仕様：【撮影モード】<br>    オートでとる、場面を変える（夜景をとる／アップでとる／食べ物をとる／水中でとる／水中顔フレーミング／観察写真をとる／続けてとる〈約4.7コマ/秒で11コマ［大（13M）］〉／花火をとる／逆光でとる／鏡に映す／ビー玉に映す／ネオン風にとる／マンガ風にとる／ふんわりとる／ミニチュア風にとる／ミニチュア風動画をとる／光の軌跡をのこす）、写真をかざる、色を変える（明るさを変える、鮮やかさを変える、好きな色を残す）<br>　　【動画】<br>    大（1080p）（SDメモリーカード使用時の初期設定）：1920×1080（約30 fps）、小（640）：640×480（約30 fps）、小（むかし風）：640×480（約15 fps）※内蔵メモリー使用時は、［小（640）］と［小（むかし風）］が選べます,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（マリン）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（マリン）,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（マリン）[rn]
10-34545,http://tshop.r10s.jp/akibamac/cabinet/04802318/4960759147158.jpg?fitin=700:700,11652.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） A300（シルバー）[デジタルカメラ本体],,レンズシフト方式手ブレ補正（VR）機能を備えた光学8倍ズームのNIKKORレンズを搭載し、広角25mm相当から望遠200mm相当（35mm判換算の撮影画角）の撮影領域をカバーしています。,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） A300（シルバー）[デジタルカメラ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） A300（シルバー）[デジタルカメラ本体],【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） A300（シルバー）[デジタルカメラ本体][rn]
10-34546,http://tshop.r10s.jp/akibamac/cabinet/04927126/4960759148254.jpg?fitin=700:700,12003.2000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（ピンク）,,■濡れて落としても安心！<br>・水深10mまでの防水性能と1.8mの耐衝撃性能を実現。プールや砂場などでも気軽に使えて、水中もキレイに撮れます。<br><br>■使う人に合わせて選べる2つのメニュー！<br>・メニューのフル表示や主要機能のみのシンプルな表示を選べるバラエティーメニューを採用しています。<br><br>■かわいいキャラクターやスタンプが充実！<br>・オープニング画面に登場するキャラクターや、写真を飾るスタンプをたっぷり内蔵。写真を撮るのが楽しくなります。<br><br>■一度のカンタン設定で、いつでも接続<br>・一度の設定で、カメラとスマートフォン/タブレットをBLE（Bluetoot low energy）テクノロジーにより接続。<br><br>【製品仕様】<br>■色：ピンク<br>■本体サイズ(H×W×D) mm：約109.5×67.0×38.0 mm（突起部除く、CIPAガイドライン DCG-002-2012に準拠）<br>■本体重量：約177 g（電池、SDメモリーカードを含む。CIPAガイドライン DCG-002-2012に準拠）<br>■撮像画面サイズ：1/3.1型原色CMOS、総画素数1417万画素<br>■有効画素数：1317万画素<br>■液晶モニターサイズ：2.7型TFT液晶モニター、反射防止コート付き、約23万ドット、輝度調節機能付き<br>■レンズ：【焦点距離】4.1-12.3mm（35mm判換算30-90mm相当の撮影画角）【レンズ構成】5群6枚<br>■絞り・開放絞り：f/3.3-5.9<br>■ズーム機能：光学3倍ズーム<br>■ISO感度：ISO 125 - 1600<br>■シャッタースピード: 1/2000 ～1秒、25秒（［場面を変える］の［光の軌跡をのこす］の［星空］<br>■記録メディア:内蔵メモリー、SD/SDHC/SDXCメモリーカード<br>■撮影可能枚数:【静止画】約220コマ（EN-EL19使用時）【動画】約1時間30分（EN-EL19使用時）※動画の連続撮影可能時間（1回の撮影で記録可能な時間）は、SDメモリーカードの残量が多いときでもファイルサイズ4 GBまで、または最長29分までです。カメラが熱くなった場合、連続撮影可能時間内でも動画撮影が終了することがあります。<br>■静止画種類:JPEG<br>■動画種類:MP4（映像：H.264/MPEG-4 AVC、音声：AACステレオ）<br>■電源：Li-ionリチャージャブルバッテリー EN-EL19（リチウムイオン充電池）、ACアダプター EH-62G（別売）<br>■付属品：ストラップ、Li-ionリチャージャブルバッテリー EN-EL19、本体充電ACアダプター EH-73P、USBケーブル UC-E21、ブラシ（防水パッキンの清掃用です）<br>■仕様：【撮影モード】<br>    オートでとる、場面を変える（夜景をとる／アップでとる／食べ物をとる／水中でとる／水中顔フレーミング／観察写真をとる／続けてとる〈約4.7コマ/秒で11コマ［大（13M）］〉／花火をとる／逆光でとる／鏡に映す／ビー玉に映す／ネオン風にとる／マンガ風にとる／ふんわりとる／ミニチュア風にとる／ミニチュア風動画をとる／光の軌跡をのこす）、写真をかざる、色を変える（明るさを変える、鮮やかさを変える、好きな色を残す）<br>　　【動画】<br>    大（1080p）（SDメモリーカード使用時の初期設定）：1920×1080（約30 fps）、小（640）：640×480（約30 fps）、小（むかし風）：640×480（約15 fps）※内蔵メモリー使用時は、［小（640）］と［小（むかし風）］が選べます,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（ピンク）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（ピンク）,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） W100（ピンク）[rn]
10-34547,http://tshop.r10s.jp/akibamac/cabinet/04802318/4960759147127.jpg?fitin=700:700,20736.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B500（プラム）[デジタルカメラ本体],,広角22.5mm相当から超望遠900mm相当（35mm判換算の撮影画角）までをカバーする、光学40倍のNIKKORレンズを搭載しています。,【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B500（プラム）[デジタルカメラ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B500（プラム）[デジタルカメラ本体],【送料無料】ニコン コンパクトデジタルカメラ　COOLPIX（クールピクス） B500（プラム）[デジタルカメラ本体][rn]
10-34548,http://tshop.r10s.jp/akibamac/cabinet/04280445/4960759145444.jpg?fitin=700:700,46576.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコンCOOLPIX P900 （1/2.3型 光学83倍[F2.8～6.5] 3.0型バリアングル）,,2000mm相当の超望遠撮影が高画質で楽しめる、光学83倍ズームのNIKKORレンズを搭載した「COOLPIX P900」,【送料無料】ニコンCOOLPIX P900 （1/2.3型 光学83倍[F2.8～6.5] 3.0型バリアングル）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコンCOOLPIX P900 （1/2.3型 光学83倍[F2.8～6.5] 3.0型バリアングル）,【送料無料】ニコンCOOLPIX P900 （1/2.3型 光学83倍[F2.8～6.5] 3.0型バリアングル）[rn]
10-34549,http://tshop.r10s.jp/akibamac/cabinet/04679805/4960759146953.jpg?fitin=700:700,8007.2000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコンCOOLPIX A100 レッド (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶)[デジタルカメラ本体],,有効2005万画素の光学5倍ズームレンズ搭載。毎日持ち歩ける、薄さ約19.8mm（突起部を除く）のスタイリッシュスリム。,【送料無料】ニコンCOOLPIX A100 レッド (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶)[デジタルカメラ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコンCOOLPIX A100 レッド (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶)[デジタルカメラ本体],【送料無料】ニコンCOOLPIX A100 レッド (1/2.3型 光学5倍[F3.2～6.5] 2.7型液晶)[デジタルカメラ本体][rn]
10-34550,http://tshop.r10s.jp/akibamac/cabinet/04802318/4960759146380.jpg?fitin=700:700,27920.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】ニコンコンパクトデジタルカメラ COOLPIX（クールピクス） A900（ブラック）,,高品位なデザインのコンパクトボディーに、広角24mm相当から超望遠840mm相当（35mm判換算の撮影画角）までをカバーする光学35倍のNIKKORレンズを搭載しています。,【送料無料】ニコンコンパクトデジタルカメラ COOLPIX（クールピクス） A900（ブラック）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ニコンコンパクトデジタルカメラ COOLPIX（クールピクス） A900（ブラック）,【送料無料】ニコンコンパクトデジタルカメラ COOLPIX（クールピクス） A900（ブラック）[rn]
10-34551,http://tshop.r10s.jp/akibamac/cabinet/04927126/4961607437438.jpg?fitin=700:700,2384.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,ケンコートイカメラ DSC Pieni（ブラック） DSCPIENIBK,,■クラシックカメラ風デザインがかわいい、超小型のトイデジタルカメラです。<br>■いつも持ち歩きたくなるような小ささで、携帯に便利なネックストラップが付属します。<br>■静止画だけでなく、音声付きのムービーも撮ることができます。<br>■カメラ背面にはマグネットを内蔵しているので、冷蔵庫など磁石がくっつくところであればピタッとくっつき、ムービー撮影時に便利です。紛失防止にも役立ちます。<br>■付属のUSB接続ケーブルでパソコンにつなぎ、画像データの取り込みや充電を行います。<br>■メモリーカードはmicroSD/SDHC(別売)を使用します。<br>■水彩画や油絵のような味わいのある写りが特長です。<br>■はっきりと写したい時は30～40cmまで近づいて撮影するのがコツです。<br>■液晶モニターがないため、どう写っているかは後でのお楽しみです。<br><br>【製品仕様】<br>●イメージセンサー：1/10型CMOS<br>●総画素数：131万画素<br>●有効画素数：131万画素<br>●レンズ：f=3.2mmF2.8<br>●撮影距離：標準約0.3m～∞<br>●内蔵メモリー：ユーザー使用可能領域はありません<br>●外部メモリー：microSDカード(128MB～2GB)micro SDHC(4GB～16GB)<br>●ファイル形式：静止画JPEG、動画MJPEG(AVI)、音声MP3<br>●静止画サイズ：1280×1024<br>●動画サイズ：720×480(30fps)<br>●シャッタースピード：1/100秒<br>●ISO感度：ISO100<br>●電源：内蔵リチウムイオン充電池<br>●入出力ポート：USB2.0<br>●サイズ(W×H×D)：約51×36×18mm<br>●重量：約18g（microSDカード、付属品を除く）<br>【必要なパソコンシステム】<br>Windows<br>●対応OS：WindowsVista(32bit)/7(32bit/64bit)/8(32bit/64bit)/8.1(32bit/64bit)<br>●CPU：Intel Pentium 4(3.2GHz以上)<br>●メモリー：2GB以上<br>●インターフェース：USB2.0<br>Mac<br><br>●対応OS：Mac OSX10.7.5～10.9.5<br>●CPU：Intel Core2 Duo以上<br>●メモリー：2GB以上<br>●インターフェース：USB2.0<br>【動作保証について】<br>●動作環境を満たすパソコンでも、一部機種の設定、構成により正常に動作しない場合があります。あらかじめご了承ください。<br>●各Windows OSはアップグレードしたパソコンでは動作保証いたしません。<br>●USBハブや拡張USBポートに接続した状態での使用、自作機および改造を加えたパソコンについては動作保証いたしません。,ケンコートイカメラ DSC Pieni（ブラック） DSCPIENIBK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンケンコートイカメラ DSC Pieni（ブラック） DSCPIENIBK,ケンコートイカメラ DSC Pieni（ブラック） DSCPIENIBK[rn]
