8-67581,http://tshop.r10s.jp/imaginelife/cabinet/kohshin/img60468375.jpg?fitin=700:700,8067.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,弘進ゴム　C0080AA　マイ軽快胴付長　胴長靴【紳士用レインブーツ/長靴】,一般・土木・水産・農家に大活躍の胴付長靴です！,"◇一般・土木・水産・農家に大活躍の胴付長靴です！

<BR><BR>■カラー：黒
<BR>■サイズ：24.0cm～26.0cm,27.0cm,28.0cm(1cm刻み)
<BR>■脇丈：131.0cm（26.0cmの場合）
<BR>■仕　様
<BR>　●ズボン部PVC両面生地
<BR>　●発泡ゴム長靴
<BR>　●インソール入

<BR><BR><font color=""#0000ff"">
※こちらの商品はお取り寄せ商品となります。製造メーカーにて欠品の場合はお待ちいただくか、誠に勝手ながらキャンセルをさせていただく場合が御座いますのであらかじめご了承下さい。</font>",弘進ゴム　C0080AA　マイ軽快胴付長　胴長靴【紳士用レインブーツ/長靴】：イマジンライフ,弘進ゴム　C0080AA　マイ軽快胴付長　胴長靴【紳士用レインブーツ/長靴】,一般・土木・水産・農家に大活躍の胴付長靴です！。弘進ゴム　C0080AA　マイ軽快胴付長　胴長靴【紳士用レインブーツ/長靴】[rn]
8-67626,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/03323082/img63869977.jpg?fitin=700:700,4695.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,【廃番】アシックス（asics） 作業用靴 ウィンジョブ32L ブルー×ホワイト ＜23.5cm～29.0cm＞ 【安全靴 ハイカット スニーカー 防水 レディース ブーツ 限定 新作 新色 76 16200円以上は 送料無料 マジックテープ おすすめ おしゃれ 】,ランキング 規格 防寒 2014 ワークマン 長靴 ディアドラ,"●安全靴とは思えないスマートなデザインで、幅広い年代層に大人気！<br><br>

●スポーツシューズのような快適さとフィット感が、長時間の作業をサポート！<br><br>

●小さいサイズ展開もあり、女性にもお求めいただけます！<br><br>

【安全性】<br>
作業用靴には、安全性と軽量性が求められます。<br>
つま先は、強化ガラス繊維入り樹脂製の軽量先芯を使用。<br>
軽くてそのまま破棄できます。<br><br>

※FIS32Lシリーズは、B種(JIS T8101L種相当先芯)を使用しています。<br> 
夜間の屋外作業の安全性に配慮して、暗いところでも光に反射する<br>
再帰反射材を採用。<br><br>

【耐久性】<br>
対油ラバー底 機械油などを扱う作業場で使用する作業用靴の<br>
アウターソールには、油に劣化しにくい耐油性ラバーを使用しています。<br><br>

【グリップ性】<br>
作業用靴には、油で汚れた床でもスリップしにくい高グリップ性能の<br>
アウターソールを採用。その耐滑性能は、JSAA規格認定（0.2以上）を受けています。<br><br> 

【クッション性】<br>
すべての作業用靴に、優れたクッション性・衝撃緩衝性・軽量性を<br>
兼ね備えたE.V.A.ミッドソールを採用。<br><br>

靴の特性に応じて、形状加工した成形E.V.Aや<br>
異なる硬度を組み合わせた異硬度シート<br>
E.V.A.により、快適な履き心地を<br>
実現しています。<br><br>

※３２Lシリーズは、異硬度シートE.V.A<br>
ミッドソールを採用しています。 <br><br>
 
 【軽量性】<br>
作業用靴には、スポーツシューズで作りつちかった軽量化の技術を応用。<br>
必要な機能性を保ちながら、エネルギーの消耗を抑え、足の疲れを軽減します。<br>
 

≪カラーバリエーション≫<br>
・ブラック×ブラック：９０９０<br><br>  
・ボルドー×ベージュ：２６０５<br><br>  
・ブラック×シルバー：９０９３<br><br> 
・ブルー×ホワイト：４１０１<br><br><br /><br /><style type=""text/css"">
/* お気に入りボタン */
#rakutenLimitedId_aroundCart div.bkm {
  width: 350px !important;
}

#rakutenLimitedId_aroundCart div.bookmarkArea div.bkm a.addBkm {
  height: 300px !important;
  width: 350px !important;
}

#rakutenLimitedId_aroundCart div.bookmarkArea div.bkm a.addBkm span.bkmStar {
  background-image: url(""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/imgrc0072729997.jpg"") !important;
  height: 300px !important;
  width: 350px !important;
}

cursor: pointer !important;
}

/*お気に入り商品ボタンタグここまで*/
</style>

<style type=""text/css"">

table#cont-detail-table th {
width: 15%;
background: #e6e6e6;
}

table#cont-detail-table th,
table#cont-detail-table td {
padding: 5px 10px;
border: #ccc solid 1px;
text-align: left;
vertical-align: top;
}

table,th,td,caption {
font-weight: normal;
}


table#cont-detail-table td {
width: 35%;
}

table#cont-detail-table th .wb,
table#cont-detail-table td .wb {
word-break: break-all;
word-wrap: break-word;
}

.auto-style1 {
font-size: 100%;
margin: 0;
padding: 0;
}
</style>",【廃番】アシックス（asics） 作業用靴 ウィンジョブ32L ブルー&times;ホワイト ＜23.5cm～29.0cm＞ 【安全靴 ハイカット スニーカー 防水 レディース ブーツ 限定 新作 新色 76 16200円以上は 送料無料 マジックテープ おすすめ おしゃれ 】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー【廃番】アシックス（asics） 作業用靴 ウィンジョブ32L ブルー&times;ホワイト ＜23.5cm～29.0cm＞ 【安全靴 ハイカット スニーカー 防水 レディース ブーツ 限定 新作 新色 76 16200円以上は 送料無料 マジックテープ おすすめ おしゃれ 】,ランキング 規格 防寒 2014 ワークマン 長靴 ディアドラ。【廃番】アシックス（asics） 作業用靴 ウィンジョブ32L ブルー&times;ホワイト ＜23.5cm～29.0cm＞ 【安全靴 ハイカット スニーカー 防水 レディース ブーツ 限定 新作 新色 76 16200円以上は 送料無料 マジックテープ おすすめ おしゃれ 】[rn]
8-67627,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0202/t010006294677.jpg?fitin=700:700,3680.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,シモン 安全スニーカー ライトスペシャル LS418G/W 29.0cm LS418GW29.0 [LS418G/W-29.0][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】,"<div class=item-info><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-00.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-12.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-100.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-21.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-31.gif></div><link rel=""stylesheet"" href=""http://www.rakuten.ne.jp/gold/minatodenk/css/item-footer.css"" type=""text/css"" media=""all"">

<!--▼はじめてのお客様へ-->
<div id=""first_guest"">
  <div class=""title"">
    はじめてのお客様へ
    <div class=""right"">安心してお買物いただくための<span class=""big"">6</span>つのポイント</div>
  </div>
    
      <div class=""title"">即日発送、最短で翌日お届け</div>
      <div class=""dec"">在庫品の場合、営業日12時までのご注文で、福岡より即日発送！最短で翌日のお届けが可能なため、買ってすぐにお使い頂けます。</div>
    
    
      <div class=""title"">万全のアフターサービス</div>
      <div class=""dec"">機械の使い方で分からないことは、当店の技術スタッフがお電話にて詳しく、分かりやすく説明させて頂きます。</div>
    
    
      <div class=""title"">オリジナル動画で詳しく</div>
      <div class=""dec"">当店では、多くのページにオリジナルの説明動画を付けていますので、お客様の疑問や不安をご購入前に解消します。</div>
    
    
      <div class=""title"">決済手数料０円</div>
      <div class=""dec"">カード・代引・コンビニ・法人後払いの決済手数料が無料！わかりやすい価格でお届けします。</div>
    
    
      <div class=""title"">楽天より、多数の賞を受賞</div>
      <div class=""dec"">ショップオブザイヤー(2012動画賞/2015ジャンル賞)、ショップオブジエリア(2014/2016)などの賞を戴きました。</div>
    
    
      <div class=""year"">69<small>th</small></div>
      <div class=""title"">69年の豊富な知識</div>
      <div class=""dec"">安心してお買物頂くために長年培ってきた技術で万全のサポートをお約束します。</div>
    
</div>

<!--▼注文情報▼-->
<div id=""works-tyuumonn"">
  <div class=""title"">最新のご注文情報をリアルタイムで更新中！</div>
  <div class=""left"">
    たくさんのご注文を頂き、ありがとうございます。<br>スタッフ一同、心よりお礼申し上げます。 
  </div>
  <div class=""right"">
    
  </div><em></em>
</div>",シモン 安全スニーカー ライトスペシャル LS418G/W 29.0cm LS418GW29.0 [LS418G/W-29.0][r20]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)シモン 安全スニーカー ライトスペシャル LS418G/W 29.0cm LS418GW29.0 [LS418G/W-29.0][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。シモン 安全スニーカー ライトスペシャル LS418G/W 29.0cm LS418GW29.0 [LS418G/W-29.0][r20][rn]
8-67628,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0204/t010006411582.jpg?fitin=700:700,4720.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,ジーベック エアタンクセフティシューズ 85124 ブラック 24.5CM 8512490245 [85124-90-245][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】,"<div class=item-info><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-00.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-12.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-100.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-21.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-31.gif></div><link rel=""stylesheet"" href=""http://www.rakuten.ne.jp/gold/minatodenk/css/item-footer.css"" type=""text/css"" media=""all"">

<!--▼はじめてのお客様へ-->
<div id=""first_guest"">
  <div class=""title"">
    はじめてのお客様へ
    <div class=""right"">安心してお買物いただくための<span class=""big"">6</span>つのポイント</div>
  </div>
    
      <div class=""title"">即日発送、最短で翌日お届け</div>
      <div class=""dec"">在庫品の場合、営業日12時までのご注文で、福岡より即日発送！最短で翌日のお届けが可能なため、買ってすぐにお使い頂けます。</div>
    
    
      <div class=""title"">万全のアフターサービス</div>
      <div class=""dec"">機械の使い方で分からないことは、当店の技術スタッフがお電話にて詳しく、分かりやすく説明させて頂きます。</div>
    
    
      <div class=""title"">オリジナル動画で詳しく</div>
      <div class=""dec"">当店では、多くのページにオリジナルの説明動画を付けていますので、お客様の疑問や不安をご購入前に解消します。</div>
    
    
      <div class=""title"">決済手数料０円</div>
      <div class=""dec"">カード・代引・コンビニ・法人後払いの決済手数料が無料！わかりやすい価格でお届けします。</div>
    
    
      <div class=""title"">楽天より、多数の賞を受賞</div>
      <div class=""dec"">ショップオブザイヤー(2012動画賞/2015ジャンル賞)、ショップオブジエリア(2014/2016)などの賞を戴きました。</div>
    
    
      <div class=""year"">69<small>th</small></div>
      <div class=""title"">69年の豊富な知識</div>
      <div class=""dec"">安心してお買物頂くために長年培ってきた技術で万全のサポートをお約束します。</div>
    
</div>

<!--▼注文情報▼-->
<div id=""works-tyuumonn"">
  <div class=""title"">最新のご注文情報をリアルタイムで更新中！</div>
  <div class=""left"">
    たくさんのご注文を頂き、ありがとうございます。<br>スタッフ一同、心よりお礼申し上げます。 
  </div>
  <div class=""right"">
    
  </div><em></em>
</div>",ジーベック エアタンクセフティシューズ 85124 ブラック 24.5CM 8512490245 [85124-90-245][r20]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ジーベック エアタンクセフティシューズ 85124 ブラック 24.5CM 8512490245 [85124-90-245][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。ジーベック エアタンクセフティシューズ 85124 ブラック 24.5CM 8512490245 [85124-90-245][r20][rn]
8-67629,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0206/t010006481237.jpg?fitin=700:700,2920.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,CETACEA 長靴セキュリティストラップ IDWBSS [r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】,"<div class=item-info><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-00.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-12.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-100.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-21.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-31.gif></div><link rel=""stylesheet"" href=""http://www.rakuten.ne.jp/gold/minatodenk/css/item-footer.css"" type=""text/css"" media=""all"">

<!--▼はじめてのお客様へ-->
<div id=""first_guest"">
  <div class=""title"">
    はじめてのお客様へ
    <div class=""right"">安心してお買物いただくための<span class=""big"">6</span>つのポイント</div>
  </div>
    
      <div class=""title"">即日発送、最短で翌日お届け</div>
      <div class=""dec"">在庫品の場合、営業日12時までのご注文で、福岡より即日発送！最短で翌日のお届けが可能なため、買ってすぐにお使い頂けます。</div>
    
    
      <div class=""title"">万全のアフターサービス</div>
      <div class=""dec"">機械の使い方で分からないことは、当店の技術スタッフがお電話にて詳しく、分かりやすく説明させて頂きます。</div>
    
    
      <div class=""title"">オリジナル動画で詳しく</div>
      <div class=""dec"">当店では、多くのページにオリジナルの説明動画を付けていますので、お客様の疑問や不安をご購入前に解消します。</div>
    
    
      <div class=""title"">決済手数料０円</div>
      <div class=""dec"">カード・代引・コンビニ・法人後払いの決済手数料が無料！わかりやすい価格でお届けします。</div>
    
    
      <div class=""title"">楽天より、多数の賞を受賞</div>
      <div class=""dec"">ショップオブザイヤー(2012動画賞/2015ジャンル賞)、ショップオブジエリア(2014/2016)などの賞を戴きました。</div>
    
    
      <div class=""year"">69<small>th</small></div>
      <div class=""title"">69年の豊富な知識</div>
      <div class=""dec"">安心してお買物頂くために長年培ってきた技術で万全のサポートをお約束します。</div>
    
</div>

<!--▼注文情報▼-->
<div id=""works-tyuumonn"">
  <div class=""title"">最新のご注文情報をリアルタイムで更新中！</div>
  <div class=""left"">
    たくさんのご注文を頂き、ありがとうございます。<br>スタッフ一同、心よりお礼申し上げます。 
  </div>
  <div class=""right"">
    
  </div><em></em>
</div>",CETACEA 長靴セキュリティストラップ IDWBSS [r20]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)CETACEA 長靴セキュリティストラップ IDWBSS [r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。CETACEA 長靴セキュリティストラップ IDWBSS [r20][rn]
8-67630,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0206/t010006467146.jpg?fitin=700:700,12800.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,ノサックス HSKマジックJ1 27.0CM HSKMJ1270 [HSK-M-J1-270][r20],【決済手数料＆送料無料】【法人後払い/コンビニ手数料0円】,"<div class=item-info><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-00.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-10.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-100.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-21.gif><img src=http://www.rakuten.ne.jp/gold/minatodenk/img/n-iteminfo-31.gif></div><link rel=""stylesheet"" href=""http://www.rakuten.ne.jp/gold/minatodenk/css/item-footer.css"" type=""text/css"" media=""all"">

<!--▼はじめてのお客様へ-->
<div id=""first_guest"">
  <div class=""title"">
    はじめてのお客様へ
    <div class=""right"">安心してお買物いただくための<span class=""big"">6</span>つのポイント</div>
  </div>
    
      <div class=""title"">即日発送、最短で翌日お届け</div>
      <div class=""dec"">在庫品の場合、営業日12時までのご注文で、福岡より即日発送！最短で翌日のお届けが可能なため、買ってすぐにお使い頂けます。</div>
    
    
      <div class=""title"">万全のアフターサービス</div>
      <div class=""dec"">機械の使い方で分からないことは、当店の技術スタッフがお電話にて詳しく、分かりやすく説明させて頂きます。</div>
    
    
      <div class=""title"">オリジナル動画で詳しく</div>
      <div class=""dec"">当店では、多くのページにオリジナルの説明動画を付けていますので、お客様の疑問や不安をご購入前に解消します。</div>
    
    
      <div class=""title"">決済手数料０円</div>
      <div class=""dec"">カード・代引・コンビニ・法人後払いの決済手数料が無料！わかりやすい価格でお届けします。</div>
    
    
      <div class=""title"">楽天より、多数の賞を受賞</div>
      <div class=""dec"">ショップオブザイヤー(2012動画賞/2015ジャンル賞)、ショップオブジエリア(2014/2016)などの賞を戴きました。</div>
    
    
      <div class=""year"">69<small>th</small></div>
      <div class=""title"">69年の豊富な知識</div>
      <div class=""dec"">安心してお買物頂くために長年培ってきた技術で万全のサポートをお約束します。</div>
    
</div>

<!--▼注文情報▼-->
<div id=""works-tyuumonn"">
  <div class=""title"">最新のご注文情報をリアルタイムで更新中！</div>
  <div class=""left"">
    たくさんのご注文を頂き、ありがとうございます。<br>スタッフ一同、心よりお礼申し上げます。 
  </div>
  <div class=""right"">
    
  </div><em></em>
</div>",ノサックス HSKマジックJ1 27.0CM HSKMJ1270 [HSK-M-J1-270][r20]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ノサックス HSKマジックJ1 27.0CM HSKMJ1270 [HSK-M-J1-270][r20],【決済手数料＆送料無料】【法人後払い/コンビニ手数料0円】。ノサックス HSKマジックJ1 27.0CM HSKMJ1270 [HSK-M-J1-270][r20][rn]
8-67631,,3811.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【FZ100-25.0】(4899466)超耐滑ゴム底安全靴 ＦＺ１００ ブラック ２５．０ＣＭ 受注単位1,環境安全用品\安全靴・作業靴\安全靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＪＩＳ付加的性能「Ｆ」合格の超耐滑ゴム底により、油や水など滑りやすい環境でも安心して作業が出来ます。<br>●屈曲性に優れており、歩きやすくかがみ作業にも最適です。<br>●ＪＩＳ付加的性能「Ｅ」合格のクッション性と軽量設計が、長時間着用した時の疲労を軽減します。<br>●運輸業、倉庫業、建設業等<br>●寸法(cm):25.0<br>●足幅サイズ:EEE<br>●JIS T 8101革製S種〈普通作業用〉E・F合格<br>●耐圧迫性荷重:10±0.1kN<br>●色:ブラック<br>●中敷:半敷<br>●甲被:牛クロム革（型押）<br>●先芯:鋼製<br>●靴底:合成ゴム1層<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【FZ100-25.0】(4899466)超耐滑ゴム底安全靴 ＦＺ１００ ブラック ２５．０ＣＭ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【FZ100-25.0】(4899466)超耐滑ゴム底安全靴 ＦＺ１００ ブラック ２５．０ＣＭ 受注単位1,環境安全用品\安全靴・作業靴\安全靴。『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【FZ100-25.0】(4899466)超耐滑ゴム底安全靴 ＦＺ１００ ブラック ２５．０ＣＭ 受注単位1[rn]
8-67632,,6791.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【MZ030J-28.0】(4714113)安全長編上靴 ２８．０ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\安全靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●JIS付加的性能「F」合格の滑りにくい靴底です。<br>●クッション性・屈曲性に優れた軽量ウレタン２層底です。<br>●冷えやサビの問題が無く、軽量の樹脂製先芯です。<br>●寸法(cm):28.0<br>●足幅サイズ:EEE<br>●JIS T8101 革製S種(普通作業用)E・F合格<br>●耐圧迫性荷重:10±0.1kN<br>●色：ブラック<br>●甲被:牛クロム革（型押）<br>●先芯:樹脂<br>●靴底:発泡ポリウレタン2層<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【MZ030J-28.0】(4714113)安全長編上靴 ２８．０ｃｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【MZ030J-28.0】(4714113)安全長編上靴 ２８．０ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\安全靴。『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【MZ030J-28.0】(4714113)安全長編上靴 ２８．０ｃｍ 受注単位1[rn]
8-67633,,8116.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【P5210-23.5】(4899539)重作業対応 小指保護樹脂先芯入り安全靴Ｐ５２１０ １３０２００５５ 受注単位1,環境安全用品\安全靴・作業靴\安全靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●台車作業等から小指も保護出来る先芯を搭載しています。<br>●樹脂先芯初のＪＩＳ規格Ｈ種合格の重作業向け安全靴です。<br>●JIS耐滑性能「F」合格の滑りにくい靴底です。<br>●靴の交換時期の目安となるスリップサイン付です。<br>●寸法(cm):23.5<br>●足幅サイズ:EEE<br>●質量(ｇ):740<br>●JIS T 8101 革製H種（重作業用）E・F合格<br>●耐圧迫性荷重:15±0.1kN<br>●色：ブラック<br>●甲被:牛クロム革（ソフト型押）<br>●先芯:プロテクトウズ5(ワイド樹脂)<br>●靴底:発泡ポリウレタン2層<br>●中敷：ＰＥカップインソール（抗菌・防臭）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【P5210-23.5】(4899539)重作業対応 小指保護樹脂先芯入り安全靴Ｐ５２１０ １３０２００５５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【P5210-23.5】(4899539)重作業対応 小指保護樹脂先芯入り安全靴Ｐ５２１０ １３０２００５５ 受注単位1,環境安全用品\安全靴・作業靴\安全靴。『カード対応OK！』■〒ミドリ安全（株）/ミドリ安全【P5210-23.5】(4899539)重作業対応 小指保護樹脂先芯入り安全靴Ｐ５２１０ １３０２００５５ 受注単位1[rn]
8-67634,,6071.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒（株）シモン/シモン 【7517-27.5】(4350634)安全靴 短靴 ７５１７黒 ２７．５ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\安全靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐滑性に優れた靴底で歩行時の安全を確保します。<br>●足当りを軽減したワイドACM樹脂先芯を使用しています。<br>●建設、運輸他一般製造業。<br>●寸法(cm):27.5<br>●足幅サイズ:EEE<br>●質量(g):900<br>●JIS T 8101革製L種〈軽作業用〉EF合格<br>●耐圧迫性荷重:10±0.1kN<br>●色:ブラック<br>●甲被:銀付牛革<br>●先芯:ワイドACM樹脂<br>●靴底:発泡ポリウレタン2層<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒（株）シモン/シモン 【7517-27.5】(4350634)安全靴 短靴 ７５１７黒 ２７．５ｃｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）シモン/シモン 【7517-27.5】(4350634)安全靴 短靴 ７５１７黒 ２７．５ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\安全靴。『カード対応OK！』■〒（株）シモン/シモン 【7517-27.5】(4350634)安全靴 短靴 ７５１７黒 ２７．５ｃｍ 受注単位1[rn]
8-67635,,7171.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > 男性用安全靴,『カード対応OK！』■〒（株）シモン/シモン 【3033-23.5】(4520319)安全靴高所作業用 長編上靴 ３０３３都纏 ２３．５ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\安全靴,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽量で屈曲性に優れたヒールのないフラットソールは足場をしっかりととらえます。<br>●建設、高所作業。<br>●寸法(cm):23.5<br>●足幅サイズ:EEE<br>●質量(g):960<br>●JIS T 8101革製L種〈軽作業用〉合格<br>●耐圧迫性荷重:4.5±0.04kN<br>●色:ブラック<br>●甲被:牛革<br>●先芯:鋼製<br>●靴底:合成ゴム（NBR）1層<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒（株）シモン/シモン 【3033-23.5】(4520319)安全靴高所作業用 長編上靴 ３０３３都纏 ２３．５ｃｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）シモン/シモン 【3033-23.5】(4520319)安全靴高所作業用 長編上靴 ３０３３都纏 ２３．５ｃｍ 受注単位1,環境安全用品\安全靴・作業靴\安全靴。『カード対応OK！』■〒（株）シモン/シモン 【3033-23.5】(4520319)安全靴高所作業用 長編上靴 ３０３３都纏 ２３．５ｃｍ 受注単位1[rn]
