17-149999,http://tshop.r10s.jp/bandpower/cabinet/cd-1069.jpg?fitin=700:700,1372.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　,"＜国内盤＞<br>
収録曲：<br>
1.銀河鉄道999／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
2.アメージング・グレース／伝承曲(arr.八木澤教司)<br>
3.ティアーズ・オブ・ムーン（サックスバラード）／織田浩司(arr.樽屋雅徳)<br>
4.クリスマスシーモ！(クリスマスソングの名曲メドレー)／(arr.金山徹)<br>
5.銀河鉄道999（コーラス付き）／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
6.ティアーズ・オブ・ムーン（カラオケVersion）／織田浩司(arr.樽屋雅徳)<br>",【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　。【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211[rn]
17-150018,http://tshop.r10s.jp/bandpower/cabinet/cd-0124.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,スペクタクル・クラシック Vol.2　ブラック・ダイク・バンド　Spectacular Classics Volume 2【ブラスバンド CD】,,"＜輸入盤＞<br>
収録曲：<br>
1.泥棒かささぎ／ロッシーニ
2.「真珠とり」よりカヴァティーナ／ビゼー
3.バレエ音楽「ファウスト」よりフィナーレ／グノー
4.目覚めよと呼ぶ声あり／バッハ
5.スラヴィッシュ・ファンタジー／カール・ヘーネ
6.「ポーギーとベス」より／ガーシュイン
7.帰れ、ソレントへ／クルティス
8.ディープ・ハーモニー賛歌／パーカー
9.トロイカ／プロコフィエフ
10.オールド・スイス・チューン／伝承曲
11.「三角帽子」より粉屋の踊り／ファリャ
12.「ガイーヌ」より剣の舞／ハチャトゥリアン
他全14曲収録<br>",スペクタクル・クラシック Vol.2　ブラック・ダイク・バンド　Spectacular Classics Volume 2【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいスペクタクル・クラシック Vol.2　ブラック・ダイク・バンド　Spectacular Classics Volume 2【ブラスバンド CD】,スペクタクル・クラシック Vol.2　ブラック・ダイク・バンド　Spectacular Classics Volume 2【ブラスバンド CD】[rn]
17-150019,http://tshop.r10s.jp/bandpower/cabinet/cd-0398.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,スペクタクル・クラシック Vol.3　ブラック・ダイク・バンド　 Spectacular Classics Volume 3【ブラスバンド CD】,,"＜輸入盤-ブラスバンド＞<br>
・演奏団体：ブラック・ダイク・バンド<br>
収録曲：<br>
1.カルメン組曲／ビゼー<br>
2.歌劇「タイス」より瞑想曲／マスネ<br>
3.歌劇「アブ・ハッサン」序曲<br>
4.組曲「くるみ割り人形」より／チャイコフスキー<br>
5.歌劇「カヴァレリア・ルスティカーナ」よりインテルメッツォ<br>
6.スラブ舞曲No.８／ドヴォルザーク<br>
7.歌劇「リエンツィ」序曲／ワーグナー<br>
8.ギャロップ／チャイコフスキー<br>
9.君は安らぎ／シューベルト）<br>
10.フランス組曲より／ミヨー<br>
など他全15曲収録",スペクタクル・クラシック Vol.3　ブラック・ダイク・バンド　 Spectacular Classics Volume 3【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいスペクタクル・クラシック Vol.3　ブラック・ダイク・バンド　 Spectacular Classics Volume 3【ブラスバンド CD】,スペクタクル・クラシック Vol.3　ブラック・ダイク・バンド　 Spectacular Classics Volume 3【ブラスバンド CD】[rn]
17-150020,http://tshop.r10s.jp/bandpower/cabinet/cd-0653.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,スペクタクル・クラシック Vol.4　ブラック・ダイク・バンド　Spectacular Classics Volume 4【ブラスバンド CD】,,"＜輸入盤-ブラスバンド＞
<br>
収録曲：<br>
1.ギャロップ 作品105／ショスタコーヴィチ<br>
2.フィンガルの洞窟／メンデルスゾーン<br>
3.歌劇「セビリアの理髪師」より今の歌声は心にひびく／ロッシーニ<br>
4.パッヘルベルのカノン／パッヘルベル<br>
5.ラコッツイ行進曲／ベルリオーズ<br>
6.「ペール・ギュント」組曲／グリーグ<br>
7.「ルサルカ」第１幕より月に寄せる歌／ドヴォルザーク<br>
8.喜び<br>
9.ツィゴイネルワイゼン<br>
10.組曲「馬あぶ」よりロマンス／ショスタコーヴィチ<br>
11.半音階的大ギャロップ／リスト",スペクタクル・クラシック Vol.4　ブラック・ダイク・バンド　Spectacular Classics Volume 4【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいスペクタクル・クラシック Vol.4　ブラック・ダイク・バンド　Spectacular Classics Volume 4【ブラスバンド CD】,スペクタクル・クラシック Vol.4　ブラック・ダイク・バンド　Spectacular Classics Volume 4【ブラスバンド CD】[rn]
17-150021,http://tshop.r10s.jp/bandpower/cabinet/16/cd-3871.jpg?fitin=700:700,1840.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約3-5日間】全日本吹奏楽コンクール2015　Vol.8　高等学校編III 【吹奏楽　コンクール CD】KICG-3483,,"★注意！必ずご一読の上、ご購入下さい★<br>
<br>
※こちらの商品はお取り寄せ対応商品です。<br>
<br>
当店に在庫はございませんので、商品のお届けは商品が当店に入荷した後になります。<br>
決済後、おおよそで、商品名欄に記載の日数がかかりますので、ご注意ください。<br>
<br>
※取り寄せ商品と通常商品を同時にご注文されますと、<br>
お届けは商品入荷後の一括発送になりますのでご注意ください。<br>
<br>
※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>
<br>
通常商品を別途お求めご希望の場合は、<br>
取り寄せ商品のみを購入後（決済終了後）再度、別注文としてお買い求めください。<br><br><br><br>■収録団体：<br>
<br>
課II：バレエ音楽「ダフニスとクロエ」第2組曲より　夜明け、全員の踊り<br>
／モーリス・ラヴェル（arr.真島俊夫）<br>
（富山県立高岡商業高等学校　指揮：神田賢二）<br>
<br>課II：スペイン奇想曲より<br>
／ニコライ・リムスキー＝コルサコフ（arr.石津谷治法）<br>
（習志野市立習志野高等学校　指揮：石津谷治法）<br>
<br>課V：「竹取物語」より／三善晃（arr.天野正道）<br>
（秋田県立秋田南高等学校　指揮：奥山昇）<br>
<br>課IV：天雷无妄／天野正道<br>
（柏市立柏高等学校　指揮：石田修一）<br>
<br>課V：シンフォニエッタ第2番「祈りの鐘」／福島弘和<br>
（春日部共栄高等学校　指揮：織戸祥子）<br>
<br>課II：ルイ・ブージョアーの讃歌による変奏曲／クロード・トーマス・スミス<br>
（活水中学・高等学校　指揮：藤重佳久）",【お取り寄せします　約3-5日間】全日本吹奏楽コンクール2015　Vol.8　高等学校編III 【吹奏楽　コンクール CD】KICG-3483：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約3-5日間】全日本吹奏楽コンクール2015　Vol.8　高等学校編III 【吹奏楽　コンクール CD】KICG-3483,【お取り寄せします　約3-5日間】全日本吹奏楽コンクール2015　Vol.8　高等学校編III 【吹奏楽　コンクール CD】KICG-3483[rn]
17-150022,http://tshop.r10s.jp/bandpower/cabinet/cd-0882.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,スペクタクル・クラシック Vol.5　ブラック・ダイク・バンド　Spectacular Classics Volume 5【ブラスバンド CD】,,"＜輸入盤＞<br>
収録曲：<br>
1.アルジェリア組曲より／サン＝サーンス<br>
2.アルハンブラの想い出／タルレガ<br>
3.アヴェ・マリア／カッチーニ<br>
4.聖なる寺院の奥深く／ビゼー<br>
5.歌劇「ローエングリーン」より／ワーグナー<br>
6.歌劇「魔笛」より／モーツァルト<br>
7.バレエ組曲「スパルタクス」より／ハチャトゥリアン<br>
8.ヴォカリーズ／ラフマニノフ<br>
9.歌劇「オベロン」序曲／ウェーバー<br>
10.ジョスランの子守歌／ゴダール<br>
11.セカンド・ワルツ／ショスタコーヴィチ<br>
他全15曲収録<br>",スペクタクル・クラシック Vol.5　ブラック・ダイク・バンド　Spectacular Classics Volume 5【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいスペクタクル・クラシック Vol.5　ブラック・ダイク・バンド　Spectacular Classics Volume 5【ブラスバンド CD】,スペクタクル・クラシック Vol.5　ブラック・ダイク・バンド　Spectacular Classics Volume 5【ブラスバンド CD】[rn]
17-150023,http://tshop.r10s.jp/bandpower/cabinet/cd-0577.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,エッセンシャル・ダイクVol.4　ブラック・ダイク・バンド　Essential Dyke Vol.IV【ブラスバンド CD】,,"＜輸入盤-ブラスバンド＞
<br>
収録曲：<br>
1.ポンダシャー／ジョージ・ウィルコックス<br>
2.大学祝典序曲／ブラームス<br>
3.シルヴァー・スレッド・アモング・ザ・ゴールド（白銀の糸）<br>
4.歌劇「椿姫」より前奏曲／ヴェルディ<br>
5.愛の想い／プライヤー<br>
6.サリヴァン・ファンタジー／サリヴァン<br>
7.歌劇「フィガロの結婚」序曲／モーツァルト<br>
8.ナイト・テンプラー（聖堂騎士）／アラン<br>
9.序奏、主題と変奏／ロッシーニ<br>
10.オール・イン・ザ・エイプリル・イヴニング／ロバートン<br>
11.スラヴ行進曲／チャイコフスキー",エッセンシャル・ダイクVol.4　ブラック・ダイク・バンド　Essential Dyke Vol.IV【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいエッセンシャル・ダイクVol.4　ブラック・ダイク・バンド　Essential Dyke Vol.IV【ブラスバンド CD】,エッセンシャル・ダイクVol.4　ブラック・ダイク・バンド　Essential Dyke Vol.IV【ブラスバンド CD】[rn]
17-150024,http://tshop.r10s.jp/bandpower/cabinet/cd-0044.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,惑星　ブラック・ダイク・ミルズ・バンド　THE PLANETS【ブラスバンド CD】,,"＜輸入盤＞<br>
★これぞ、ヨーロッパ・ブラスバンド・ファンの必須アイテム！<br>
「惑星」（全曲版）の決定版といったら、もうこれっきゃないでしょう！<br>
■収録曲：  <br>
1. 惑星／グスタフ・ホルスト（arr.スティーヴン・ロバーツ）【50：23】<br>
2. ムーアサイド組曲／グスタフ・ホルスト　【16：19】",惑星　ブラック・ダイク・ミルズ・バンド　THE PLANETS【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい惑星　ブラック・ダイク・ミルズ・バンド　THE PLANETS【ブラスバンド CD】,惑星　ブラック・ダイク・ミルズ・バンド　THE PLANETS【ブラスバンド CD】[rn]
17-150025,http://tshop.r10s.jp/bandpower/cabinet/cd-0210.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,エッセンス・オブ・タイム　ジョン・フォスター・ブラック・ダイク・ミルズ・バンド　The Essence of Time【ブラスバンド CD】,,"＜輸入盤＞<br>
収録曲：<br>
1. ポンダシャー／ウィルコックス【2：38】<br>
2. サーカス／アーガールド＝ニールセン【8：02】<br>
3. 日の出／グレイアム【6：12】<br>
4. メイタイム・イン・マドリッド／ウィルコックス【4：35】<br>
5. エッセンス・オブ・タイム／グレイアム【13：44】<br>
6. 瞑想／ゴーランド【6：08】<br>
7. トッカータ／ヒートン【6：16】<br>
8. スウィート・シェパーデス／G.リチャーズ【3：51】<br>
9. ベニスの謝肉祭／R.W.マニングス（arr.レミントン）【6：34】<br>
10. ロンドン序曲／スパーク【13：04】",エッセンス・オブ・タイム　ジョン・フォスター・ブラック・ダイク・ミルズ・バンド　The Essence of Time【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいエッセンス・オブ・タイム　ジョン・フォスター・ブラック・ダイク・ミルズ・バンド　The Essence of Time【ブラスバンド CD】,エッセンス・オブ・タイム　ジョン・フォスター・ブラック・ダイク・ミルズ・バンド　The Essence of Time【ブラスバンド CD】[rn]
17-150026,http://tshop.r10s.jp/bandpower/cabinet/cd-0183.jpg?fitin=700:700,2444.8000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,メサイア　ブラック・ダイク・バンド【CD2枚組】　The Messiah【ブラスバンド CD】,,"＜輸入盤-ブラスバンド＞<br>
ヘンデルの名オラトリア「メサイヤ」を、な・なんとブラス・バンドで、しかも全曲合唱付きで演奏してしまうというとんでもないCDが登場しました。やっちゃったのは言わずと知れたブラック・ダイク・バンド。いやー、マイッタ！<br>
収録曲：<br>
1. メサイア／ゲオルク・フリードリヒ・ヘンデル（arr.デニス・ライト）<br>
CD-1　トータルタイム【51：35】<br>
CD-2　トータルタイム【55：31】",メサイア　ブラック・ダイク・バンド【CD2枚組】　The Messiah【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいメサイア　ブラック・ダイク・バンド【CD2枚組】　The Messiah【ブラスバンド CD】,メサイア　ブラック・ダイク・バンド【CD2枚組】　The Messiah【ブラスバンド CD】[rn]
17-150027,http://tshop.r10s.jp/bandpower/cabinet/16/cd-0825-2nd-160610-1.jpg?fitin=700:700,1852.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【中古CD】サリューテイションズ！東京佼成ウインドオーケストラ,,"【収録曲】<br>
  作曲：アルフレッド・リード（Alfred Reed）【全曲】 <br>
  1. サリューテイションズ！ 【4:44】<br>
  2. 北国の伝説 【8:48】<br>
  3. エル・カミーノ・レアル 【10:12】<br>
  4. 力と尊厳 【7：37】<br>
5. エルサレム賛美（エルサレム讃歌） 【15:56】",【中古CD】サリューテイションズ！東京佼成ウインドオーケストラ：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【中古CD】サリューテイションズ！東京佼成ウインドオーケストラ,【中古CD】サリューテイションズ！東京佼成ウインドオーケストラ[rn]
17-150028,http://tshop.r10s.jp/bandpower/cabinet/cd-0845.jpg?fitin=700:700,2815.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,ジュエルズ・イン・ザ・クラウン：ブラック・ダイク・バンド　Jewels In The Crown ～ A History in Sound of the Black Dyke Band【CD3枚組】【ブラスバンド CD】,,"＜輸入盤-ブラスバンド＞
<br>
収録曲：
<br>
ムーアサイド組曲／ホルスト<br>
歌劇「イスの王様」序曲／ラロ<br>
詩人と農夫序曲／スッペ<br>
序曲「宗教裁判官」／ベルリオーズ<br>
自由への旅／エリック・ボール<br>
周航者ジェームズ・クック（サーカムナビゲーター）／ヴィンター<br>
「ルサルカ」第１幕より 月に寄せる歌／ドヴォルザーク<br>
交響詩「アルビオン」／ヴァンデルロースト<br>
シャイン・アズ・ザ・ライト／ピーター・グレイアム<br>
他全32曲収録【ＣＤ3枚組】
「ルサルカ」第１幕より 月に寄せる歌／ドヴォルザーク",ジュエルズ・イン・ザ・クラウン：ブラック・ダイク・バンド　Jewels In The Crown ～ A History in Sound of the Black Dyke Band【CD3枚組】【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいジュエルズ・イン・ザ・クラウン：ブラック・ダイク・バンド　Jewels In The Crown ～ A History in Sound of the Black Dyke Band【CD3枚組】【ブラスバンド CD】,ジュエルズ・イン・ザ・クラウン：ブラック・ダイク・バンド　Jewels In The Crown ～ A History in Sound of the Black Dyke Band【CD3枚組】【ブラスバンド CD】[rn]
17-150029,http://tshop.r10s.jp/bandpower/cabinet/cd-0890.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,ゴールデン・イヤー　ブラック・ダイク・バンド　A Golden Year【ブラスバンド CD】,,"＜輸入盤＞<br>
収録曲：<br>
1.地底旅行／ピーター・グレイアム<br>
2.エクストリーム・メイクオーヴァー／ヨハン・デメイ<br>
3.ノーザン・ライツ／フィリップ・ウィルビー<br>
4.ナイト・トゥ・シング／ブラムウェル・トーヴィー<br>
5.エデン／ジョン・ピッカード<br>",ゴールデン・イヤー　ブラック・ダイク・バンド　A Golden Year【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいゴールデン・イヤー　ブラック・ダイク・バンド　A Golden Year【ブラスバンド CD】,ゴールデン・イヤー　ブラック・ダイク・バンド　A Golden Year【ブラスバンド CD】[rn]
17-150030,http://tshop.r10s.jp/bandpower/cabinet/cd-0958.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,ブラック・ダイク ～ファンタスティック・オーヴァーチュア Vol.1　Fantastic Overtures Vol.1Black Dyke Band【ブラスバンド CD】,,"＜輸入盤＞＞<br>
収録曲：<br>
編曲：ハワード・ローリマン【全曲】<br>
1.歌劇「ルスランとリュドミラ」序曲／グリンカ<br>
2.歌劇「チェネレントラ（シンデレラ）」／ロッシーニ<br>
3.大学祝典序曲　Op.80／ブラームス<br>
4.歌劇「セミラーミデ」序曲／ロッシーニ<br>
5.交響詩「フィンランディア」 Op.26／シベリウス<br>
6.歌劇「ザンパ」序曲／フエロール<br>
7.序曲「ローマの謝肉祭」 Op.9／ベルリオーズ<br>
8.歌劇「さまよえるオランダ人」序曲／ワーグナー<br>",ブラック・ダイク ～ファンタスティック・オーヴァーチュア Vol.1　Fantastic Overtures Vol.1Black Dyke Band【ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいブラック・ダイク ～ファンタスティック・オーヴァーチュア Vol.1　Fantastic Overtures Vol.1Black Dyke Band【ブラスバンド CD】,ブラック・ダイク ～ファンタスティック・オーヴァーチュア Vol.1　Fantastic Overtures Vol.1Black Dyke Band【ブラスバンド CD】[rn]
17-150031,http://tshop.r10s.jp/bandpower/cabinet/cdi-0048.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約3-5日間】コンサートバンドとジャズアンサンブルのためのラプソディー　土気シビックウィンドオーケストラ Vol.10【吹奏楽 CD】CACG-0083,　,"▼収録曲<br>
1. 組曲「惑星」より 木星／ホルスト(arr.建部知弘)<br>
2. コンサートバンドとジャズアンサンブルのためのラプソディー／P.・ウィリアムズ(arr.S.ネスティコ)<br>
3. アンティフォナーレ／ネリベル<br>
4. スタートレックのテーマ／ゴールドスミス<br>
5. マッカーサー・パーク／J.ウェッブ<br>
6. ミュージカル「チェス」ハイライト／アンダーソン、他(arr.デメイ) <br>
7. フェリスタス／青木 進<br>
8. 映画「E.T.」より 地上の冒険／J.ウィリアムズ(arr.亀井光太郎)<br>
9. 不滅のベートーヴェン／ベートーヴェン(arr.真島俊夫)<br>",【お取り寄せします　約3-5日間】コンサートバンドとジャズアンサンブルのためのラプソディー　土気シビックウィンドオーケストラ Vol.10【吹奏楽 CD】CACG-0083：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約3-5日間】コンサートバンドとジャズアンサンブルのためのラプソディー　土気シビックウィンドオーケストラ Vol.10【吹奏楽 CD】CACG-0083,　。【お取り寄せします　約3-5日間】コンサートバンドとジャズアンサンブルのためのラプソディー　土気シビックウィンドオーケストラ Vol.10【吹奏楽 CD】CACG-0083[rn]
17-150032,http://tshop.r10s.jp/bandpower/cabinet/15/cd-3382.jpg?fitin=700:700,2285.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】「復興」　第44回定期演奏会　福岡工業大学附属城東高等学校吹奏楽部【CD2枚組】【吹奏楽 CD】OSBR-31009,,"＜メーカーより＞<br>
<br>2014年度第62回全日本吹奏楽コンクールにも出場した福岡工業大学附属城東高等学校吹奏楽部。<br>
<br>そのシンフォニックサウンドは、表題曲保科洋「復興」でも、近年の人気自由曲を見事なまで表現されています。<br>
<br>そしてここ数年注目を浴びる樽屋雅徳作品も5曲収録。<br>
また、恒例となっているゲストは、NHK交響楽団クラリネット奏者加藤明久氏。エレビーの楽しいコンチェルトを聴かせてくれます。<br>
<br>今回は定期演奏会のみならず、1か月半後に開催された「ドリームコンサート」での演奏もたっぷり収録したお得な2枚組です。<br>
<br>
<br>
<br>
■収録曲：<br>
<br>
【Disc 1】<br>
1. NHK大河ドラマ「軍師官兵衛」メイン・テーマ／菅野祐悟（arr.福島弘和） 【3：25】<br>
2. コンサートマーチ「青葉の街で」／小林武夫 【2：47】<br>
3. 復興／保科 洋 【8：25】<br>
<br>
クラリネット協奏曲／マーティン・エレビー 【15：54】<br>
4. 第1楽章　Carousel 【4：10】<br>
5. 第2楽章　Cameo 【7：13】<br>
6. 第3楽章　Charabanc 【4：31】<br>
<br>
7. ラッキードラゴン～第五福竜丸の記憶（1・2年生演奏）／福島弘和 【8：22】<br>
8. 斐伊川に流るるクシナダ姫の涙／樽屋雅徳 【9：14】<br>
9. 「アナと雪の女王」シンフォニック・ハイライト／R.ロぺツ（arr.スティーブン・ブラ） 【6：44】<br>
<br>
10. JYOTO　メドレー2014 【10：32】<br>
赤いスイートピー～青い珊瑚礁～ひまわりの約束～心のプラカード～男はつらいよ<br>
<br>
11. 宝島／和泉宏隆（arr.真島俊夫） 【4：19】<br>&nbsp;<br>
<br>
【Disc 2】<br>
1. フォスター・ファンファーレ（OB＆OG演奏）／樽屋雅徳 【1：10】<br>
2. トム・ティット・トット（OB＆OG演奏）／樽屋雅徳 【7：35】<br>
3. 月下に浮かぶひとすじの道標　～3.11 超克の祈り～／樽屋雅徳 【7：34】<br>
4. ミリタリー・エスコート／ハロルド・ベネット 【2：43】<br>
5. オセロ より　I, III, IV／アルフレッド・リード 【9：15】<br>
6. 交響曲第3番より 第3楽章／ジェームズ・バーンズ 【5：28】<br>
7. ノアの方舟／樽屋雅徳 【7：14】<br>
8. 夜明け ～合唱と吹奏楽のための～　旭川商業高校吹奏楽部平成10年度卒部生一同 作詞／八幡映美（arr.宍倉 晃） 【5：45】<br>
<br>
9. ヤングマン－Y.M.C.A.－／ジャック・モラリ（arr.本澤なおゆき） 【4：15】<br>
10. 青春の輝き／リチャード・カーペンター（arr.星出尚志） 【4：28】<br>
11. コンサートバンドとジャズアンサンブルのためのラプソディ
／パトリック・ウィリアムズ（arr.サミー・ネスティコ） 【8：34】<br>
<br>
12. エルザの大聖堂への行列／リヒャルト・ワーグナー（arr.ルシアン・カイリエ） 【6：24】",【お取り寄せします　約5日間】「復興」　第44回定期演奏会　福岡工業大学附属城東高等学校吹奏楽部【CD2枚組】【吹奏楽 CD】OSBR-31009：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】「復興」　第44回定期演奏会　福岡工業大学附属城東高等学校吹奏楽部【CD2枚組】【吹奏楽 CD】OSBR-31009,【お取り寄せします　約5日間】「復興」　第44回定期演奏会　福岡工業大学附属城東高等学校吹奏楽部【CD2枚組】【吹奏楽 CD】OSBR-31009[rn]
17-150033,http://tshop.r10s.jp/bandpower/cabinet/cd-0192.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,クロスオーヴァー　ノルウェー王国海軍バンド　Crossover【吹奏楽 CD】,,"＜輸入盤＞<br>
収録曲：<br>
1.結婚行進曲／ヤン・マグネ・フェルデ<br>
2.天国にて／伝承曲<br>
3.ケルトの叫び／ハーディマン（arr.グレイアム）<br>
4.カートゥーン／ウイルソン<br>
5.「コンチェルティーノ・ブリランテ」よりアンダンテ／ウェストビー<br>
6.ウインド・オーケストラのための交響曲「モンタージュ」／ピーター・グレイアム<br>
7.アーティク・ランドスケープ／アーガールド＝ニールセン<br>
8.結婚行進曲／フェルデ<br>",クロスオーヴァー　ノルウェー王国海軍バンド　Crossover【吹奏楽 CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいクロスオーヴァー　ノルウェー王国海軍バンド　Crossover【吹奏楽 CD】,クロスオーヴァー　ノルウェー王国海軍バンド　Crossover【吹奏楽 CD】[rn]
