9-12303,,3880.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●追加用レターケース（TOA4-S1・W1）を使うことで、1段ずつの増設が可能です。<br>●各段の付け外しができますので、段数の増減が可能です。<br>●A4サイズの用紙がぴったり納まるので、書類の整理に最適です。<br>●別売の仕切り（TA4-S40・L40、TA4-S80・L80）を使用して、小物の整理もできます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1[rn]
9-12314,,2873.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型３個、Ａ４深型１個【TOA4-S3W1】(2869187) 受注単位1,(2869187),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●追加用レターケース（TOA4-S1・W1）を使うことで、1段ずつの増設が可能です。<br>●各段の付け外しができますので、段数の増減が可能です。<br>●A4サイズの用紙がぴったり納まるので、書類の整理に最適です。<br>●別売の仕切り（TA4-S40・L40、TA4-S80・L80）を使用して、小物の整理もできます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型３個、Ａ４深型１個【TOA4-S3W1】(2869187) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型３個、Ａ４深型１個【TOA4-S3W1】(2869187) 受注単位1,(2869187)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型３個、Ａ４深型１個【TOA4-S3W1】(2869187) 受注単位1[rn]
9-12315,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790498.jpg?fitin=700:700,7316.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・浅型タイプ　７段【A4-S7P  (ｽﾁｰﾙﾜｸ)】(5046734) 受注単位1,(5046734),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●引出しはクリアで、内部の様子がよく分かります。<br>●書類などの管理だけでなく、小物部品の整理にも最適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・浅型タイプ　７段【A4-S7P  (ｽﾁｰﾙﾜｸ)】(5046734) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・浅型タイプ　７段【A4-S7P  (ｽﾁｰﾙﾜｸ)】(5046734) 受注単位1,(5046734)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・浅型タイプ　７段【A4-S7P  (ｽﾁｰﾙﾜｸ)】(5046734) 受注単位1[rn]
9-12316,,184.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）明工社/明工【MR2960W1】(4315197)ムービータップ（乳白） 受注単位1,オフィス住設用品\ＯＡ・事務用品\OAサプライ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1つのコンセントから電源を3つに分配できます。<br>●コンセント数:3個口<br>●幅(mm):68<br>●奥行(mm):42<br>●高さ(mm):14<br>●質量(g):46<br>●定格電圧:AC125V・15A・最大1500Wまで対応<br>●色:乳白<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒（株）明工社/明工【MR2960W1】(4315197)ムービータップ（乳白） 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）明工社/明工【MR2960W1】(4315197)ムービータップ（乳白） 受注単位1,オフィス住設用品\ＯＡ・事務用品\OAサプライ。『カード対応OK！』■〒（株）明工社/明工【MR2960W1】(4315197)ムービータップ（乳白） 受注単位1[rn]
9-12317,,95380.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒アイリスチトセ【TJL-S46ST-GR】(7732929) 樹脂ロッカー２４人用　グレー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●樹脂製なのでさびにくく、汚れてもお手入れが簡単です。<br>●シューズBOXとして、小物入れとして使用できるロッカーです。<br><br><br>●タイプ：24人用<br>●間口(mm)：1040<br>●奥行(mm)：355<br>●高さ(mm)：1510<br>●1マス有効内寸(mm)間口×奥行×高さ：230×325×220<br>●色：グレー<br>●扉材質：ABS樹脂<br><br>●組立式<br><br>●本体・天板・ベース：ABS樹脂<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S46ST-GR】(7732929) 樹脂ロッカー２４人用　グレー 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S46ST-GR】(7732929) 樹脂ロッカー２４人用　グレー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S46ST-GR】(7732929) 樹脂ロッカー２４人用　グレー 受注単位1[rn]
9-12318,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004360603.jpg?fitin=700:700,41088.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０　透明【SC-12PC  (12ﾆﾝﾖｳ)】(5209200) 受注単位1,(5209200),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●扉がポリカーボネート樹脂製のため中身がすぐに確認できます。<br>●本体は落ち着いたネオグレー色です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０　透明【SC-12PC  (12ﾆﾝﾖｳ)】(5209200) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０　透明【SC-12PC  (12ﾆﾝﾖｳ)】(5209200) 受注単位1,(5209200)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０　透明【SC-12PC  (12ﾆﾝﾖｳ)】(5209200) 受注単位1[rn]
9-12319,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004360594.jpg?fitin=700:700,41088.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　６段　１００６Ｘ３００ＸＨ１６００【NPL6  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209170) 受注単位1,(5209170),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●シューズケースは、ボックス型・棚型をそろえてあります。いずれの品種も合理的な組み立て方式により完成された商品です。施設環境に合わせて商品を選べます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　６段　１００６Ｘ３００ＸＨ１６００【NPL6  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209170) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　６段　１００６Ｘ３００ＸＨ１６００【NPL6  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209170) 受注単位1,(5209170)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　６段　１００６Ｘ３００ＸＨ１６００【NPL6  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209170) 受注単位1[rn]
9-12320,,33140.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒アイリスチトセ【TJL-S24ST-BL】(7732813) 樹脂ロッカー８人用　ブルー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●樹脂製なのでさびにくく、汚れてもお手入れが簡単です。<br>●シューズBOXとして、小物入れとして使用できるロッカーです。<br><br><br>●タイプ：8人用<br>●間口(mm)：520<br>●奥行(mm)：355<br>●高さ(mm)：1030<br>●1マス有効内寸(mm)間口×奥行×高さ：230×325×220<br>●色：ブルー<br>●扉材質：ABS樹脂<br><br>●組立式<br><br>●本体・天板・ベース：ABS樹脂<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S24ST-BL】(7732813) 樹脂ロッカー８人用　ブルー 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S24ST-BL】(7732813) 樹脂ロッカー８人用　ブルー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S24ST-BL】(7732813) 樹脂ロッカー８人用　ブルー 受注単位1[rn]
9-12321,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004360593.jpg?fitin=700:700,28258.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　４段　１００６Ｘ３００ＸＨ１１００【NPL4  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209161) 受注単位1,(5209161),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●シューズケースは、ボックス型・棚型をそろえてあります。いずれの品種も合理的な組み立て方式により完成された商品です。施設環境に合わせて商品を選べます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　４段　１００６Ｘ３００ＸＨ１１００【NPL4  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209161) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　４段　１００６Ｘ３００ＸＨ１１００【NPL4  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209161) 受注単位1,(5209161)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　オープンシューズケース　４段　１００６Ｘ３００ＸＨ１１００【NPL4  (ﾈｵｸﾞﾚｰ) (ﾀﾅｶﾞﾀ)】(5209161) 受注単位1[rn]
9-12322,,37642.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ【SC-06-A】(7657919) シューズケース　６人用　２９３Ｘ３８０ＸＨ１７００　扉付　鍵付 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品は規格外の商品の為、送料が別途発生致します。配送地域によって送料が異なりますので詳しくはお問い合わせください。</b></font><br><br>※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●連結可能な１列６段仕様のシューズロッカーです。<br>●連結はドライバー１本で簡単に連結できます。<br>●アジャスター付なのでレベル調整も可能です。<br><br><br>●タイプ：6人用シリンダー錠<br>●間口(mm)：296<br>●奥行(mm)：380<br>●高さ(mm)：1700<br>●1マス有効内寸(mm)間口×奥行×高さ：233×340×248<br>●質量(kg)：<br><br>●完成品<br>●色：ネオグレー<br>●連結用ビス付<br><br>●本体：スチール<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ【SC-06-A】(7657919) シューズケース　６人用　２９３Ｘ３８０ＸＨ１７００　扉付　鍵付 受注単位1：クローバー資材館,『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ【SC-06-A】(7657919) シューズケース　６人用　２９３Ｘ３８０ＸＨ１７００　扉付　鍵付 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ【SC-06-A】(7657919) シューズケース　６人用　２９３Ｘ３８０ＸＨ１７００　扉付　鍵付 受注単位1[rn]
9-12323,,57672.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒東洋事務器工業/東洋【OCH321】(4627873) 長靴用トレーボックス 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●用途に応じて収納が多様化できます。オプションのトレーを追加すると、仕分けにも便利です。<br>●長靴用、スリッパ、靴などのシューズボックスに適しています。<br><br><br>●タイプ：可動トレー21個付<br>●間口(mm)：900<br>●奥行(mm)：380<br>●高さ(mm)：1790<br>●1マス有効内寸(mm)間口×奥行×高さ：-<br>●質量(kg)：61.2<br><br>●完成品<br>●色：ニューグレー<br>●可動ピッチ：39mm<br><br>●スチール鋼板（メラミン焼き付け塗装）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒東洋事務器工業/東洋【OCH321】(4627873) 長靴用トレーボックス 受注単位1：クローバー資材館,『カード対応OK！』##■〒東洋事務器工業/東洋【OCH321】(4627873) 長靴用トレーボックス 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』##■〒東洋事務器工業/東洋【OCH321】(4627873) 長靴用トレーボックス 受注単位1[rn]
9-12324,,33140.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒アイリスチトセ【TJL-S24ST-BR】(7732821) 樹脂ロッカー８人用　クリアブラウン 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●樹脂製なのでさびにくく、汚れてもお手入れが簡単です。<br>●シューズBOXとして、小物入れとして使用できるロッカーです。<br><br><br>●タイプ：8人用<br>●間口(mm)：520<br>●奥行(mm)：355<br>●高さ(mm)：1030<br>●1マス有効内寸(mm)間口×奥行×高さ：230×325×220<br>●色：クリアブラウン<br>●扉材質：ポリカーボネート<br><br>●組立式<br><br>●本体・天板・ベース：ABS樹脂<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S24ST-BR】(7732821) 樹脂ロッカー８人用　クリアブラウン 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S24ST-BR】(7732821) 樹脂ロッカー８人用　クリアブラウン 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S24ST-BR】(7732821) 樹脂ロッカー８人用　クリアブラウン 受注単位1[rn]
9-12325,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004360616.jpg?fitin=700:700,47185.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１６人用　１０５０Ｘ３８０ＸＨ８８０　窓付【SC-16WM  (カギナシ)】(5209269) 受注単位1,(5209269),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●スチール扉に窓が付いたシューズケースです。<br>●斬新なデザインで、使用する人の心をなごませます。また、窓付ですので中が見えて非常に便利です。<br><font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\2500がかかります。</b></font><br>※追加送料は別途当店からのメールで訂正されます。<br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１６人用　１０５０Ｘ３８０ＸＨ８８０　窓付【SC-16WM  (カギナシ)】(5209269) 受注単位1：クローバー資材館,『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１６人用　１０５０Ｘ３８０ＸＨ８８０　窓付【SC-16WM  (カギナシ)】(5209269) 受注単位1,(5209269)。『カード対応OK！』###■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１６人用　１０５０Ｘ３８０ＸＨ８８０　窓付【SC-16WM  (カギナシ)】(5209269) 受注単位1[rn]
9-12326,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004360599.jpg?fitin=700:700,41194.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０【SC-12P  (ｼﾞｮｰﾅｼ)】(5209188) 受注単位1,(5209188),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●扉がABS樹脂製のため、サビる心配がありません。<br>●本体は落ち着いたネオグレー色です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０【SC-12P  (ｼﾞｮｰﾅｼ)】(5209188) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０【SC-12P  (ｼﾞｮｰﾅｼ)】(5209188) 受注単位1,(5209188)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　シューズケース　１２人用　９００Ｘ３８０ＸＨ８８０【SC-12P  (ｼﾞｮｰﾅｼ)】(5209188) 受注単位1[rn]
9-12327,,47690.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒アイリスチトセ【TJL-S26ST-BL】(7732848) 樹脂ロッカー１２人用　ブルー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●樹脂製なのでさびにくく、汚れてもお手入れが簡単です。<br>●シューズBOXとして、小物入れとして使用できるロッカーです。<br><br><br>●タイプ：12人用<br>●間口(mm)：520<br>●奥行(mm)：355<br>●高さ(mm)：1510<br>●1マス有効内寸(mm)間口×奥行×高さ：230×325×220<br>●色：ブルー<br>●扉材質：ABS樹脂<br><br>●組立式<br><br>●本体・天板・ベース：ABS樹脂<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S26ST-BL】(7732848) 樹脂ロッカー１２人用　ブルー 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S26ST-BL】(7732848) 樹脂ロッカー１２人用　ブルー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S26ST-BL】(7732848) 樹脂ロッカー１２人用　ブルー 受注単位1[rn]
9-12328,,66281.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒アイリスチトセ【TJL-S44ST-GR】(7732899) 樹脂ロッカー１６人用　グレー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●樹脂製なのでさびにくく、汚れてもお手入れが簡単です。<br>●シューズBOXとして、小物入れとして使用できるロッカーです。<br><br><br>●タイプ：16人用<br>●間口(mm)：1040<br>●奥行(mm)：355<br>●高さ(mm)：1030<br>●1マス有効内寸(mm)間口×奥行×高さ：230×325×220<br>●色：グレー<br>●扉材質：ABS樹脂<br><br>●組立式<br><br>●本体・天板・ベース：ABS樹脂<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S44ST-GR】(7732899) 樹脂ロッカー１６人用　グレー 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S44ST-GR】(7732899) 樹脂ロッカー１６人用　グレー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S44ST-GR】(7732899) 樹脂ロッカー１６人用　グレー 受注単位1[rn]
9-12329,,95380.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒アイリスチトセ【TJL-S46ST-BL】(7732902) 樹脂ロッカー２４人用　ブルー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●樹脂製なのでさびにくく、汚れてもお手入れが簡単です。<br>●シューズBOXとして、小物入れとして使用できるロッカーです。<br><br><br>●タイプ：24人用<br>●間口(mm)：1040<br>●奥行(mm)：355<br>●高さ(mm)：1510<br>●1マス有効内寸(mm)間口×奥行×高さ：230×325×220<br>●色：ブルー<br>●扉材質：ABS樹脂<br><br>●組立式<br><br>●本体・天板・ベース：ABS樹脂<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S46ST-BL】(7732902) 樹脂ロッカー２４人用　ブルー 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S46ST-BL】(7732902) 樹脂ロッカー２４人用　ブルー 受注単位1,オフィス住設用品\オフィス家具\シューズボックス。『カード対応OK！』##&forall;■〒アイリスチトセ【TJL-S46ST-BL】(7732902) 樹脂ロッカー２４人用　ブルー 受注単位1[rn]
