13-1,http://tshop.r10s.jp/xhome/cabinet/2013-disney/imgrc0065819157.jpg?fitin=700:700,400.0000,,花・ガーデン・DIY > ガーデニング・農業 > 植木鉢・プランター > 植木鉢,グラスキャンドルホルダー（アナ）,,,グラスキャンドルホルダー（アナ）：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターグラスキャンドルホルダー（アナ）,グラスキャンドルホルダー（アナ）[rn]
13-35,http://tshop.r10s.jp/akibamac/cabinet/03954490/now_printing.gif?fitin=700:700,30248.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【値下げしました！】【中古】SONY VAIO Duo 11 (SVD1121APJB)【Windows8】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面上下に色ムラ・下部に輝度ムラ有り、液晶枠左下に欠け有り。キーボードにテカリ有り、本体外装にキズ有り。<br><br>【商品グレード】∥★★★∥中古品∥●家中どこでも場所を選ばず気軽に使える約1.66kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●スピーディな処理速度と低消費電力を両立させる超低電圧版CPU「Core i3 3217U」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)●付属品に一部欠品が有りますが、通常使用にはほぼ問題有りません<BR><BR>CPU：Core i3 3217U(1.8GHz)/メモリー：4GB/SSD：64GB/光学ドライブ：ドライブ別売/11.6インチワイドTFTカラー液晶［VAIOディスプレイプラス］LEDバックライト(1920x1080/フルHD)/グラフィック：Intel HD Graphics 4000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/HDMI端子搭載/Windows 8 Pro(64ビット) 再セットアップ済み/Officeソフト別売/重量約1660g（カタログ値）<br><br>【欠品】[クイックスタートガイド、トラブル解決ガイド]欠品。<br><br>【付属品】[ACアダプタ、デジタイザースタイラスペン、ACケーブル]が付属。,【送料無料】【値下げしました！】【中古】SONY VAIO Duo 11 (SVD1121APJB)【Windows8】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【値下げしました！】【中古】SONY VAIO Duo 11 (SVD1121APJB)【Windows8】 [中古ノートパソコン本体],【送料無料】【値下げしました！】【中古】SONY VAIO Duo 11 (SVD1121APJB)【Windows8】 [中古ノートパソコン本体][rn]
13-36,http://tshop.r10s.jp/akibamac/cabinet/03954490/now_printing.gif?fitin=700:700,11040.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【値下げしました！】【中古】DELL Latitude E5500 [OS無し],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】ACアダプタコネクタ部皮膜破れ・ゴムバンドのストッパー欠損、バッテリー消耗(交換メッセージ表示されます)、液晶画面右下に輝度ムラ有り。本体外装にキズ有り、キーボード・タッチパッドにテカリ有り、バッテリ消耗。<br><br>【商品グレード】∥★★★∥中古品∥●OSセットアップが必要です●快適動作のデュアルコアCPU「Core 2 Duo P8700」搭載●DVDの視聴、書き込みなどマルチメディアに対応●無線LAN内蔵なので、家中どこでもインターネットが出来たり、1台のプリンタを共有して簡単にワイヤレスプリントが可能です。(ルーターなどが必要です)<BR><BR>CPU：Core 2 Duo P8700(2.53GHz)/メモリー：4GB/HDD：250GB/光学ドライブ：DVD±RW/15.4インチワイドTFT液晶(1280x800/WXGA)/グラフィック：Intel GMA 4500MHD(オンボード)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/(OS無し)HDDデータ完全消去済み/Officeソフト無し/重量約2.89kg（カタログ値）<br><br>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<br><br>【欠品】[コンピュータのセットアップ、セットアップと機能情報、OS再インストール用DVD(Windows7)、OSインストールDVD(WindowsXP)、Drivers & Utilities、PowerDVD、Roxio Creator 10.3]欠品。,【送料無料】【値下げしました！】【中古】DELL Latitude E5500 [OS無し]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【値下げしました！】【中古】DELL Latitude E5500 [OS無し],【送料無料】【値下げしました！】【中古】DELL Latitude E5500 [OS無し][rn]
13-37,http://tshop.r10s.jp/akibamac/cabinet/04915306/4547728804979.jpg?fitin=700:700,16640.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】TOSHIBA DynaBook MX/34MWH (PAMX34MNTWH)  [HDD無し][OS無し]【Office付】,,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面下部に輝度ムラ・上部にキズ有り。本体外装にキズ有り。<br><br>【商品グレード】∥★★★∥中古品∥●OSセットアップが必要です●アスペクト比16:9の11.6型ワイド液晶(1366x768)搭載。省電力LEDバックライトを搭載し、薄型・軽量化、低消費電力を実現しています●艶やかな質感をたたえながらも、キズに強いボディを実現する「成型同時加飾転写工法」を採用●Office Personal 2010(ワード、エクセル)が付属。お買い得です●付属品全有り<BR><BR>CPU：Celeron U3400(1.06GHz)/メモリー：2GB/HDD：0GB/光学ドライブ：ドライブ別売/11.6インチワイドClear SuperView LED液晶(省電力LEDバックライト)(1366x768/WXGA)/グラフィック：Intel HD Graphics(CPU内蔵)/LAN(100BASE-TX)/無線LAN(IEEE802.11a/b/g/n)/モバイルWiMAX搭載/HDMI端子搭載/(OS無し)HDD無し/Office Personal 2010モデル/重量約1480g（カタログ値）/2010年6月頃発売<br><br>【付属品】[dynabookガイド、WiMAXガイド、Office Personal 2010、ACアダプター、バッテリパック、マウス、ACケーブル]が付属。,【送料無料】【中古】TOSHIBA DynaBook MX/34MWH (PAMX34MNTWH)  [HDD無し][OS無し]【Office付】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】TOSHIBA DynaBook MX/34MWH (PAMX34MNTWH)  [HDD無し][OS無し]【Office付】,【送料無料】【中古】TOSHIBA DynaBook MX/34MWH (PAMX34MNTWH)  [HDD無し][OS無し]【Office付】[rn]
13-38,http://tshop.r10s.jp/akibamac/cabinet/04036208/thinkpad_x220.jpg?fitin=700:700,19840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-A25)【Windows7】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】※破損箇所有り(右側面USBポートx1破損、ExpressCardスロットカバーに歪み有り、バッテリゴム部x2欠損。)液晶画面左右と上下部と中央に色ムラ有り、本体外装にキズ・塗装剥げ有り、キーボードにテカリ・文字印刷消え有り、タッチパッド・クリックボタンにテカリ有り。<br><br>【商品グレード】∥★★∥中古品∥●家中どこでも場所を選ばず気軽に使える約1.53kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー2.0対応第2世代インテルCoreプロセッサー「Core i5 2520M」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)<BR><BR>CPU：Core i5 2520M(2.5GHz)/メモリー：4GB/HDD：250GB/光学ドライブ：ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック：Intel HD Graphics 3000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth3.0+HS/Windows 7 Professional(32ビット) 再セットアップ済み/Officeソフト別売/重量約1530g（カタログ値）/2011年5月頃発売<br>【欠品】[セットアップインストラクション]欠品。<br><br>【付属品】[ACアダプター、バッテリー、電源コード]が付属。<br><br>【備考】▲メモリ2GB増設(実装4GB)。、ACアダプタ・ACコード・バッテリのみ付属。,【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-A25)【Windows7】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-A25)【Windows7】 [中古ノートパソコン本体],【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-A25)【Windows7】 [中古ノートパソコン本体][rn]
13-39,http://tshop.r10s.jp/akibamac/cabinet/04036208/thinkpad_x220.jpg?fitin=700:700,23840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-AB4) 【Windows7】 ※動作不良箇所有り [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】▲メモリ2GB増設(実装4GB)。液晶画面右上にキズ・右下にホワイトスポット有り、デバイスマネージャ[PCIシリアルポート]に[!]マーク有り、バッテリー消耗[×]表示有り。本体外装にキズ・汚れ有り、キーボードにテカリ有り、バッテリ消耗。<br><br>【商品グレード】∥★★∥中古品∥※動作不良箇所有り※●家中どこでも場所を選ばず気軽に使える約1.4kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●Windows7のパフォーマンスをさらに引き出す高速DDR3メモリ採用●HTテクノロジー2.0対応第2世代インテルCoreプロセッサー「Core i5 2520M」搭載<BR><BR>CPU：Core i5 2520M(2.5GHz)/メモリー：4GB/HDD：320GB/光学ドライブ：ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック：Intel HD Graphics 3000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth搭載/Windows 7 Professional(32ビット) 再セットアップ済み/Officeソフト別売/重量約1400g（カタログ値）/2012年4月頃発売<br><br>【欠品】[取扱説明書]欠品。<br><br>【付属品】[ACアダプタ、バッテリ・パック、電源コード]が付属。,【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-AB4) 【Windows7】 ※動作不良箇所有り [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-AB4) 【Windows7】 ※動作不良箇所有り [中古ノートパソコン本体],【送料無料】【値下げしました！】【中古】Lenovo ThinkPad X220 (4289-AB4) 【Windows7】 ※動作不良箇所有り [中古ノートパソコン本体][rn]
13-40,http://tshop.r10s.jp/akibamac/cabinet/04772458/2077201817018.jpg?fitin=700:700,79840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【在庫あり】【アウトレット品】MOUSE COMPUTER NG-N-I747G96-W10【Windows10】[未使用品] 〓メーカー保証あり〓【224】[ノートパソコン本体],【Windows10】【ノートパソコン】,【ご注意事項】<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br><br><br>【メーカー1年保証有】CPU:Core i7 4720HQ(2.6GHz)/メモリー:8GB/HDD:1TB/光学ドライブ:DVDスーパーマルチドライブ/15.6インチワイドTFT液晶(1920x1080/フルHD)/グラフィック:GeForce GTX960M(2GB)/LAN(1000BASE-T)/無線LAN(IEEE802.11b/g/n)/Bluetooth4.0/Windows 10 Home(64ビット)未使用品/Officeソフト別売/重量約3kg(カタログ値)<br><br><br>【商品グレード】∥★★★★★∥未使用品∥【付属品】揃っています。[マニュアル一式、ACアダプタ、バッテリ、ACケーブル]が付属。,【送料無料】【在庫あり】【アウトレット品】MOUSE COMPUTER NG-N-I747G96-W10【Windows10】[未使用品] 〓メーカー保証あり〓【224】[ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【在庫あり】【アウトレット品】MOUSE COMPUTER NG-N-I747G96-W10【Windows10】[未使用品] 〓メーカー保証あり〓【224】[ノートパソコン本体],【Windows10】【ノートパソコン】。【送料無料】【在庫あり】【アウトレット品】MOUSE COMPUTER NG-N-I747G96-W10【Windows10】[未使用品] 〓メーカー保証あり〓【224】[ノートパソコン本体][rn]
13-41,http://tshop.r10s.jp/akibamac/cabinet/05052378/2077202054016.jpg?fitin=700:700,71840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【在庫あり】【アウトレット品】mouse computer SPR-NWI47GW1H16E 【Windows10】[未使用品] 〓メーカー保証あり〓【224】,,<br>【ご注意事項】<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br><br><br>【メーカー1年保証有】CPU:Core i7 4710MQ(2.5GHz)/メモリー:8GB/HDD:500GB/光学ドライブ:DVDスーパーマルチドライブ/15.6インチワイドTFT液晶(1920x1080/フルHD)/グラフィック:GeForce GT 940M(2GB)/無線LAN(IEEE802.11b/g/n)/Bluetooth4.0/Windows 10 Home(64ビット)モデル 未使用品/Officeソフト別売/重量約2.5kg(カタログ値)<br><br><br>【商品グレード】∥★★★★★∥未使用品∥<br>【付属品】[マニュアル一式、ACアダプター、バッテリーパック、電源コード]が付属。,【送料無料】【在庫あり】【アウトレット品】mouse computer SPR-NWI47GW1H16E 【Windows10】[未使用品] 〓メーカー保証あり〓【224】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【在庫あり】【アウトレット品】mouse computer SPR-NWI47GW1H16E 【Windows10】[未使用品] 〓メーカー保証あり〓【224】,【送料無料】【在庫あり】【アウトレット品】mouse computer SPR-NWI47GW1H16E 【Windows10】[未使用品] 〓メーカー保証あり〓【224】[rn]
13-42,http://tshop.r10s.jp/akibamac/cabinet/05168389/fmvnp4ne.jpg?fitin=700:700,31040.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】Fujitsu LIFEBOOK P771/C (FMVNP4NE)【Windows10】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】HDD:標準160GB⇒実装300GB。液晶画面左右端と下部に色ムラ有り、ヒンジに軋み有り、KINGSOFT Office 2016付き、ソフマップ再生パソコン、新たにWindows10のOSを搭載しています。本体外装にキズ・塗装剥げ・汚れ有り、キーボード・タッチパッド・パームレスト・クリックボタンにテカリ有り。<br><br>【商品グレード】∥★★★∥中古品∥●約1.16kgの軽さは通勤・通学などで常時持ち運んでも苦になりません●HTテクノロジー2.0対応第2世代インテルCoreプロセッサー「Core i5 2520M」搭載●無線LAN内蔵なので、家中どこでもインターネットが出来たり、1台のプリンタを共有して簡単にワイヤレスプリントが可能です。(ルーターなどが必要です)●動作に必須な付属品は揃っています<BR><BR>CPU：Core i5 2520M(2.5GHz)/メモリー：2GB/HDD：300GB/光学ドライブ：ドライブ別売/12.1インチワイドTFTカラー液晶(LEDバックライト)(1280x800/WXGA)/グラフィック：Intel HD Graphics 3000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Windows 10 Home(64ビット) 再セットアップ済み/KINGSOFT Office 2016(新規添付)セット/重量約1160g（カタログ値）/2011年4月頃発売<br><br>【欠品】[取扱説明書、ウェイトセイバー]欠品。<br><br>【付属品】[ACアダプタ、バッテリ、ダストカバー、電源コード]が付属。<br><br>【備考】[再生PC専用リカバリデータ(HDD内)、KINGSOFT Office 2016(新規添付)]付き。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Fujitsu LIFEBOOK P771/C (FMVNP4NE)【Windows10】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Fujitsu LIFEBOOK P771/C (FMVNP4NE)【Windows10】 [中古ノートパソコン本体],【送料無料】【中古】Fujitsu LIFEBOOK P771/C (FMVNP4NE)【Windows10】 [中古ノートパソコン本体][rn]
13-43,http://tshop.r10s.jp/akibamac/cabinet/04958447/4562447038801.jpg?fitin=700:700,104592.8000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】NEC11.6型ワイド モバイルノートPC LAVIE Note Mobile［Office付き・Win10・Core i5］ アクアブルー PC-NM550GAL (PCNM550GAL),,使うほどに、好きになる。コンパクトだから、いつも持ち歩きたくなる。毎日をカラフルにするモバイルPC（2017年春モデル）,【送料無料】NEC11.6型ワイド モバイルノートPC LAVIE Note Mobile［Office付き・Win10・Core i5］ アクアブルー PC-NM550GAL (PCNM550GAL)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】NEC11.6型ワイド モバイルノートPC LAVIE Note Mobile［Office付き・Win10・Core i5］ アクアブルー PC-NM550GAL (PCNM550GAL),【送料無料】NEC11.6型ワイド モバイルノートPC LAVIE Note Mobile［Office付き・Win10・Core i5］ アクアブルー PC-NM550GAL (PCNM550GAL)[rn]
13-44,http://tshop.r10s.jp/akibamac/cabinet/03954490/now_printing.gif?fitin=700:700,26240.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】Lenovo ThinkPad X230 (2325SSF)【Windows10】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面にキズ有り。本体外装にキズ有り。<br><br>【商品グレード】∥★★★∥中古品∥●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが出来たり、1台のプリンタを共有して簡単にワイヤレスプリントが可能です。(ルーターなどが必要です)<BR><BR>CPU：Core i5 3320M(2.6GHz)/メモリー：4GB/SSD：128GB/光学ドライブ：ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック：Intel HD Graphics 4000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g（カタログ値）/2012年11月頃発売<br><br>【欠品】[セットアップインストラクション]欠品。<br><br>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<br><br>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Lenovo ThinkPad X230 (2325SSF)【Windows10】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Lenovo ThinkPad X230 (2325SSF)【Windows10】 [中古ノートパソコン本体],【送料無料】【中古】Lenovo ThinkPad X230 (2325SSF)【Windows10】 [中古ノートパソコン本体][rn]
13-45,http://tshop.r10s.jp/akibamac/cabinet/05422385/4547597806104.jpg?fitin=700:700,71040.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】Apple MacBook Pro 2.3GHz Core i7/15.4 Retina MC975J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇,,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面の端と右下に輝度ムラ・中央上部にキズ有り。本体外装・電源アダプタにキズ有り、キーボードにテカリ有り、ケーブルに汚れ有り。<br><br>【商品グレード】∥★★★∥中古品∥<BR><BR>CPU：(第3世代)クアッドコア Intel Core i7(2.3GHz)/メモリー：8GB/SSD：256GB/光学ドライブ：ドライブ別売/15.4インチワイドRetinaディスプレイ：IPSテクノロジー搭載LEDバックライトディスプレイ(2880x1800)/グラフィック：Intel HD Graphics 4000&GeForce GT 650M(1GB)/自動切替機能搭載/AirMacExtreme標準搭載/重量約2.02kg（カタログ値）/Mac OS 10.7.5 再セットアップ済み/2012年6月頃発売<br><br>【備考】中古品のため、「iLife」の無償ダウンロードはサポート対象外となります。<br><br>【欠品】[Hello.]欠品。<br><br>【付属品】[85W MagSafe 2電源アダプタ(ケーブル巻き取り機能付き)、ACウォールプラグ、電源コード]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Apple MacBook Pro 2.3GHz Core i7/15.4 Retina MC975J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Apple MacBook Pro 2.3GHz Core i7/15.4 Retina MC975J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇,【送料無料】【中古】Apple MacBook Pro 2.3GHz Core i7/15.4 Retina MC975J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇[rn]
