13-6101,,1011.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1,環境安全用品\安全用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●様々なコーナーを保護します。<br>
●夜間でも反射し目立ちます。<br>
●長辺に２本の裏面粘着テープ付です。<br>
●危険個所に応じて貼る枚数を調整できます。<br>
●工場・倉庫・現場・駐車場などの危険表示、保護、緩衝材に。<br>
●車のすり傷防止に。<br>
●色:緑／白<br>
●幅(mm):300<br>
●長さ(m):0.7<br>
●厚み(mm):６<br>
●取付方法:貼付タイプ（粘着テープ付）<br>
●発泡ポリエチレンＥＰＥのクッション材が入っています。<br>
●反射材付きで夜間も安心です。<br>
●ＰＶＣ<br>
●発泡ポリエチレンＥＰＥ（内部クッション材）",■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1：クローバー資材館,■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1,環境安全用品\安全用品。■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1[rn]
13-6112,,233.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エッジクッションテープ　コーナー用　ブラック　４枚入【TECC-50BK】(3292312) 受注単位1,(3292312),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●衝撃吸収力のある発泡ポリエチレンを使用しています。<br>●はがした後にのり残りがほとんどない粘着剤を採用。再粘着性もあります。<br>●コーナー専用に加工しています。<br>●素材は独立気泡ですので水を吸わず、耐候性に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エッジクッションテープ　コーナー用　ブラック　４枚入【TECC-50BK】(3292312) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エッジクッションテープ　コーナー用　ブラック　４枚入【TECC-50BK】(3292312) 受注単位1,(3292312)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エッジクッションテープ　コーナー用　ブラック　４枚入【TECC-50BK】(3292312) 受注単位1[rn]
13-6113,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003858062.jpg?fitin=700:700,1673.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミツギロン工業/ミツギロン　コーン看板車椅子シール付き　３００φ×９４×４２６【CB-ISU】(3613496) 受注単位1,環境安全用品\安全用品・標識\カラーコーン,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●従来の看板より大きく見やすい『両面表示』です。<br>●一般コーンに簡単取り付け可能です。<br>●持ち運びラクラクの軽量タイプです。<br>●チェーンにつなぐ両サイドフック付きです。",『カード対応OK！』■〒ミツギロン工業/ミツギロン　コーン看板車椅子シール付き　３００φ&times;９４&times;４２６【CB-ISU】(3613496) 受注単位1：クローバー資材館,『カード対応OK！』■〒ミツギロン工業/ミツギロン　コーン看板車椅子シール付き　３００φ&times;９４&times;４２６【CB-ISU】(3613496) 受注単位1,環境安全用品\安全用品・標識\カラーコーン。『カード対応OK！』■〒ミツギロン工業/ミツギロン　コーン看板車椅子シール付き　３００φ&times;９４&times;４２６【CB-ISU】(3613496) 受注単位1[rn]
13-6114,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003857121.jpg?fitin=700:700,19872.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒岩田製作所/ＩＷＡＴＡ　バンパープロ　ＢＰ２　（５ｍ）【BP2-L5】() 受注単位1,環境安全用品\安全用品・標識\安全クッション,"<font size=""4"" color=""""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>●耐久性、耐衝撃に優れた発泡ウレタン製。耐油、耐水性に優れたPVCフィルムコーティングです。<br><font color=""#ff0000"">※数によっては追加送料がかかる場合があります。お問い合わせください。</font><br>",『カード対応OK！』##■〒岩田製作所/ＩＷＡＴＡ　バンパープロ　ＢＰ２　（５ｍ）【BP2-L5】() 受注単位1：クローバー資材館,『カード対応OK！』##■〒岩田製作所/ＩＷＡＴＡ　バンパープロ　ＢＰ２　（５ｍ）【BP2-L5】() 受注単位1,環境安全用品\安全用品・標識\安全クッション。『カード対応OK！』##■〒岩田製作所/ＩＷＡＴＡ　バンパープロ　ＢＰ２　（５ｍ）【BP2-L5】() 受注単位1[rn]
13-6115,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005448752.jpg?fitin=700:700,2491.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　４５０×６００　ご協力をお願いします【TMH-4560-B】(4163303) 受注単位1,(4163303),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●マグネットタイプですので簡単に設置、取り外しが可能です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　４５０&times;６００　ご協力をお願いします【TMH-4560-B】(4163303) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　４５０&times;６００　ご協力をお願いします【TMH-4560-B】(4163303) 受注単位1,(4163303)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　４５０&times;６００　ご協力をお願いします【TMH-4560-B】(4163303) 受注単位1[rn]
13-6116,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003858397.jpg?fitin=700:700,341.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニット/ユニット　カラーコーン用　２枚組　駐車禁止　ＰＶＣステッカー　３５０Ｘ１００【834-352】(3717658) 受注単位1,環境安全用品\安全用品・標識\安全標識,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●工場・事務所・物流倉庫に適しています。<br>●コーンに貼って手軽に表示が出来ます。",『カード対応OK！』■〒ユニット/ユニット　カラーコーン用　２枚組　駐車禁止　ＰＶＣステッカー　３５０Ｘ１００【834-352】(3717658) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニット/ユニット　カラーコーン用　２枚組　駐車禁止　ＰＶＣステッカー　３５０Ｘ１００【834-352】(3717658) 受注単位1,環境安全用品\安全用品・標識\安全標識。『カード対応OK！』■〒ユニット/ユニット　カラーコーン用　２枚組　駐車禁止　ＰＶＣステッカー　３５０Ｘ１００【834-352】(3717658) 受注単位1[rn]
13-6117,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005474610.jpg?fitin=700:700,7554.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　安心クッションＬ字型小　緑・白　１０本入り【T10AC-102】(4156374) 受注単位1,(4156374),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ちぎれにくく、クッション性に優れた衝撃吸収材です。<br>●トラ柄の注意喚起と万が一衝突した際の衝撃吸収を同時に対策できます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　安心クッションＬ字型小　緑・白　１０本入り【T10AC-102】(4156374) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　安心クッションＬ字型小　緑・白　１０本入り【T10AC-102】(4156374) 受注単位1,(4156374)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　安心クッションＬ字型小　緑・白　１０本入り【T10AC-102】(4156374) 受注単位1[rn]
13-6118,,11120.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイコム（株）/アイコム 【IC-4110D】(4516303)特定小電力トランシーバー 中継器対応 ＩＣ－４１１０Ｄ 受注単位1,環境安全用品\安全用品・標識\トランシーバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●単3アルカリ乾電池で約80時間使用が可能です。<br>●大音量400mWスピーカーを採用しています。<br>●色:ブラック<br>●幅(mm):55.5<br>●奥行(mm):27.3<br>●高さ(mm):102.5<br>●アンテナ長(mm):80<br>●通話距離：約100～200ｍ（市街地）、約1～2km(郊外)<br>●交互通話：20チャンネル+中継通話:27チャンネル<br>●出力：10mW<br>●電源：充電式(単3乾電池3本でも使用可能)（電池別売）<br>●ベルトクリップ<br>●中継通話は中継器IC-RP4100をご使用ください。<br>",『カード対応OK！』■〒アイコム（株）/アイコム 【IC-4110D】(4516303)特定小電力トランシーバー 中継器対応 ＩＣ&minus;４１１０Ｄ 受注単位1：クローバー資材館,『カード対応OK！』■〒アイコム（株）/アイコム 【IC-4110D】(4516303)特定小電力トランシーバー 中継器対応 ＩＣ&minus;４１１０Ｄ 受注単位1,環境安全用品\安全用品・標識\トランシーバー。『カード対応OK！』■〒アイコム（株）/アイコム 【IC-4110D】(4516303)特定小電力トランシーバー 中継器対応 ＩＣ&minus;４１１０Ｄ 受注単位1[rn]
13-6119,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005440997.jpg?fitin=700:700,2040.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プリントノンスリップ３００Ｘ３０６　足元注意【TPNS-3033】(4087267) 受注単位1,(4087267),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●裏面をはがして貼るだけで簡単に施工できます。<br>●滑り止め効果に視覚による注意喚起効果が加わりスリップ事故防止に効果が期待できます。<br>●凹凸面にもプライマー等による下地処理が不要でそのまま貼ることができます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プリントノンスリップ３００Ｘ３０６　足元注意【TPNS-3033】(4087267) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プリントノンスリップ３００Ｘ３０６　足元注意【TPNS-3033】(4087267) 受注単位1,(4087267)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プリントノンスリップ３００Ｘ３０６　足元注意【TPNS-3033】(4087267) 受注単位1[rn]
13-6120,,19224.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニペックス（株）/ユニペックス【TR-315S】(4347005)防滴形メガホン １５Ｗ サイレン付 受注単位1,環境安全用品\安全用品・標識\拡声器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●クリアーな音質でシャープに遠くまで声を伝えます。<br>●クリアホーンは視界が良好ですので、拡声ターゲットの確認、スピーチ、指令伝達が的確に行えます。<br>●内蔵音:サイレン<br>●定格出力(W):15<br>●音声通達距離(m):約315<br>●内蔵音通達距離(m):約500<br>●口径(mm):208<br>●全長(mm):320<br>●電源:単2×6本<br>●質量(kg):1.1<br>●ストラップ長さ:485mm<br>●電池別売<br>●電池持続時間:音声:約18時間、サイレン:約40分<br>●ASA樹脂<br>●電池別売<br>",『カード対応OK！』■〒ユニペックス（株）/ユニペックス【TR-315S】(4347005)防滴形メガホン １５Ｗ サイレン付 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニペックス（株）/ユニペックス【TR-315S】(4347005)防滴形メガホン １５Ｗ サイレン付 受注単位1,環境安全用品\安全用品・標識\拡声器。『カード対応OK！』■〒ユニペックス（株）/ユニペックス【TR-315S】(4347005)防滴形メガホン １５Ｗ サイレン付 受注単位1[rn]
13-6121,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002902705.jpg?fitin=700:700,591.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キタムラ産業/キタムラ　カラーコーン青【S-700-V】(3551016) 受注単位1,環境安全用品\安全用品・標識\カラーコーン,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●耐久性があり、変形しにくいです。<br>●重ね合わせて運搬や収納の際にスペースを節約できます。",『カード対応OK！』■〒キタムラ産業/キタムラ　カラーコーン青【S-700-V】(3551016) 受注単位1：クローバー資材館,『カード対応OK！』■〒キタムラ産業/キタムラ　カラーコーン青【S-700-V】(3551016) 受注単位1,環境安全用品\安全用品・標識\カラーコーン。『カード対応OK！』■〒キタムラ産業/キタムラ　カラーコーン青【S-700-V】(3551016) 受注単位1[rn]
13-6122,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002885619.jpg?fitin=700:700,2416.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニット/ユニット　ワンタッチ取付標識　あぶないから入…　ターポリン　５００×９００ｍｍ【342-02】(2531071) 受注単位1,環境安全用品\安全用品・標識\安全標識,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●環境に配慮した[[二酸化炭素]]削減ターポリンを使用しています。<br>●単管パイプや手すりにマジックテープで簡単に取り付けることができます。",『カード対応OK！』■〒ユニット/ユニット　ワンタッチ取付標識　あぶないから入&hellip;　ターポリン　５００&times;９００ｍｍ【342-02】(2531071) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニット/ユニット　ワンタッチ取付標識　あぶないから入&hellip;　ターポリン　５００&times;９００ｍｍ【342-02】(2531071) 受注単位1,環境安全用品\安全用品・標識\安全標識。『カード対応OK！』■〒ユニット/ユニット　ワンタッチ取付標識　あぶないから入&hellip;　ターポリン　５００&times;９００ｍｍ【342-02】(2531071) 受注単位1[rn]
13-6123,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005448722.jpg?fitin=700:700,1484.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　３００×４５０　頭上注意【TMH-3045-B】(4163222) 受注単位1,(4163222),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●マグネットタイプですので簡単に設置、取り外しが可能です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　３００&times;４５０　頭上注意【TMH-3045-B】(4163222) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　３００&times;４５０　頭上注意【TMH-3045-B】(4163222) 受注単位1,(4163222)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　マグネット標識　３００&times;４５０　頭上注意【TMH-3045-B】(4163222) 受注単位1[rn]
