13-7101,,69097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００×１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●繊維製のベルトモッコなので建築、土木での荷役作業が安全に行えます。<br>●繊維製なので、癖もつかず、収納も楽に行えます。<br>●最大使用荷重(t):1<br>●吊手長さ(mm):2000<br>●幅(mm):1800<br>●長さ(mm):1800<br>●網目(mm):150<br>●質量(kg):5.5<br>●ベルト幅:50mm<br>●ポリエステル100％<br>",『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1：クローバー資材館,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ。『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1[rn]
13-7112,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005204006.jpg?fitin=700:700,1176.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　青【SK-110-B】(3704327) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電源パイロットランプ付トリプルコンセント付です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　青【SK-110-B】(3704327) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　青【SK-110-B】(3704327) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　青【SK-110-B】(3704327) 受注単位1[rn]
13-7113,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805464.jpg?fitin=700:700,1588.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　十字トリプル延長コード　アース無し　１０ｍ　アカ【MRS-10-R】(3686370) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ソフト電線使用十字トリプルコードです。",『カード対応OK！』■〒日動工業/日動　十字トリプル延長コード　アース無し　１０ｍ　アカ【MRS-10-R】(3686370) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　十字トリプル延長コード　アース無し　１０ｍ　アカ【MRS-10-R】(3686370) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒日動工業/日動　十字トリプル延長コード　アース無し　１０ｍ　アカ【MRS-10-R】(3686370) 受注単位1[rn]
13-7114,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005083947.jpg?fitin=700:700,21384.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型ブレーカーリール　３０ｍ　アース付【BF-301K】(1055534) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●完全密閉構造で水分をシャットアウトします。<br>●漏電や感電事故を未然に防止します。<br>●とび出しプラグ付です。<br>●屋外用での作業現場に最適です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型ブレーカーリール　３０ｍ　アース付【BF-301K】(1055534) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型ブレーカーリール　３０ｍ　アース付【BF-301K】(1055534) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　防雨型ブレーカーリール　３０ｍ　アース付【BF-301K】(1055534) 受注単位1[rn]
13-7115,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833639.jpg?fitin=700:700,45360.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　５ＫＶＡ【TB-500D】(2742225) 受注単位1,工事用品\コードリール・延長コード\変圧器（トランス）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●連続使用できます。<br>●200Vより降圧した100Vは電圧ドロップを解消し電動工具の過熱、焼損を防ぎます。<br>●現場に200Vしかなく100Vの電動工具を使用したい時、200Vを降下して使用すると電圧降下が少ないので、安定した電源供給ができます。<br>●軽量コンパクトなリングトランスを採用することにより従来のトランスより1/5～1/2の重量になりました。",『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　５ＫＶＡ【TB-500D】(2742225) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　５ＫＶＡ【TB-500D】(2742225) 受注単位1,工事用品\コードリール・延長コード\変圧器（トランス）。『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　５ＫＶＡ【TB-500D】(2742225) 受注単位1[rn]
13-7116,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866816.jpg?fitin=700:700,15892.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）【BR-201】(1063138) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●安全作業の必需品、漏電遮断器付タイプです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）【BR-201】(1063138) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）【BR-201】(1063138) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）【BR-201】(1063138) 受注単位1[rn]
13-7117,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005198237.jpg?fitin=700:700,13511.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　コンセント盤固定型ブレーカーリール　単相１００Ｖアース付　３０ｍ【KB-30K】(3703550) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンセント盤が固定され、リールだけが回転します。<br>●電動工具のプラグを差したままケーブルを引き出しても、コードがねじれません。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　コンセント盤固定型ブレーカーリール　単相１００Ｖアース付　３０ｍ【KB-30K】(3703550) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　コンセント盤固定型ブレーカーリール　単相１００Ｖアース付　３０ｍ【KB-30K】(3703550) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　コンセント盤固定型ブレーカーリール　単相１００Ｖアース付　３０ｍ【KB-30K】(3703550) 受注単位1[rn]
13-7118,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005142955.jpg?fitin=700:700,2356.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ延長コード　２０ｍ　レモンイエロー【SX-203-Y】(3704670) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンセント防じんキャップ付です。<br>●電源パイロットランプ付トリプルコンセント付です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ延長コード　２０ｍ　レモンイエロー【SX-203-Y】(3704670) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ延長コード　２０ｍ　レモンイエロー【SX-203-Y】(3704670) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ延長コード　２０ｍ　レモンイエロー【SX-203-Y】(3704670) 受注単位1[rn]
13-7119,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005112175.jpg?fitin=700:700,9979.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　３芯×１０ｍ【AL-E103N】(3072738) 受注単位1,工事用品\コードリール・延長コード\電源リール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●壁や天井など場所を選ばず簡単に取り付けできます。<br>●180度首振りするのでらくに使用できます。",『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　３芯&times;１０ｍ【AL-E103N】(3072738) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　３芯&times;１０ｍ【AL-E103N】(3072738) 受注単位1,工事用品\コードリール・延長コード\電源リール。『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　３芯&times;１０ｍ【AL-E103N】(3072738) 受注単位1[rn]
13-7120,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811332.jpg?fitin=700:700,24040.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　２ＫＶＡ【NTB-200D】(1257757) 受注単位1,工事用品\コードリール・延長コード\変圧器（トランス）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●連続使用できます。<br>●アースチェックランプ機能付です。<br>●200V現場で100Vが欲しい時、電圧を100V・115Vに降圧できます。",『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　２ＫＶＡ【NTB-200D】(1257757) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　２ＫＶＡ【NTB-200D】(1257757) 受注単位1,工事用品\コードリール・延長コード\変圧器（トランス）。『カード対応OK！』■〒日動工業/日動　変圧器　降圧専用トラパック　２ＫＶＡ【NTB-200D】(1257757) 受注単位1[rn]
13-7121,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005198874.jpg?fitin=700:700,18079.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ミニトランスル　降圧型　単相２００Ｖ→１００・１１５Ｖ　２．０ＫＶＡ【LV-02CS】(3703681) 受注単位1,工事用品\コードリール・延長コード\変圧器（トランス）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●使用機器に適した電圧を作る変圧器です。<br>●100V・200Vどちらでも必要な電源を供給します。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ミニトランスル　降圧型　単相２００Ｖ&rarr;１００・１１５Ｖ　２．０ＫＶＡ【LV-02CS】(3703681) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ミニトランスル　降圧型　単相２００Ｖ&rarr;１００・１１５Ｖ　２．０ＫＶＡ【LV-02CS】(3703681) 受注単位1,工事用品\コードリール・延長コード\変圧器（トランス）。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ミニトランスル　降圧型　単相２００Ｖ&rarr;１００・１１５Ｖ　２．０ＫＶＡ【LV-02CS】(3703681) 受注単位1[rn]
13-7122,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817905.jpg?fitin=700:700,4309.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　２芯×５ｍ【AL-053】(3072720) 受注単位1,工事用品\コードリール・延長コード\電源リール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●壁や天井など場所を選ばず簡単に取り付けできます。<br>●180度首振りするのでらくに使用できます。",『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　２芯&times;５ｍ【AL-053】(3072720) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　２芯&times;５ｍ【AL-053】(3072720) 受注単位1,工事用品\コードリール・延長コード\電源リール。『カード対応OK！』■〒日動工業/日動　自動巻きリール　オートリール　１００Ｖ　２芯&times;５ｍ【AL-053】(3072720) 受注単位1[rn]
13-7123,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005414287.jpg?fitin=700:700,140.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　水性ペイントマーカー中字　赤【PXW2005M.15】(4088808) 受注単位1,工事用品\溶接用品\工業用マーカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●金属・ガラス・プラスチックへの筆記が可能です。<br>●インクの水性化でVOCを大幅削減しました。<br>●本製品に含まれるVOCには、シックハウス症候群に対して厚生労働省が定めた13物質が含まれておりません。<br>●総プラスチックボディなので廃棄時の分別が不要です。",『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　水性ペイントマーカー中字　赤【PXW2005M.15】(4088808) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　水性ペイントマーカー中字　赤【PXW2005M.15】(4088808) 受注単位1,工事用品\溶接用品\工業用マーカー。『カード対応OK！』■〒三菱鉛筆/ｕｎｉ　水性ペイントマーカー中字　赤【PXW2005M.15】(4088808) 受注単位1[rn]
