11-54101,http://tshop.r10s.jp/ik21/cabinet/130308031.jpg?fitin=700:700,544.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S,,"呼び名：R3.5-5S<br>
【仕様】<br>
●適用電線範囲-単線：1.82～2.4（ｍｍ）<br>
●適用電線範囲-撚線：2.63～4.6（mm&sup2;）<br>
●適用電線範囲-AWG：12<br>
●寸法φｄ2：5.3<br>
●寸法B：9.6<br>
【販売数量】：100個<br>
注）写真はサンプルです。<br>【補足】量り売りをしております。数量の増減がありますが、ご了承ください。<br>",ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S,【圧着端子】★汎用の裸圧着端子♪★。ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S[rn]
11-54112,http://tshop.r10s.jp/ik21/cabinet/13022356-2.jpg?fitin=700:700,2800.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-400N,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-400Ｎ<br>
●サイズ ：a=400ｍｍ,b=9ｍｍ<br>
●結束範囲 （ｍｍ）： 15～110<br>
●色 ： N (ナチュラルタイプ) = 自然色",芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-400N：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-400N,【結束バンド 】★♪♪★。芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-400N[rn]
11-54113,http://tshop.r10s.jp/ik21/cabinet/13022402.jpg?fitin=700:700,78.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB100,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB100<br>
●サイズ ：L=100ｍｍ,A=2.5ｍｍ<br>
●結束範囲 （φｍｍ）： 1.0～22<br>
●色 ：乳白",ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB100：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB100,【結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB100[rn]
11-54114,http://tshop.r10s.jp/ik21/cabinet/13022364-2.jpg?fitin=700:700,760.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-250B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-250B<br>
●サイズ ：a=250ｍｍ,b=8.9ｍｍ<br>
●結束範囲 （ｍｍ）： 5～60<br>
●色 ： B (耐候性タイプ) = 黒",芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-250B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-250B,【耐候性結束バンド 】★♪♪★。芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-250B[rn]
11-54115,http://tshop.r10s.jp/ik21/cabinet/13022401.jpg?fitin=700:700,76.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB80,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB80<br>
●サイズ ：L=80ｍｍ,A=2.2ｍｍ<br>
●結束範囲 （φｍｍ）： 1.0～16<br>
●色 ：乳白",ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB80：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB80,【結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB80[rn]
11-54116,http://tshop.r10s.jp/ik21/cabinet/13022366-2.jpg?fitin=700:700,2160.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-350B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-350B<br>
●サイズ ：a=350ｍｍ,b=11.9ｍｍ<br>
●結束範囲 （ｍｍ）： 5～90<br>
●色 ： B (耐候性タイプ) = 黒",芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-350B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-350B,【耐候性結束バンド 】★♪♪★。芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-350B[rn]
11-54117,http://tshop.r10s.jp/ik21/cabinet/cart-01/13022408.jpg?fitin=700:700,1440.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン 〓 インシュロック　屋内用 1袋＝50本入り 〓 AB450,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　50本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB450<br>
●サイズ ：L=460mm,A=7.6mm<br>
●結束範囲 （φｍｍ）： 15.0～130<br>
●色 ：乳白",ヘラマンタイトン 〓 インシュロック　屋内用 1袋＝50本入り 〓 AB450：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン 〓 インシュロック　屋内用 1袋＝50本入り 〓 AB450,【結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。ヘラマンタイトン 〓 インシュロック　屋内用 1袋＝50本入り 〓 AB450[rn]
11-54118,http://tshop.r10s.jp/ik21/cabinet/130224014.jpg?fitin=700:700,632.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB250-W,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB250-W<br>
●サイズ ：L=251ｍｍ,A=4.8ｍｍ<br>
●結束範囲 （φｍｍ）： 1.5～65<br>
●色 ：黒",ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB250-W：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB250-W,【結束バンド】★屋外で使用できる♪♪★。ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB250-W[rn]
11-54119,http://tshop.r10s.jp/ik21/cabinet/cart-01/13022370.jpg?fitin=700:700,3360.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材 〓 コンベックス　耐候性 1袋＝25本入り 〓 CV-1000B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　25本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-1000B<br>
●サイズ ：a=1000mm,b=20mm<br>
●結束範囲 （ｍｍ）：75～240<br>
●色 ：B (耐候性タイプ) = 黒",芝軽素材 〓 コンベックス　耐候性 1袋＝25本入り 〓 CV-1000B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材 〓 コンベックス　耐候性 1袋＝25本入り 〓 CV-1000B,【耐候性結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。芝軽素材 〓 コンベックス　耐候性 1袋＝25本入り 〓 CV-1000B[rn]
11-54120,http://tshop.r10s.jp/ik21/cabinet/13022413.jpg?fitin=700:700,280.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB200-W,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB200-W<br>
●サイズ ：L=202ｍｍ,A=4.6ｍｍ<br>
●結束範囲 （φｍｍ）： 1.5～50<br>
●色 ：黒",ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB200-W：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB200-W,【結束バンド】★屋外で使用できる♪♪★。ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB200-W[rn]
11-54121,http://tshop.r10s.jp/ik21/cabinet/13022406.jpg?fitin=700:700,688.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB300,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB300<br>
●サイズ ：L=301ｍｍ,A=4.8ｍｍ<br>
●結束範囲 （φｍｍ）： 1.5～80<br>
●色 ：乳白",ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB300：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB300,【結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB300[rn]
11-54122,http://tshop.r10s.jp/ik21/cabinet/13022359-2.jpg?fitin=700:700,3200.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　屋内用 1袋＝25本入り〓CV-1000N,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　25本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-1000Ｎ<br>
●サイズ ：a=1000ｍｍ,b=20ｍｍ<br>
●結束範囲 （ｍｍ）：75～240<br>
●色 ： N (ナチュラルタイプ) = 自然色",芝軽素材〓コンベックス　屋内用 1袋＝25本入り〓CV-1000N：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　屋内用 1袋＝25本入り〓CV-1000N,【結束バンド 】★♪♪★。芝軽素材〓コンベックス　屋内用 1袋＝25本入り〓CV-1000N[rn]
11-54123,http://tshop.r10s.jp/ik21/cabinet/13022405.jpg?fitin=700:700,544.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB250,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB250<br>
●サイズ ：L=251ｍｍ,A=4.8ｍｍ<br>
●結束範囲 （φｍｍ）： 1.5～65<br>
●色 ：乳白",ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB250：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB250,【結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。ヘラマンタイトン〓インシュロック　屋内用 1袋＝100本入り〓AB250[rn]
11-54124,http://tshop.r10s.jp/ik21/cabinet/cart-01/13022367.jpg?fitin=700:700,1680.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材 〓 コンベックス　耐候性 1袋＝100本入り 〓 CV-400B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-400B<br>
●サイズ ：a=400mm,b=9mm<br>
●結束範囲 （ｍｍ）： 15～110<br>
●色 ： B (耐候性タイプ) = 黒",芝軽素材 〓 コンベックス　耐候性 1袋＝100本入り 〓 CV-400B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材 〓 コンベックス　耐候性 1袋＝100本入り 〓 CV-400B,【耐候性結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。芝軽素材 〓 コンベックス　耐候性 1袋＝100本入り 〓 CV-400B[rn]
