11-73201,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066038428.jpg?fitin=700:700,5818.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,,"長さの測定、直角の確認やケガキ作業に使用する曲尺。
木材・石材・金属などの曲尺では困難だった大きな物の
測定やケガキ作業が出来ます。  

■精度
・直角度：100mmにつき0.1mm以下　　
・長さの許容差：＋-0.5mm以下  

■表目盛
・長枝：外目盛1m
・短枝：外目盛60cm  

■裏目盛
・長枝：外目盛3尺3寸
・短枝：外目盛2尺  

■形状：同厚 

■材質：ステンレス  

■サイズ：(約）1030×630×2.5mm 

■重量：（約）1102g 

【注意事項】
電気に触れる恐れのある場所では使用しないでください。",シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094[rn]
11-73212,http://tshop.r10s.jp/lamd/cabinet/00547252/img58740411.jpg?fitin=700:700,1115.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ測定　下地センサー　78575　Basic,,"＝用途例＝
○地震による家具倒壊防止の金具取り付けに
○カーテンレール取り付けの金具取り付けに
○額、手すり、タオルハンガー等の取り付けに

壁裏の金属、木材、プラスチックを探知し、点滅と電子音でお知らせします。

地震による家具倒壊防止、カーテンレール取り付け等の金具取り付けに。",シンワ測定　下地センサー　78575　Basic：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ測定　下地センサー　78575　Basic,シンワ測定　下地センサー　78575　Basic[rn]
11-73213,http://tshop.r10s.jp/lamd/cabinet/00547252/img58740413.jpg?fitin=700:700,1672.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ測定　下地センサー　78576　Super,,"＝用途例＝
○地震による家具倒壊防止の金具取り付けに
○カーテンレール取り付けの金具取り付けに
○額、手すり、タオルハンガー等の取り付けに

壁裏の金属、木材、プラスチックを探知し、点滅と電子音でお知らせします。

地震による家具倒壊防止、カーテンレール取り付け等の金具取り付けに。",シンワ測定　下地センサー　78576　Super：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ測定　下地センサー　78576　Super,シンワ測定　下地センサー　78576　Super[rn]
11-73214,http://tshop.r10s.jp/lamd/cabinet/03114807/imgrc0064741393.jpg?fitin=700:700,3879.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,【送料無料】　シンワ測定　下地センサー　EX　78657,,"＝用途例＝
○地震による家具倒壊防止の金具取り付けに
○カーテンレール取り付けの金具取り付けに
○額、手すり、タオルハンガー等の取り付けに

特長、用途 コンクリート内部の鉄筋を発見出来ます。
・壁裏の下地と電線を探知するのに使用する下地センサー。 
機能 ・壁裏の金属・木材・プラスチック・電線を探知、点滅と電子音でお知らせ
・壁の材質や厚さによってセンサーのモードを切り替えられます
・電線警告LED付き 
仕様 ・電源：9Vモニター用電池１個付き
・探知物検出深度：約25mm
・コンクリート内部の金属探知深度約40mmまで可能 
材質 ・本体：ABS樹脂 
サイズ（mm）縦×横×奥 160×80×30 
重量（ｇ） 230 
発売元 シンワ測定株式会社",【送料無料】　シンワ測定　下地センサー　EX　78657：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品【送料無料】　シンワ測定　下地センサー　EX　78657,【送料無料】　シンワ測定　下地センサー　EX　78657[rn]
11-73215,http://tshop.r10s.jp/lamd/cabinet/03114807/imgrc0064741145.jpg?fitin=700:700,4752.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,【送料無料】　シンワ測定　下地センサー　HG‐センタービジョン　78578,,"＝用途例＝
○地震による家具倒壊防止の金具取り付けに
○カーテンレール取り付けの金具取り付けに
○額、手すり、タオルハンガー等の取り付けに

特長
壁裏の見えない間柱を探すために使用する下地センサー
・壁裏の金属・木材・プラスチック・電線を探知、点滅と電子音で
お知らせします。
・壁の材質や厚さによってセンサーのモードを切り替えられます。
・スポットライトで印を付ける位置を示します。
・電線警告機能付きです。
 
仕様 ・電源：9Vモニター用電池１個付き
・探知物検出深度(浅モード)：約19mm
 
寸法(mm) 159×78×34 
重量(g) 155 
材質 本体：ABS樹脂 
発売元 シンワ測定株式会社",【送料無料】　シンワ測定　下地センサー　HG‐センタービジョン　78578：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品【送料無料】　シンワ測定　下地センサー　HG‐センタービジョン　78578,【送料無料】　シンワ測定　下地センサー　HG‐センタービジョン　78578[rn]
11-73216,http://tshop.r10s.jp/tokka-com/cabinet/166/4954628424044.jpg?fitin=700:700,5036.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,SEIKO SVAJ007 ストップウオッチ プロスペックス ストップウオッチ,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/tokka-com/cabinet/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■メモリー数はこれまでの100から300メモリーまでスペックアップ<br><b>色</b>：レッド<br><b>本体重量</b>：61g<br><b>電池寿命</b>：フル充電時約6ヶ月<br><b>防水機能</b>：5気圧防水<br><b>その他機能</b>：スプリットタイム、ラップタイム、フルオートカレンダー",SEIKO SVAJ007 ストップウオッチ プロスペックス ストップウオッチ：特価COM,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得SEIKO SVAJ007 ストップウオッチ プロスペックス ストップウオッチ,【在庫なし】。SEIKO SVAJ007 ストップウオッチ プロスペックス ストップウオッチ[rn]
11-73217,http://tshop.r10s.jp/rukusu/cabinet/folder05/ohm-cv05_1.jpg?fitin=700:700,799.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,【在庫あり】 オーム SP-5G ミニ電池チェッカー CV-05　送料無料,,"● 単１形～単５形乾電池および９Ｖ電池、ボタン電池などの電池残量を計測できます。<BR>
　　単１形乾電池、単２形乾電池、単３形乾電池、単４形乾電池、単５形乾電池、<BR>
　　９Ｖ電池（６Ｆ２２）、ボタン電池（スライドアーム部にはさめるもののみ）<BR>
● スライドアーム部に電池をはさみ計測します。<BR>
● 携帯に便利なキーホルダー付き。<BR>",【在庫あり】 オーム SP-5G ミニ電池チェッカー CV-05　送料無料：ルクス,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得電球蛍光灯リモコン激安電球激安ランプ激安蛍光灯ハロゲン電球ブラックライト水銀灯マルチハロゲン電球形蛍光灯FLR40FL40照明ライトダイクロハロゲンネオボールフィルターLED電球LED【在庫あり】 オーム SP-5G ミニ電池チェッカー CV-05　送料無料,定形外郵便またはメール便で発送。【在庫あり】 オーム SP-5G ミニ電池チェッカー CV-05　送料無料[rn]
11-73218,,14366.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-110 230MM】(4794141)石工用高感度水平器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常のアルミ水平器で読み取ることのできない傾きや段差を読み取ることができる石工用高感度水平器です。<br>●一本一本職人により精度出しされた一級品です。<br>●長さ(mm):230<br>●高さ(mm):40<br>●厚み(mm):22<br>●マグネット:なし<br>●感度:1DIV＝0.5ｍｍ/ｍ（100秒）<br>●鋳鉄<br>",『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-110 230MM】(4794141)石工用高感度水平器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-110 230MM】(4794141)石工用高感度水平器 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-110 230MM】(4794141)石工用高感度水平器 受注単位1[rn]
11-73219,,1649.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-45B】(4850513)ベーシックレベルブラック ４５０ｍｍ ブラック／グリーン 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●樹脂製フラット型サイドキャップ付で建材等を傷つけません。<br>●水平気泡管は拡大レンズ付きで大変見やすく、精度調整機構付で便利です。<br>●測定基準面がV溝付でパイプ等の測定ができます。<br>●６本線気泡管は１/100と2/100勾配の測定ができます。<br>●垂直気泡管は精度調整機構付で便利です。<br>●水平・垂直の測定。<br>●長さ(mm):450<br>●高さ(mm):51<br>●厚み(mm):19.5<br>●マグネット:なし<br>●色:ブラック<br>●感度:0.35ｍｍ/ｍ＝0.0201°<br>●精度:±1.00mm/m=±0.0573°<br>●質量(g):277<br>●精度：±1.00mm/m=±0.0573°以内<br>●感度：0.35mm/m=0.0201°<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA)<br>",『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-45B】(4850513)ベーシックレベルブラック ４５０ｍｍ ブラック／グリーン 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-45B】(4850513)ベーシックレベルブラック ４５０ｍｍ ブラック／グリーン 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-45B】(4850513)ベーシックレベルブラック ４５０ｍｍ ブラック／グリーン 受注単位1[rn]
11-73220,,1946.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 450MM】(4745493)マグネット付Ｉ型アルミ水平器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●I型アルミ水平器のプロ仕様版です。<br>●端面カバー搭載で丈夫です。<br>●大型気泡管で見やすいです。<br>●水平・垂直・45°の測定。<br>●長さ(mm):450<br>●高さ(mm):56<br>●厚み(mm):26<br>●マグネット:2ヶ所<br>●感度:0.5mm/m=0.0286°<br>●精度:±1.5mm/m=±0.0859°以内<br>●精度：±1.5mm/m=±0.0859°以内<br>●感度：0.5mm/m=0.0286°<br>●本体：アルミニウム<br>●気泡管：アクリル樹脂(PMMA)<br>",『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 450MM】(4745493)マグネット付Ｉ型アルミ水平器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 450MM】(4745493)マグネット付Ｉ型アルミ水平器 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 450MM】(4745493)マグネット付Ｉ型アルミ水平器 受注単位1[rn]
11-73221,,1360.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30B】(4850394)ベーシックレベルブラック ３００ｍｍ ブラック／グリーン 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●樹脂製フラット型サイドキャップ付で建材等を傷つけません。<br>●水平気泡管は拡大レンズ付きで大変見やすく、精度調整機構付で便利です。<br>●測定基準面がV溝付でパイプ等の測定ができます。<br>●６本線気泡管は１/100と2/100勾配の測定ができます。<br>●垂直気泡管は精度調整機構付で便利です。<br>●水平・垂直の測定。<br>●長さ(mm):300<br>●高さ(mm):51<br>●厚み(mm):19.5<br>●マグネット:なし<br>●色:ブラック<br>●感度:0.35ｍｍ/ｍ＝0.0201°<br>●精度:±1.00mm/m=±0.0573°<br>●質量(g):200<br>●精度：±1.00mm/m=±0.0573°以内<br>●感度：0.35mm/m=0.0201°<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA)<br>",『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30B】(4850394)ベーシックレベルブラック ３００ｍｍ ブラック／グリーン 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30B】(4850394)ベーシックレベルブラック ３００ｍｍ ブラック／グリーン 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30B】(4850394)ベーシックレベルブラック ３００ｍｍ ブラック／グリーン 受注単位1[rn]
