11-111201,http://tshop.r10s.jp/auc-eplan/cabinet/03001292/03005131/img60353175.jpg?fitin=700:700,7840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,ビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】,１7インチ液晶一体/DVDドライブ/新品マウス,"★ 製品名(型番) FMV-K5290 <br>
★ 製造元(メーカーHP) FUJITSU<br> 
★ 商品構成 本体、17インチモニタ一体、電源コード類、キーボード、新品マウス（純正品）<br>　 
★ CPU  Core2Duo 2.53GHz<br> 
★ メモリー 1ＧB <font size=""5"" color=""#ff0000"">増設済</font> <br>
★ HDD 160ＧＢ(交換済） <br>
★ CD－ROM DVDドライブ<br> 
★ 有線LAN ギガビット　1000BASE-T<br> 
★ OS(ステッカ有） ビスタビジネス <br>
★ OS ビスタビジネス<br>
★ DtoD　有（ビスタビジネス）<br>
 
★ マウス 新品FJ純正マウス（スクロールタイプになります） <br>",ビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】：EPLAN,中古パソコンＰＣノートパソコンディスクトップ液晶モニタディスカウント激安富士通ＮＥＣＤＥＬＬＨＰ東芝メモリージャンクＨＤＤＭＯドライブ新古品パソコン未使用パソコンパナソニックビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】,１7インチ液晶一体/DVDドライブ/新品マウス。ビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】[rn]
11-111253,http://tshop.r10s.jp/excellar/cabinet/211492/1000005042_1.jpg?fitin=700:700,12464.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,BUFFALO製PortableHD■HD-PNF2.0U3-GBE■2TB■新品未開封【即納】,送料無料!代引き手数料250円!クレジット決済可!,"<center><table border=""0""><tr><td><font size=""2"" color=""#FF0000""><b>BUFFALO製PortableHD■HD-PNF2.0U3-GBE■2TB■新品未開封</b></font></td></tr><tr><td><font size=""1"">　<br></font><table bgcolor=""#E4EBFF"" border=""0"" width=""95%""><tr><td><font size=""2""><b>商品状態</b>      :<b>新品未開封</b>      <font size=""1""><br><br></font><b>商品説明</b> :トレンドのフラットデザインにマット塗装を施したハイデザインの外観は2013年度グッドデザイン賞を受賞しました。<br>      HDDの容量に合わせた厚みで無駄のない最適なボディー設計により、大容量でも持ち運びに便利なコンパクトサイズを実現しました。  <font size=""1""><br><br></font><b>商品名</b> :耐衝撃対応 2.5インチ(ポータブル) 外付けHDD    <font size=""1""><br><br></font><b>型番</b>   : <b>MiniStation HD-PNF2.0U3-GBE [ブラック]</b>     <font size=""1""><br><br></font><b>仕様</b>     :[スペック]<br>       容量 2TB<br>       タイプ ポータブルHDD<br>       インターフェース USB3.1/USB3.0/USB2.0<br>       <br>       [サイズ]<br>       幅x高さx奥行 79.5x21.5x115 mm      <font size=""1""><br><br></font><b>その他</b>     :※商品の画像はイメージです。<br><br>表示価格は消費税を含みます。<br>その他たくさんの魅力ある商品を出品しております。ぜひ、見て行ってください。<font size=""1""><br><br></font></font></td></tr></table></td></tr></table></center><font size=""2"">※返品については<b>こちら</b>をご覧ください。</font>",BUFFALO製PortableHD■HD-PNF2.0U3-GBE■2TB■新品未開封【即納】：エクセラー,パソコンソフトソフトPCソフトオフィスハードパーツPCパーツPCハードメモリExcellarexcellarエクセラーCPUゲームオーディオ家電iPodBuffaloI-O DATAショップBUFFALO製PortableHD■HD-PNF2.0U3-GBE■2TB■新品未開封【即納】,送料無料!代引き手数料250円!クレジット決済可!。BUFFALO製PortableHD■HD-PNF2.0U3-GBE■2TB■新品未開封【即納】[rn]
11-111254,http://tshop.r10s.jp/excellar/cabinet/211492/2044030_1.jpg?fitin=700:700,8864.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,I-O DATA製外付HD■HDCL-UT3.0KC■3.0TB USB2.0/3.0■未開封【即納】,送料無料!代引き手数料250円!クレジット決済可!,"<center><table border=""0""><tr><td><font size=""2"" color=""#FF0000""><b>I-O DATA製外付HD■HDCL-UT3.0KC■3.0TB USB2.0/3.0■未開封</b></font></td></tr><tr><td><font size=""1"">　<br></font><table bgcolor=""#E4EBFF"" border=""0"" width=""95%""><tr><td><font size=""2""><b>商品状態</b>    :<b>新品未開封です。</b>    <font size=""1""><br><br></font><b>商品説明</b>    :「HDCL-UTCシリーズ」は、USB 3.0に対応した、縦置き・横置き両対応の外付ハードディスクです。<br>       USB 3.0で使用すれば、バックアップ作業時間の短縮や動画コンテンツのコピー時間を大幅に削減できます。<br>       また、「テレビ番組の録画」や「ビデオカメラのデータバックアップ」にも対応。幅広い用途にお使いいただけます。   <font size=""1""><br><br></font><b>商品名</b> :USB 3.0/2.0 外付型ハードディスク        <font size=""1""><br><br></font><b>型番</b>    : <b>HDCL-UT3.0KC [ブラック]</b>    <font size=""1""><br><br></font><b>仕様</b>   :容量 3TB<br>        タイプ 据え置きHDD<br>   インターフェース USB3.0/USB2.0<br>        <br>        幅x高さx奥行 39x120x185 mm    <font size=""1""><br><br></font><b>その他</b>    :※商品の画像はイメージです。<br><br>表示価格は消費税を含みます。<br>その他たくさんの魅力ある商品を出品しております。ぜひ、見て行ってください。<font size=""1""><br><br></font></font></td></tr></table></td></tr></table></center><font size=""2"">※返品については<b>こちら</b>をご覧ください。</font>",I-O DATA製外付HD■HDCL-UT3.0KC■3.0TB USB2.0/3.0■未開封【即納】：エクセラー,パソコンソフトソフトPCソフトオフィスハードパーツPCパーツPCハードメモリExcellarexcellarエクセラーCPUゲームオーディオ家電iPodBuffaloI-O DATAショップI-O DATA製外付HD■HDCL-UT3.0KC■3.0TB USB2.0/3.0■未開封【即納】,送料無料!代引き手数料250円!クレジット決済可!。I-O DATA製外付HD■HDCL-UT3.0KC■3.0TB USB2.0/3.0■未開封【即納】[rn]
11-111255,http://tshop.r10s.jp/excellar/cabinet/211492/1000004693_1.jpg?fitin=700:700,26224.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,I-O DATA製外付HD■HDCL-UTE5K■5TB USB2.0/3.0■新品未開封【即納】,送料無料!代引き手数料250円!クレジット決済可!,"<center><table border=""0""><tr><td><font size=""2"" color=""#FF0000""><b>I-O DATA製外付HD■HDCL-UTE5K■5TB USB2.0/3.0■新品未開封</b></font></td></tr><tr><td><font size=""1"">　<br></font><table bgcolor=""#E4EBFF"" border=""0"" width=""95%""><tr><td><font size=""2""><b>商品状態</b>        :<b>新品未開封です。</b>        <font size=""1""><br><br></font><b>商品説明</b>        :本商品は、WD(ウエスタンデジタル)製ドライブを採用した、縦置き・横置き両対応の外付HDDです。 動作音も非常に静かな上、USB 3.0で使用すれば保存作業時間や動画コンテンツのコピー時間が高速で完了。また、テレビ番組録画やビデオカメラのデータ保存にも対応しています。      <font size=""1""><br><br></font><b>商品名</b>    :USB 3.0/2.0 外付型ハードディスク            <font size=""1""><br><br></font><b>型番</b>        : <b>HDCL-UTE5K [ブラック]</b>       <font size=""1""><br><br></font><b>仕様</b>      :[スペック]<br>       容量 5TB<br>       タイプ 据え置きHDD<br>       インターフェース USB3.1/USB3.0/USB2.0<br>       <br>       [サイズ]<br>       幅x高さx奥行 39x120x185 mm        <font size=""1""><br><br></font><b>その他</b>        :※商品の画像はイメージです。<br><br>表示価格は消費税を含みます。<br>その他たくさんの魅力ある商品を出品しております。ぜひ、見て行ってください。<font size=""1""><br><br></font></font></td></tr></table></td></tr></table></center><font size=""2"">※返品については<b>こちら</b>をご覧ください。</font>",I-O DATA製外付HD■HDCL-UTE5K■5TB USB2.0/3.0■新品未開封【即納】：エクセラー,パソコンソフトソフトPCソフトオフィスハードパーツPCパーツPCハードメモリExcellarexcellarエクセラーCPUゲームオーディオ家電iPodBuffaloI-O DATAショップI-O DATA製外付HD■HDCL-UTE5K■5TB USB2.0/3.0■新品未開封【即納】,送料無料!代引き手数料250円!クレジット決済可!。I-O DATA製外付HD■HDCL-UTE5K■5TB USB2.0/3.0■新品未開封【即納】[rn]
11-111256,http://tshop.r10s.jp/excellar/cabinet/211492/1000001393_1.jpg?fitin=700:700,6592.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,Silicon Power製PortableHD■SP500GBPHDS03S3WTV■500GB■未開封【即納】【ゆうパケット不可】,合計1万円で送料無料!代引き手数料250円!クレジット決済可,"<center><table border=""0""><tr><td><font size=""2"" color=""#FF0000""><b>Silicon Power製PortableHD■SP500GBPHDS03S3WTV■500GB■未開封</b></font></td></tr><tr><td><font size=""1"">　<br></font><table bgcolor=""#E4EBFF"" border=""0"" width=""95%""><tr><td><font size=""2""><b>商品状態</b>        :<b>新品未開封</b>        <font size=""1""><br><br></font><b>商品説明</b>       :Stream S03 TV＆PC対応 ポータブルHDD 500GB ブラック。USB3.0インターフェース(USB2.0互換)。マット加工で指紋や汚れが付くのを防ぐ。節電モード搭載。電源/データアクセス状態がわかるLEDランプ搭載。       <font size=""1""><br><br></font><b>商品名</b>      :外付けポータブルHDD      <font size=""1""><br><br></font><b>型番</b>      : <b>SP500GBPHDS03S3WTV</b>     <font size=""1""><br><br></font><b>仕様</b>     :[スペック]<br>       容量 500GB<br>       タイプ ポータブルHDD<br>       インターフェース USB3.0/USB2.0<br>       [サイズ]<br>       幅x高さx奥行 77.5x13.3x122.5 mm         <font size=""1""><br><br></font><b>メーカー</b>        :Silicon Power         <font size=""1""><br><br></font><b>その他</b>        :※商品の画像はイメージです。<br><br>表示価格は消費税を含みます。<br>その他たくさんの魅力ある商品を出品しております。ぜひ、見て行ってください。<font size=""1""><br><br></font></font></td></tr></table></td></tr></table></center><font size=""2"">※返品については<b>こちら</b>をご覧ください。</font>",Silicon Power製PortableHD■SP500GBPHDS03S3WTV■500GB■未開封【即納】【ゆうパケット不可】：エクセラー,パソコンソフトソフトPCソフトオフィスハードパーツPCパーツPCハードメモリExcellarexcellarエクセラーCPUゲームオーディオ家電iPodBuffaloI-O DATAショップSilicon Power製PortableHD■SP500GBPHDS03S3WTV■500GB■未開封【即納】【ゆうパケット不可】,合計1万円で送料無料!代引き手数料250円!クレジット決済可。Silicon Power製PortableHD■SP500GBPHDS03S3WTV■500GB■未開封【即納】【ゆうパケット不可】[rn]
11-111257,http://tshop.r10s.jp/nttxstore/cabinet/qzx0013834.jpg?fitin=700:700,6384.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 HW暗号化&パスワードロック 耐衝撃ポータブルハードディスク 1.0TB HDPD-SUT1.0K,,"<br>
<font color=""red""><b>
※本商品は【単品購入限定商品】となります。<br>本商品以外の商品と購入した場合、注文をキャンセルさせて頂きます。</b></font><br>
<br>
◇商品特徴<br>
■本製品は、ハードウェア自動暗号化機能(AES256bit)搭載セキュリティポータブルHDDです。HDDに書き込まれるデータ全てが自動で暗号化され、解体してもデータを読み取られません。さらにパスワードロックで情報漏えいを防ぐ機能を搭載。「ハードウェア自動暗号化」と「パスワードロック」のダブルのセキュリティ機能で、万が一ハードディスクを盗難されたり紛失したりした場合でも、重要なデータの流出を防ぐことができます。<br>
■ボディは衝撃に強い素材を採用、本体内部はフローティング構造により、落下の衝撃を吸収。万が一落としてしまっても、ボディが落下の衝撃からドライブを守る安心設計です。<br>
■米国国防総省の軍事品に採用する性能試験(MIL-STD)と同様の122cmの高さからの落下試験に合格した、衝撃に強いモデルです。<br>
■本製品はWindows8などの通常のWindowsパソコン向けOSはもちろん、WindowsServer2012を含むサーバー用OSにも対応。ハードウェア暗号化やパスワードロックを、ビジネスユースに多いサーバーOSでもお使いいただけます。<br>",(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 HW暗号化&amp;パスワードロック 耐衝撃ポータブルハードディスク 1.0TB HDPD-SUT1.0K：NTT-X Store 楽天市場店,プリンターパソコンタブレットテレビヒーター空気清浄機価格レノボブラウンスマホバリスタネスカフェPCノートパソコン最安安い家電NTT-X Store　エックスストアポイント(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 HW暗号化&amp;パスワードロック 耐衝撃ポータブルハードディスク 1.0TB HDPD-SUT1.0K,(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 HW暗号化&amp;パスワードロック 耐衝撃ポータブルハードディスク 1.0TB HDPD-SUT1.0K[rn]
11-111258,http://tshop.r10s.jp/nttxstore/cabinet/qzx0013827.jpg?fitin=700:700,7184.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 外付ハードディスク 2TB ミレニアム群青 EX-HD2ELNV,,"<br>
<font color=""red""><b>
※本商品は【単品購入限定商品】となります。<br>本商品以外の商品と購入した場合、注文をキャンセルさせて頂きます。</b></font><br>
<br>
◇商品特徴<br>
■本商品は、使い勝手を徹底的に追求したデザインモデルの外付ハードディスクです。高速性や静音性などは高いまま、壁際にぴったり設置できる「カクぴた(R)」デザインや、テレビの視聴時に光のちらつきが気にならない背面LEDの採用など、さまざまな工夫が施されています。<br>
■意外と邪魔になる背面のコネクタを筐体内に収めることで、壁際や、AVラックのような奥行に限りのある場所にも配置できます。また、縦置き/横置きの両方に対応しているので置き場所に困りません。またLEDを背面に配置しているので夜間の録画時にもLEDの点灯が気になりません。<br>
■ミレニアム群青とムーンホワイトとショコラと、3色のカラーラインアップをご用意しました。落ち着きのある「ミレニアム群青」は金沢ゆかりの加賀藩・前田家奥方御殿「成巽閣」の群青をモチーフにしています。<br>
■USB2.0に比べて約10倍(規格値)高速な「USB3.0」に対応。USB3.0対応のインターフェイスと組み合わせることで、バックアップや動画ファイルのコピーもスピーディー。テレビやレコーダーなどにケーブルを1本つないで、本商品に手軽にハイビジョン番組を録画できます。<br>
対応機種<br>
Windowsパソコン、Mac、東芝〈レグザ〉、ソニー〈ブラビア〉、シャープ「アクオス」「ICC PURIOS」、LG 液晶テレビ、三菱〈リアル〉、日立「Wooo」<br>",(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 外付ハードディスク 2TB ミレニアム群青 EX-HD2ELNV：NTT-X Store 楽天市場店,プリンターパソコンタブレットテレビヒーター空気清浄機価格レノボブラウンスマホバリスタネスカフェPCノートパソコン最安安い家電NTT-X Store　エックスストアポイント(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 外付ハードディスク 2TB ミレニアム群青 EX-HD2ELNV,(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 外付ハードディスク 2TB ミレニアム群青 EX-HD2ELNV[rn]
11-111259,http://tshop.r10s.jp/nttxstore/cabinet/qzx0013830.jpg?fitin=700:700,15984.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 3TB HDL-AA3/E,,"<br>
<font color=""red""><b>
※本商品は【単品購入限定商品】となります。<br>本商品以外の商品と購入した場合、注文をキャンセルさせて頂きます。</b></font><br>
<br>
◇商品特徴<br>
■デュアルコアCPU搭載により読み書き共に最大116MB/s(※実測値)と超高速なデータ転送を実現したネットワークHDD(NAS)です。写真や動画など、大容量のデータをPCやスマホ、タブレットとシームレスに共有したり、バックアップすることが可能です。<br>
■高性能デュアルコアCPUを採用し、最適なチューニングにより高速なデータの読み書きを実現!複数のPCやスマホからの同時にアクセスでも速度低下を最小限に抑えます。また、読み書き共に最大116MB/s(※実測値)と今までにない高速スピードを実感いただけます。<br>
■ご購入時には、Windows共有(Samba)などNASの基本機能のみ利用できる状態です。NASのさまざまな機能をパッケージとして用意しているので、ご利用の環境に応じて必要な機能だけを追加(アドオン)することで、自分好みにカスタマイズできます。<br>
■コピー元の共有フォルダーからコピー先の共有フォルダーへ、構成を維持してコピーすることが可能です(ファイル属性はコピー不可)。古いNASのデータをそのまま新しいNASへ移行できるため、NASの入れ替え時のデータ移行に便利です。<br>",(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 3TB HDL-AA3/E：NTT-X Store 楽天市場店,プリンターパソコンタブレットテレビヒーター空気清浄機価格レノボブラウンスマホバリスタネスカフェPCノートパソコン最安安い家電NTT-X Store　エックスストアポイント(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 3TB HDL-AA3/E,(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 3TB HDL-AA3/E[rn]
11-111260,http://tshop.r10s.jp/nttxstore/cabinet/qzx0013829.jpg?fitin=700:700,13584.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 2TB HDL-AA2/E,,"<br>
<font color=""red""><b>
※本商品は【単品購入限定商品】となります。<br>本商品以外の商品と購入した場合、注文をキャンセルさせて頂きます。</b></font><br>
<br>
◇商品特徴<br>
■デュアルコアCPU搭載により読み書き共に最大116MB/s(※実測値)と超高速なデータ転送を実現したネットワークHDD(NAS)です。写真や動画など、大容量のデータをPCやスマホ、タブレットとシームレスに共有したり、バックアップすることが可能です。<br>
■高性能デュアルコアCPUを採用し、最適なチューニングにより高速なデータの読み書きを実現!複数のPCやスマホからの同時にアクセスでも速度低下を最小限に抑えます。また、読み書き共に最大116MB/s(※実測値)と今までにない高速スピードを実感いただけます。<br>
■ご購入時には、Windows共有(Samba)などNASの基本機能のみ利用できる状態です。NASのさまざまな機能をパッケージとして用意しているので、ご利用の環境に応じて必要な機能だけを追加(アドオン)することで、自分好みにカスタマイズできます。<br>
■コピー元の共有フォルダーからコピー先の共有フォルダーへ、構成を維持してコピーすることが可能です(ファイル属性はコピー不可)。古いNASのデータをそのまま新しいNASへ移行できるため、NASの入れ替え時のデータ移行に便利です。<br>",(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 2TB HDL-AA2/E：NTT-X Store 楽天市場店,プリンターパソコンタブレットテレビヒーター空気清浄機価格レノボブラウンスマホバリスタネスカフェPCノートパソコン最安安い家電NTT-X Store　エックスストアポイント(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 2TB HDL-AA2/E,(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 日本製 ネットワーク接続ハードディスク(NAS) 2TB HDL-AA2/E[rn]
11-111261,http://tshop.r10s.jp/nttxstore/cabinet/qzx0013127.jpg?fitin=700:700,15840.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 超高速2ドライブNASキット（ドライブレスモデル） 長期3年保証 HDL2-AA0/E,,"<br>
<font color=""red""><b>
※本商品は【単品購入限定商品】となります。<br>本商品以外の商品と購入した場合、注文をキャンセルさせて頂きます。</b></font><br>
<br>
◇商品特徴<br>
■内蔵HDD非搭載のNASキット(ドライブレスモデル)です。別途、内蔵HDDを2本ご用意いただき、お客様にてファームウェアをインストールし、セットアップすることでご利用いただけます。また、デュアルコアCPU搭載により読み込み最大116MB/s(※実測値)と超高速です。<br>
■内蔵HDD無しのNASキット(ドライブレスモデル)です。同容量の3.5インチSATA3対応HDDを2本ご用意いただき、お客様にてセットアップを行います。推奨のオプションHDD(HDLA-OPBGシリーズ、HDLA-OPRシリーズ)を取り付けた場合に限り、搭載されたHDDもサポート対象となります。<br>
■高性能デュアルコアCPUを採用し、最適なチューニングにより高速なデータの読み込みを実現!複数のPCやスマホからの同時アクセスでも速度低下を最小限に抑えます。また、読み込み最大116MB/sと今までにない高速スピードを実感いただけます。<br>
■ビジネスNASに搭載されているデータ保護技術「拡張ボリューム」に対応!2本のHDDに同じファイルを書き込むことで、どちらかのHDDが故障してもデータを失いません。また、従来の「RAID」システムとは異なる、冗長性、拡張性、高速性を兼ね備えたアイオー独自の仕組みです。<br>",(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 超高速2ドライブNASキット（ドライブレスモデル） 長期3年保証 HDL2-AA0/E：NTT-X Store 楽天市場店,プリンターパソコンタブレットテレビヒーター空気清浄機価格レノボブラウンスマホバリスタネスカフェPCノートパソコン最安安い家電NTT-X Store　エックスストアポイント(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 超高速2ドライブNASキット（ドライブレスモデル） 長期3年保証 HDL2-AA0/E,(単品限定購入商品)【送料無料】アイ・オー・データ機器 デュアルコアCPU搭載 超高速2ドライブNASキット（ドライブレスモデル） 長期3年保証 HDL2-AA0/E[rn]
11-111262,http://tshop.r10s.jp/nttxstore/cabinet/qzx0012413.jpg?fitin=700:700,5584.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,【送料無料】アイ・オー・データ機器　USB 3.0/2.0対応コンパクトサイズポータブルハードディスク 1TB EC-PHU3W1,,"◇商品特徴<br>
■本製品は、USB 3.0に対応した小型のポータブルハードディスクです。手のひらサイズでコンパクトなのに1.0TBの大容量で、転送速度も超高速なので、写真・動画データの保存や、家族や友達とのデータのやり取りにとても便利です!<br>■USBバスパワー駆動に対応していますので、パソコンとはケーブル1本で接続するだけ。ACアダプターは不要で、電源を気にせずお使いいただけます。ウルトラブックやMacBook Airの外部ストレージとして、一緒に持ち歩くのに最適です。※OSのインストールは行えません。<br>■USB 2.0に比べて約10倍(規格値)も高速な「USB 3.0」に対応。データのバックアップや動画ファイルのコピーもスピーディーに行うことができます。<br>■従来のUSB 2.0インターフェイスにもそのまま接続可能ですので、お使いのパソコンがUSB 3.0に対応していなくても安心してお使いいただけます。※USB 2.0インターフェイスに接続した場合、USB 2.0での転送速度(規格値:480Mbps)となります。<br>",【送料無料】アイ・オー・データ機器　USB 3.0/2.0対応コンパクトサイズポータブルハードディスク 1TB EC-PHU3W1：NTT-X Store 楽天市場店,プリンターパソコンタブレットテレビヒーター空気清浄機価格レノボブラウンスマホバリスタネスカフェPCノートパソコン最安安い家電NTT-X Store　エックスストアポイント【送料無料】アイ・オー・データ機器　USB 3.0/2.0対応コンパクトサイズポータブルハードディスク 1TB EC-PHU3W1,【送料無料】アイ・オー・データ機器　USB 3.0/2.0対応コンパクトサイズポータブルハードディスク 1TB EC-PHU3W1[rn]
11-111263,http://tshop.r10s.jp/nttxstore/cabinet/qzx0013836.jpg?fitin=700:700,11184.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付けハードディスクドライブ,(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 ポータブルハードディスク 「超高速カクうす」 ボルドー 2.0TB HDPC-UT2.0BRE,,"<br>
<font color=""red""><b>
※本商品は【単品購入限定商品】となります。<br>本商品以外の商品と購入した場合、注文をキャンセルさせて頂きます。</b></font><br>
<br>
◇商品特徴<br>
■本商品はUSB3.0対応ポータブルHDDです。PCでのデータ保存やUSBHDD録画対応テレビにケーブルを1本つなぐだけで、ハイビジョン番組が録画可能。またWindowsとMac両方でデータの閲覧・書き込みができる「NTFSforMac」が無料でダウンロードできます。<br>
■本商品ではWindowsとMacで本商品をファイルの書き込み制限なく使用できるソフト「NTFSforMac」(MacOSX10.6～10.10対応)が無料ダウンロード可能。<br>MacOSX(通常FAT32等に再フォーマット必要)でもNTFS(多くのHDDでの初期フォーマット)のままデータ書き込み可能になります。<br>
■USB2.0に比べて約10倍(規格値)高速なUSB3.0に対応。また、アイ・オー従来商品よりコンパクトになり、モバイル用途での機能性を考えた特殊加工で、スタイリッシュなデザインと機能性を追求しました。<br>
■テレビやレコーダーなどにケーブルを1本つないで、本商品に手軽にハイビジョン番組を録画可能。録画・再生の操作もテレビやレコーダー付属のリモコン1つで行えます。また、接続したテレビの電源ON/OFFに合わせてHDDも自動でスタンバイになる「電源連動機能」を搭載しています。<br>
対応機種<br>
Windowsパソコン、Mac、東芝〈レグザ〉、シャープ「アクオス」、シャープ「ICC PURIOS」、ソニー〈ブラビア〉、LG Electronics Japan液晶テレビ、三菱〈リアル〉、日立「Wooo」、オリオン液晶テレビ、DXアンテナ「DX BROADTEC」<br>",(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 ポータブルハードディスク 「超高速カクうす」 ボルドー 2.0TB HDPC-UT2.0BRE：NTT-X Store 楽天市場店,プリンターパソコンタブレットテレビヒーター空気清浄機価格レノボブラウンスマホバリスタネスカフェPCノートパソコン最安安い家電NTT-X Store　エックスストアポイント(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 ポータブルハードディスク 「超高速カクうす」 ボルドー 2.0TB HDPC-UT2.0BRE,(単品限定購入商品)【送料無料】アイ・オー・データ機器 USB3.0/2.0対応 ポータブルハードディスク 「超高速カクうす」 ボルドー 2.0TB HDPC-UT2.0BRE[rn]
