11-23801,,5184.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98×175 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●幅(mm):98<br>
●奥行(mm):175<br>
●適用機種:803CD<br>
●タイプ:Ｊ穴<br>
●サイズ(mm):98×175<br>
●エポキシガラス板",■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98&times;175 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98&times;175 発注単位1,作業用品\空圧工具。■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98&times;175 発注単位1[rn]
11-23816,,59704.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【2235QTIMAX】(7563221) １／２インチ　インパクトレンチ（１２．７ｍｍ角） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ツインハンマーの新型機種です。<br>●ボディーにチタンハンマーケースを採用し、低騒音、エア低消費、軽量化と高強度・高耐久性を実現しました。<br>●超極小ボディーが狭い空間での作業効率を上げ、軽さが作業者への負担を軽減します。<br><br>●自動車関係など一般産業用に。<br><br>●能力ボルト径(mm)：30<br>●ソケット差込角(mm)：12.7<br>●最大締付トルク(N・m)：1220<br>●無負荷回転数(rpm)：8500<br>●空気消費量([[立米]]/min)：0.113<br>●ホース取付口：NPT1/4<br>●排気：下方<br>●全長(mm)：193<br>●ハンマータイプ：ツインハンマー<br>●無負荷回転数(min[[の-1乗]])：8500<br>●質量(kg)：2.1<br><br>●使用空気圧力：0.62MPa<br><br>",『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【2235QTIMAX】(7563221) １／２インチ　インパクトレンチ（１２．７ｍｍ角） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【2235QTIMAX】(7563221) １／２インチ　インパクトレンチ（１２．７ｍｍ角） 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒インガソール・ランド・アイティーエ/ＩＲ【2235QTIMAX】(7563221) １／２インチ　インパクトレンチ（１２．７ｍｍ角） 受注単位1[rn]
11-23817,,14580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアインパクトレンチ　差込角１２．７ｍｍ【TAIW-1460】(2879816) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ツインドッグクラッチによる効率のよい打撃です。<br>●ツールを保護し衝撃を吸収する本体カバー付です。<br>●引いた分だけ回転するスロットルトリガーです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアインパクトレンチ　差込角１２．７ｍｍ【TAIW-1460】(2879816) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアインパクトレンチ　差込角１２．７ｍｍ【TAIW-1460】(2879816) 受注単位1,(2879816)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エアインパクトレンチ　差込角１２．７ｍｍ【TAIW-1460】(2879816) 受注単位1[rn]
11-23818,,100101.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＬＦ【GT-4200LF】(2977265) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●全長が短く、奥行きのない場所、リフトアップでの下方向からの締め付けに適しています。",『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＬＦ【GT-4200LF】(2977265) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＬＦ【GT-4200LF】(2977265) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＬＦ【GT-4200LF】(2977265) 受注単位1[rn]
11-23819,,24235.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　インパクトレンチ１２．７ｍｍ角【SP-1143】(2765314) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●持ちやすく滑らないラバーグリップを装備しています。<br>●エアレギュレーター内蔵です。<br>●バイアスモーター内蔵でリバース側（緩め）をパワーアップしました。",『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　インパクトレンチ１２．７ｍｍ角【SP-1143】(2765314) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　インパクトレンチ１２．７ｍｍ角【SP-1143】(2765314) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒エス．ピー．エアー/ＳＰ　インパクトレンチ１２．７ｍｍ角【SP-1143】(2765314) 受注単位1[rn]
11-23820,,29428.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒信濃機販/ＳＩ　インパクトレンチ【SI-1357ULTRA】(3938719) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハイテク樹脂ボディー採用の軽量モデルです。",『カード対応OK！』■〒信濃機販/ＳＩ　インパクトレンチ【SI-1357ULTRA】(3938719) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒信濃機販/ＳＩ　インパクトレンチ【SI-1357ULTRA】(3938719) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒信濃機販/ＳＩ　インパクトレンチ【SI-1357ULTRA】(3938719) 受注単位1[rn]
11-23821,,34335.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ７０ＷＫ【GT-S70WK】(2923823) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1回転で2打撃のため安定した締め付けができます。<br>●使用頻度の高いラインでの耐久性に優れています。",『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ７０ＷＫ【GT-S70WK】(2923823) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ７０ＷＫ【GT-S70WK】(2923823) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ７０ＷＫ【GT-S70WK】(2923823) 受注単位1[rn]
11-23822,,46407.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BPM916】(7546718) エアインパクトレンチ　３／８ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●8枚の羽根を持つツインハンマー構造により、最小限のエア消費量で最大のパワーを瞬時に発揮します。<br>●ゴムで覆われたフラットなトップで確実にグリップすることが可能です。<br>●苛酷な条件下での作業でも安心で、バランス性にすぐれたワンピース・マグネシウム・ハウジングが高度な耐久性をもたらします。<br>●黒いプラスチック製保護ブーツ付きです。<br><br><br>●能力ボルト径(mm)：4～16<br>●ソケット差込角(mm)：9.5<br>●最大締付トルク(N・m)：440<br>●無負荷回転数(rpm)：10700<br>●空気消費量([[立米]]/min)：0.068<br>●ホース取付口：PT1/2<br>●排気：下方<br>●全長(mm)：160<br>●ハンマータイプ：ツインハンマー<br>●無負荷回転数(min[[の-1乗]])：10700<br>●質量(kg)：1.3<br><br>●使用空気圧力：0.62Mpa<br><br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BPM916】(7546718) エアインパクトレンチ　３／８ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BPM916】(7546718) エアインパクトレンチ　３／８ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BPM916】(7546718) エアインパクトレンチ　３／８ 受注単位1[rn]
11-23823,,80900.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-20PI】(2954389) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高い締め付け能力が得られます。<br>●耐久性に優れています。<br>●1回転で2打撃するツーハンマクラッチを採用しています。<br>●オイルバス式クラッチで耐久性があります。<br>●防振効果のあるデットハンドルを採用しています。",『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-20PI】(2954389) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-20PI】(2954389) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-20PI】(2954389) 受注単位1[rn]
11-23824,,57753.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ６Ｔ【GT-P6T】(3713971) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●設定トルクに達するとエアが遮断されるトルクコントロールタイプのエアインパクトレンチです。<br>●ソケット取付部:四角ドライブ9.5mm ピンロック式です。",『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ６Ｔ【GT-P6T】(3713971) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ６Ｔ【GT-P6T】(3713971) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ６Ｔ【GT-P6T】(3713971) 受注単位1[rn]
11-23825,,88039.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチ　ＧＴ４２００Ｌ【GT-4200L】(3713946) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1回転1打撃式のため強力な締め付けができます。",『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチ　ＧＴ４２００Ｌ【GT-4200L】(3713946) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチ　ＧＴ４２００Ｌ【GT-4200L】(3713946) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチ　ＧＴ４２００Ｌ【GT-4200L】(3713946) 受注単位1[rn]
11-23826,,36536.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰＬ【GT-1600VPL】(2977176) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●外径が小さく、建設機械、特装車組み立てなど狭い場所での作業に適しています。",『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰＬ【GT-1600VPL】(2977176) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰＬ【GT-1600VPL】(2977176) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰＬ【GT-1600VPL】(2977176) 受注単位1[rn]
11-23827,,70432.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＰＦ【GT-2500PF】(2977231) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●全長が短く、奥行きのない場所、リフトアップでの下方向からの締め付けに適しています。",『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＰＦ【GT-2500PF】(2977231) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＰＦ【GT-2500PF】(2977231) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＰＦ【GT-2500PF】(2977231) 受注単位1[rn]
11-23828,,75537.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＬＦ【GT-2500LF】(2977222) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●全長が短く、奥行きのない場所、リフトアップでの下方向からの締め付けに適しています。",『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＬＦ【GT-2500LF】(2977222) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＬＦ【GT-2500LF】(2977222) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２５００ＬＦ【GT-2500LF】(2977222) 受注単位1[rn]
11-23829,,95522.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＰＦ【GT-4200PF】(2977273) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●全長が短く、奥行きのない場所、リフトアップでの下方向からの締め付けに適しています。",『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＰＦ【GT-4200PF】(2977273) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＰＦ【GT-4200PF】(2977273) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ４２００ＰＦ【GT-4200PF】(2977273) 受注単位1[rn]
11-23830,,88571.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-19AA】(7534213) 　インパクトレンチ　防震タイプ　２０１５８ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1回転で2回衝撃を与えるため、高効率でボルト・ナットの締め付け・取り外しができます。<br><br>●緩め作業の多い自動車整備等に。<br><br>●能力ボルト径(mm)：20<br>●ソケット差込角(mm)：19.05<br>●最大締付トルク(N・m)：720<br>●無負荷回転数(rpm)：4500<br>●空気消費量([[立米]]/min)：0.55<br>●ホース取付口：Rc3/8<br>●排気：後方<br>●全長(mm)：390<br>●ハンマータイプ：ダブルハンマー<br>●使用空気圧力(MPa)：0.6<br>●無負荷回転数(min[[の-1乗]])：4500<br><br>●使用空気圧力：0.6MPa<br><br>●鋳物用アルミニウム合金,クロムモリブデン鋼<br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-19AA】(7534213) 　インパクトレンチ　防震タイプ　２０１５８ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-19AA】(7534213) 　インパクトレンチ　防震タイプ　２０１５８ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-19AA】(7534213) 　インパクトレンチ　防震タイプ　２０１５８ 受注単位1[rn]
11-23831,,36096.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴ１６００ＶＰＸ【GT-1600VPX】(2389274) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●外径が小さく、建設機械、特装車組み立てなど狭い場所での作業に適しています。",『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴ１６００ＶＰＸ【GT-1600VPX】(2389274) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴ１６００ＶＰＸ【GT-1600VPX】(2389274) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴ１６００ＶＰＸ【GT-1600VPX】(2389274) 受注単位1[rn]
11-23832,,86751.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シカゴニューマチック社/インパクトレンチ　３／４【CP7769】(4237331) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●優れた耐久性とハイパワーです。<br>●コンポジット本体、マグネシウムフロントで軽量、高耐久性を実現しました。（ＣＰ７７６９、ＣＰ７７７９）",『カード対応OK！』■〒シカゴニューマチック社/インパクトレンチ　３／４【CP7769】(4237331) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒シカゴニューマチック社/インパクトレンチ　３／４【CP7769】(4237331) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒シカゴニューマチック社/インパクトレンチ　３／４【CP7769】(4237331) 受注単位1[rn]
11-23833,,33113.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　１／２インチＳＱ　２インチロング　中型インパクトレンチ（１２．７ｍｍ角）【KW-14HP-2】(2954303) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高い締め付け能力が得られます。<br>●耐久性に優れています。<br>●1回転1打撃のため高い締付力が得られます。",『カード対応OK！』■〒空研/空研　１／２インチＳＱ　２インチロング　中型インパクトレンチ（１２．７ｍｍ角）【KW-14HP-2】(2954303) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒空研/空研　１／２インチＳＱ　２インチロング　中型インパクトレンチ（１２．７ｍｍ角）【KW-14HP-2】(2954303) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒空研/空研　１／２インチＳＱ　２インチロング　中型インパクトレンチ（１２．７ｍｍ角）【KW-14HP-2】(2954303) 受注単位1[rn]
11-23834,,164049.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500G】(2954443) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高い締め付け能力が得られます。<br>●耐久性に優れています。<br>●安定した打撃が可能です。安定した潤滑機能によりグリースの飛散がありません。",『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500G】(2954443) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500G】(2954443) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500G】(2954443) 受注単位1[rn]
11-23835,,99770.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-32LA】(7534256) ツーハンマインパクトレンチ　２０１６４ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1回転で2回衝撃を与えるため、高効率でボルト・ナットの締め付け・取り外しができます。<br><br>●緩め作業の多い自動車整備等に。<br><br>●能力ボルト径(mm)：33<br>●ソケット差込角(mm)：25.4<br>●最大締付トルク(N・m)：1400<br>●空気消費量([[立米]]/min)：0.85<br>●ホース取付口：Rc1/2<br>●排気：後方<br>●全長(mm)：383<br>●ハンマータイプ：ダブルハンマー<br>●無負荷回転数(min[[の-1乗]])：4000<br>●質量(kg)：10.7<br><br>●使用空気圧力：0.6MPa<br><br>●鋳物用アルミニウム合金,クロムモリブデン鋼<br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-32LA】(7534256) ツーハンマインパクトレンチ　２０１６４ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-32LA】(7534256) ツーハンマインパクトレンチ　２０１６４ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-32LA】(7534256) ツーハンマインパクトレンチ　２０１６４ 受注単位1[rn]
11-23836,,21772.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒東空販売/ＴＯＫＵ　エアインパクトレンチ１２．７ｍｍ【MI-165H】(3904016) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●リニアバルブ式トリガー採用で、回転数の微調整が容易です。<br>●ピンクラッチハンマー採用で連続打撃効率を高め、トルクの立ち上がりも抜群です。",『カード対応OK！』■〒東空販売/ＴＯＫＵ　エアインパクトレンチ１２．７ｍｍ【MI-165H】(3904016) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒東空販売/ＴＯＫＵ　エアインパクトレンチ１２．７ｍｍ【MI-165H】(3904016) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒東空販売/ＴＯＫＵ　エアインパクトレンチ１２．７ｍｍ【MI-165H】(3904016) 受注単位1[rn]
11-23837,,60477.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-230P】(2954397) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高い締め付け能力が得られます。<br>●耐久性に優れています。<br>●1回転1打撃のため高い締付力が得られます。",『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-230P】(2954397) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-230P】(2954397) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒空研/空研　３／４インチＳＱ中型インパクトレンチ（１９ｍｍ角）【KW-230P】(2954397) 受注単位1[rn]
11-23838,,47478.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-13SK】(2116171) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1回転2打撃で締め付けるため安定した締め付けが可能です。<br>●締め付けが滑らかな汎用タイプです。",『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-13SK】(2116171) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-13SK】(2116171) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-13SK】(2116171) 受注単位1[rn]
