16-125201,http://tshop.r10s.jp/auc-ulmax/cabinet/hal01/im_ultramini32_1.jpg?fitin=700:700,1264.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,USBメモリ 32GB USBメモリー 小型 おしゃれ & かわいい 【 送料無料 】|1402NAZM^,USBメモリ 32GB ★☆この商品はメール便・送料無料☆★,"<img src=""http://image.rakuten.co.jp/auc-ulmax/cabinet/hk07/ultramini102_00.jpg"" width=""100%""><br><br>
USBフラッシュメモリ&nbsp;32GB USB2.0 <br>
小型で軽量ボディ<br>
ストラップホール付き<br>
Windows 8 / 7 / VISTA / XP / 2000 / Mac OS X 以上 <br>
外形寸法：23 x 14 x 6 mm<br>
重量：10 g<br>",USBメモリ 32GB USBメモリー 小型 おしゃれ &amp; かわいい 【 送料無料 】|1402NAZM^：ウルマックスジャパン,プリンターインクインク福袋インクカートリッジエプソンキャノン互換インクIC6CL50BCI-326+325/6MPブラザーICチップUSBメモリ携帯電話PYK-02液晶保護フィルムパソコンバッグスマホiPhone6日用品ワイヤレスマウス激安USBメモリ 32GB USBメモリー 小型 おしゃれ &amp; かわいい 【 送料無料 】|1402NAZM^,USBメモリ 32GB ★☆この商品はメール便・送料無料☆★。USBメモリ 32GB USBメモリー 小型 おしゃれ &amp; かわいい 【 送料無料 】|1402NAZM^[rn]
16-125212,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_069/4957180113692_ll.jpg?fitin=700:700,6920.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,【送料無料】I/Oデータ USBフラッシュメモリ(4GB) ED-V4/4G3 [EDV44G3]【KK9N0D18P】,,□商品説明<br>●本商品は、簡単操作で強固なパスワードロック「SUGate4」とAES256bitによる自動暗号化機能とウイルス対策機能を搭載したUSBメモリーです。USBメモリー内に書き込むデータは全て自動でウイルスチェックされるので、出先から社内にウイルスを持ち帰る危険性も抑止可能です。<br>●トレンドマイクロ社製アンチウイルスソフト「Trend Micro USB Security(TM)(TMUSB)」をUSBメモリー内に搭載。書き込まれるデータをその都度ウイルスチェックすることで、USBメモリー内のウイルス感染を防ぎます。スキャンは自動で行われ、特別な操作を必要としません。<br>●パスワードロック「SUGate4」搭載。パスワードを入力してログインするまではデータ保存領域へアクセスできないため、盗難や紛失時にも内部データを読みとられる可能性は最小です。また、書込み禁止状態でログインを行うこともできます。<br>●データ保存領域に書き込まれるデータは、コントローラーがAES256bitで全て自動暗号化。フラッシュメモリーをはがして別基板に載せてもデータの閲覧はできません。<br>□商品仕様<br>●容量:4GB<br>●対応OS:Windows 8.1(32・64ビット)/Windows 8(32・64ビット)/Windows 7(32・64ビット)/Windows Server 2008/Windows Server 2008 R2/Windows Server 2012/Windows Server 2012 R2<br>●対応機種:Windowsパソコン ※プログラム、ウイルスパターンファイルの更新にはインターネット接続環境が必要です。<br>●動作環境:空き容量/Trend Micro USB Security&trade;アップデートファイル保存用に本商品に256MBの空きが必要です。<br>●インターフェイス:USB 3.0/2.0<br>●電源:5V(USBバスパワーにて供給)<br>●消費電流(最大):400mA<br>●使用温度範囲:0～45℃<br>●使用湿度範囲:10～90% ※ 結露なきこと<br>●外形寸法:W2.35×H0.8×D5.86cm<br>●質量:約10g<br>●サポートサービス/ハードウェア保証期間:3年間<br>●各種取得規格:VCCI Class B、CE、FCC<br>●その他:RoHS指令準拠,【送料無料】I/Oデータ USBフラッシュメモリ(4GB) ED-V4/4G3 [EDV44G3]【KK9N0D18P】：エディオン　楽天市場店,【送料無料】I/Oデータ USBフラッシュメモリ(4GB) ED-V4/4G3 [EDV44G3]【KK9N0D18P】,【送料無料】I/Oデータ USBフラッシュメモリ(4GB) ED-V4/4G3 [EDV44G3]【KK9N0D18P】[rn]
16-125213,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_092/4981254016725_ll.jpg?fitin=700:700,1888.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,BUFFALO USBフラッシュメモリ(32GB) イエロー RUF3-PW32G-YE [RUF3PW32GYE]【KK9N0D18P】【NYOA】,,□商品説明<br>●スイートなカラーのマカロンをデザインモチーフにし外側のブラウンのフレームでアクセントを持たせたやさしい色合いのUSBメモリーです。自分らしさを表現したい女性におすすめです。<br>●ストラップが取り付けられるので持ち運びの際に便利です。また紛失防止策にもなるので安心です。※ストラップは付属されておりません。<br>●パソコンから取り外すと自動でコネクターが収納される「オートリターン機構」搭載だから、キャップ不要でコンパクト、USBコネクターも守れて、持ち運びにも便利です。またプッシュスライドタイプなので、片手だけでUSB コネクターを出してすぐパソコンに接続することができます。<br>●高速規格「USB3.0」対応に加え、データ転送を2つの経路で同時アクセスを行う2チャネル転送方式の採用で転送速度約70MB/sを実現。写真などの日増しに増えるデータの保存におすすめです。フォルダー内の写真のサムネイル表示も高速にできます。従来のUSB2.0用USBメモリー製品の約3倍の転送速度で、たくさんのデータを扱っても快適に使用できます。また、USB2.0接続時でもUSB3.0対応の高速コントローラー採用により36MB/sの高速転送を実現。USB3.0環境をお持ちで無い方でも快適にお使いいただけます。<br>●Windows 10対応。<br>□商品仕様<br>●容量:32GB<br>●対応するパソコン:USB3.0/2.0端子を搭載するWindowsパソコン、USB3.0/2.0端子を搭載するMac<br>●対応するデジタル家電:USBインターフェースを搭載するデジタル家電(USBマスストレージクラス対応)<br>●対応OS:Windows 8.1(32bit/64bit)/8(32bit/64bit)/7(32bit/64bit)/Vista(32bit/64bit)/RT/XP、Mac OS 10.9/10.8/10.7/10.6/10.5(Mac OS 10.6/10.5はUSB2.0接続のみ) ※Mac OSはIntel CPU搭載機に限る<br>●インターフェイス:USB 3.0/2.0<br>●ポート数:1ポート<br>●コネクタ形状:USB Aソケット<br>●セキュリティー:SecureLockMobile(暗号化AES256bitソフトウェア方式) ※Windows8、7、Vista、XPにて対応※ソフトウェアはダウンロードが必要になります。<br>●電源:USBバスパワー<br>●定格電圧:5.0V±5%<br>●最大消費電力:2.5W<br>●寸法:W2.3×H0.9×D6.5cm ※本体のみ(突起部除く)<br>●質量:約12g<br>●付属品:取扱説明書,BUFFALO USBフラッシュメモリ(32GB) イエロー RUF3-PW32G-YE [RUF3PW32GYE]【KK9N0D18P】【NYOA】：エディオン　楽天市場店,BUFFALO USBフラッシュメモリ(32GB) イエロー RUF3-PW32G-YE [RUF3PW32GYE]【KK9N0D18P】【NYOA】,BUFFALO USBフラッシュメモリ(32GB) イエロー RUF3-PW32G-YE [RUF3PW32GYE]【KK9N0D18P】【NYOA】[rn]
16-125214,http://tshop.r10s.jp/akibamac/cabinet/04721711/4957180120768.jpg?fitin=700:700,3280.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,アイ・オー・データ機器iPhone・iPad用 USBメモリー 「Clip bag（クリップバッグ）」（USB3.0/2.0・Lightning/16GB）U3-IP16G,,iPhone・iPad、パソコンで使えるUSBメモリー。ケースを付けたままでも接続できる！,アイ・オー・データ機器iPhone・iPad用 USBメモリー 「Clip bag（クリップバッグ）」（USB3.0/2.0・Lightning/16GB）U3-IP16G：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンアイ・オー・データ機器iPhone・iPad用 USBメモリー 「Clip bag（クリップバッグ）」（USB3.0/2.0・Lightning/16GB）U3-IP16G,アイ・オー・データ機器iPhone・iPad用 USBメモリー 「Clip bag（クリップバッグ）」（USB3.0/2.0・Lightning/16GB）U3-IP16G[rn]
16-125215,http://tshop.r10s.jp/akibamac/cabinet/04544162/4511677090196.jpg?fitin=700:700,2264.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,グリーンハウスmicro USB⇔USB A【スマホ／タブレット対応】 USB3.0メモリ［Android／Mac／Win］ GH-UFDSM＊-SVシリーズ （16GB） GH-UFDSM16G-SV (GHUFDSM16GSV),,"〔USBメモリ：micro USB［Android・USBホスト機能・USB2.0］⇔USB A［Mac／Win・USB3.0］〕
スマートフォンにも直接挿して使えるUSB3.0対応USBメモリー。「PicoDrive Smart」",グリーンハウスmicro USB&hArr;USB A【スマホ／タブレット対応】 USB3.0メモリ［Android／Mac／Win］ GH-UFDSM＊-SVシリーズ （16GB） GH-UFDSM16G-SV (GHUFDSM16GSV)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコングリーンハウスmicro USB&hArr;USB A【スマホ／タブレット対応】 USB3.0メモリ［Android／Mac／Win］ GH-UFDSM＊-SVシリーズ （16GB） GH-UFDSM16G-SV (GHUFDSM16GSV),グリーンハウスmicro USB&hArr;USB A【スマホ／タブレット対応】 USB3.0メモリ［Android／Mac／Win］ GH-UFDSM＊-SVシリーズ （16GB） GH-UFDSM16G-SV (GHUFDSM16GSV)[rn]
16-125216,http://tshop.r10s.jp/akibamac/cabinet/03499493/4988481728445.jpg?fitin=700:700,1104.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,プリンストン・テクノロジー 【Windows8対応】USB3.0対応 USBメモリー　スライド式　Xiao Slide 3シリーズ （4GB・ホワイト）　PFU-XS3S/4GW,,〔Windows8対応　USB3.0・Win／Mac〕USB3.0対応で大容量のファイルデータの読み込み／書き出しに対応したスライド式USBメモリー。（4GB・ホワイト）◆USBコネクターを本体に収納可能　スライド式USBフラッシュメモリーUSBコネクターを手軽に本体に収納できるスライド式を採用。 キャップを紛失する心配はありません。カチッとロックがかかる位置までスライドするだけなので、 片手で簡単に操作が可能です。◆USB3.0対応で高速転送／簡単接続USB3.0対応で大容量のファイルデータの読み込み／書き出しに対応しています。USBポートに挿し込むだけで自動的にリムーバブルドライブとして認識します。USB2.0対応のパソコンの場合でも、同様にお使いいただけます。※USB2.0接続での転送速度になります。◆軽量10g、コンパクトサイズ重さわずか10g。ポケットなど、どこにでも入る携帯性重視のサイズ（幅（W）23mm/奥行き（D）57mm/高さ（H）9mm）ですから、持ち運びも簡単です。◆便利なインデックスシール付きデータ管理に便利なインデックスシールが2枚付属しています。◆選べる容量／カラーバリエーションカラーはホワイト、ブルー、シルバー、ブラックの4種類のラインナップ。お好みのカラーをお選びいただけます。また、4GB、8GB、16GB、32GB、64GB（受注生産のみ）と容量も豊富なラインナップから用途に合わせてお選びいただけます。,プリンストン・テクノロジー 【Windows8対応】USB3.0対応 USBメモリー　スライド式　Xiao Slide 3シリーズ （4GB・ホワイト）　PFU-XS3S/4GW：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンプリンストン・テクノロジー 【Windows8対応】USB3.0対応 USBメモリー　スライド式　Xiao Slide 3シリーズ （4GB・ホワイト）　PFU-XS3S/4GW,プリンストン・テクノロジー 【Windows8対応】USB3.0対応 USBメモリー　スライド式　Xiao Slide 3シリーズ （4GB・ホワイト）　PFU-XS3S/4GW[rn]
16-125217,http://tshop.r10s.jp/akibamac/cabinet/03499493/4988481728780.jpg?fitin=700:700,4816.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,【送料無料】プリンストン PFU-XT3S/64GS USB3.0対応 USBメモリー (回転タイプ/64GB/シルバー) 【Windows8動作対応】 (PFUXT3S64GS),,〔Windows8対応　USB3.0・Win／Mac〕USB3.0対応で大容量のファイルデータの読み込み／書き出しに対応した回転式USBメモリー。（64GB・シルバー）◆USB3.0対応でより高速にUSB3.0対応で、より高速なデータ転送、接続を実現します。大容量のファイルデータの読み込み／書き出しに対応しています。USBポートに挿し込むだけで自動的にリムーバブルドライブとして認識します。USB2.0対応のパソコンの場合でも、同様にお使いいただけます。※USB2.0接続での転送速度になります。◆キャップレス構造採用キャップがいらない新構造タイプ。USBコネクターが簡単にすっきり納まるので、キャップ紛失の心配がありません。◆軽量11g、コンパクトサイズ重さ11g。ポケットなど、どこにでも入る携帯性重視のサイズ（幅（W）16mm/奥行き（D）54mm/高さ（H）8.5mm）ですから、持ち運びも簡単です。◆便利なストラップ付きストラップが付属しているので、持ち運びに大変便利です。◆選べる容量／カラーバリエーションカラーはブラック、シルバー、グリーンの3種類のラインナップ。お好みのカラーをお選びいただけます。また、4GB、8GB、16GB、 32GB、64GB（受注生産のみ）と容量も豊富なラインナップから用途に合わせてお選びいただけます。,【送料無料】プリンストン PFU-XT3S/64GS USB3.0対応 USBメモリー (回転タイプ/64GB/シルバー) 【Windows8動作対応】 (PFUXT3S64GS)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】プリンストン PFU-XT3S/64GS USB3.0対応 USBメモリー (回転タイプ/64GB/シルバー) 【Windows8動作対応】 (PFUXT3S64GS),【送料無料】プリンストン PFU-XT3S/64GS USB3.0対応 USBメモリー (回転タイプ/64GB/シルバー) 【Windows8動作対応】 (PFUXT3S64GS)[rn]
16-125218,http://tshop.r10s.jp/akibamac/cabinet/03499493/4988481728773.jpg?fitin=700:700,4816.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,【送料無料】プリンストン PFU-XT3S/64GK USB3.0対応 USBメモリー (回転タイプ/64GB/ブラック) 【Windows8動作対応】 (PFUXT3S64GK),,〔Windows8対応　USB3.0・Win／Mac〕USB3.0対応で大容量のファイルデータの読み込み／書き出しに対応した回転式USBメモリー。（64GB・ブラック）◆USB3.0対応でより高速にUSB3.0対応で、より高速なデータ転送、接続を実現します。大容量のファイルデータの読み込み／書き出しに対応しています。USBポートに挿し込むだけで自動的にリムーバブルドライブとして認識します。USB2.0対応のパソコンの場合でも、同様にお使いいただけます。※USB2.0接続での転送速度になります。◆キャップレス構造採用キャップがいらない新構造タイプ。USBコネクターが簡単にすっきり納まるので、キャップ紛失の心配がありません。◆軽量11g、コンパクトサイズ重さ11g。ポケットなど、どこにでも入る携帯性重視のサイズ（幅（W）16mm/奥行き（D）54mm/高さ（H）8.5mm）ですから、持ち運びも簡単です。◆便利なストラップ付きストラップが付属しているので、持ち運びに大変便利です。◆選べる容量／カラーバリエーションカラーはブラック、シルバー、グリーンの3種類のラインナップ。お好みのカラーをお選びいただけます。また、4GB、8GB、16GB、 32GB、64GB（受注生産のみ）と容量も豊富なラインナップから用途に合わせてお選びいただけます。,【送料無料】プリンストン PFU-XT3S/64GK USB3.0対応 USBメモリー (回転タイプ/64GB/ブラック) 【Windows8動作対応】 (PFUXT3S64GK)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】プリンストン PFU-XT3S/64GK USB3.0対応 USBメモリー (回転タイプ/64GB/ブラック) 【Windows8動作対応】 (PFUXT3S64GK),【送料無料】プリンストン PFU-XT3S/64GK USB3.0対応 USBメモリー (回転タイプ/64GB/ブラック) 【Windows8動作対応】 (PFUXT3S64GK)[rn]
16-125219,http://tshop.r10s.jp/akibamac/cabinet/03708186/4716329675077.jpg?fitin=700:700,4416.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,【送料無料】PQI 6836-032GR1 USB3.0対応 USBメモリー「i-Mont」 (32GB) (6836032GR1),,高級感があふれるクラシックなデザイン、人々を魅了するシャープなボディラインと、おしゃれなブロック・デザインが特徴のUSB3.0対応USBメモリー。,【送料無料】PQI 6836-032GR1 USB3.0対応 USBメモリー「i-Mont」 (32GB) (6836032GR1)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】PQI 6836-032GR1 USB3.0対応 USBメモリー「i-Mont」 (32GB) (6836032GR1),【送料無料】PQI 6836-032GR1 USB3.0対応 USBメモリー「i-Mont」 (32GB) (6836032GR1)[rn]
16-125220,http://tshop.r10s.jp/akibamac/cabinet/04765902/4548736031852.jpg?fitin=700:700,1104.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,ソニー USM8W3 USBメモリー USM-W3シリーズ 8GB,,100MB/sの高速データ転送、コンパクトメタルボディのUSBメモリー,ソニー USM8W3 USBメモリー USM-W3シリーズ 8GB：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンソニー USM8W3 USBメモリー USM-W3シリーズ 8GB,ソニー USM8W3 USBメモリー USM-W3シリーズ 8GB[rn]
16-125221,http://tshop.r10s.jp/akibamac/cabinet/05050739/0740617258165.jpg?fitin=700:700,2944.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,キングストンUSB3.0メモリ DataTraveler SE9 G2 （64GB） DTSE9G2/64GB KF-U9164-5W (KFU91645W),,■スタイリッシュで機能的なキャップレスデザイン<br>スタイリッシュなキャップレスデザインは、キャップを無くす恐れが無く、また超小型フォームファクタはどのようなライフスタイルにもフィットします。<br><br>【製品仕様】<br>USB：3.0/2.0<br>容量：64GB<br>寸法：45.00×12.2×4.6mm<br>動作温度：0～60℃<br>保管温度：-20～85℃<br>保証：5年,キングストンUSB3.0メモリ DataTraveler SE9 G2 （64GB） DTSE9G2/64GB KF-U9164-5W (KFU91645W)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンキングストンUSB3.0メモリ DataTraveler SE9 G2 （64GB） DTSE9G2/64GB KF-U9164-5W (KFU91645W),キングストンUSB3.0メモリ DataTraveler SE9 G2 （64GB） DTSE9G2/64GB KF-U9164-5W (KFU91645W)[rn]
16-125222,http://tshop.r10s.jp/akibamac/cabinet/03499493/4988481728605.jpg?fitin=700:700,2016.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,プリンストン PFU-XS3S/32GB USB3.0対応 USBメモリー (スライド式/32GB/ブルー) 【Windows8動作対応】 (PFUXS3S32GB),,〔Windows8対応　USB3.0・Win／Mac〕USB3.0対応で大容量のファイルデータの読み込み／書き出しに対応したスライド式USBメモリー。（32GB・ブルー）◆USBコネクターを本体に収納可能　スライド式USBフラッシュメモリーUSBコネクターを手軽に本体に収納できるスライド式を採用。 キャップを紛失する心配はありません。カチッとロックがかかる位置までスライドするだけなので、 片手で簡単に操作が可能です。◆USB3.0対応で高速転送／簡単接続USB3.0対応で大容量のファイルデータの読み込み／書き出しに対応しています。USBポートに挿し込むだけで自動的にリムーバブルドライブとして認識します。USB2.0対応のパソコンの場合でも、同様にお使いいただけます。※USB2.0接続での転送速度になります。◆軽量10g、コンパクトサイズ重さわずか10g。ポケットなど、どこにでも入る携帯性重視のサイズ（幅（W）23mm/奥行き（D）57mm/高さ（H）9mm）ですから、持ち運びも簡単です。◆便利なインデックスシール付きデータ管理に便利なインデックスシールが2枚付属しています。◆選べる容量／カラーバリエーションカラーはホワイト、ブルー、シルバー、ブラックの4種類のラインナップ。お好みのカラーをお選びいただけます。また、4GB、8GB、16GB、32GB、64GB（受注生産のみ）と容量も豊富なラインナップから用途に合わせてお選びいただけます。,プリンストン PFU-XS3S/32GB USB3.0対応 USBメモリー (スライド式/32GB/ブルー) 【Windows8動作対応】 (PFUXS3S32GB)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンプリンストン PFU-XS3S/32GB USB3.0対応 USBメモリー (スライド式/32GB/ブルー) 【Windows8動作対応】 (PFUXS3S32GB),プリンストン PFU-XS3S/32GB USB3.0対応 USBメモリー (スライド式/32GB/ブルー) 【Windows8動作対応】 (PFUXS3S32GB)[rn]
16-125223,http://tshop.r10s.jp/akibamac/cabinet/04765902/4548736031876.jpg?fitin=700:700,2920.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,ソニー USM32W3 USBメモリー USM-W3シリーズ 32GB,,160MB/sの高速データ転送、コンパクトメタルボディのUSBメモリー,ソニー USM32W3 USBメモリー USM-W3シリーズ 32GB：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンソニー USM32W3 USBメモリー USM-W3シリーズ 32GB,ソニー USM32W3 USBメモリー USM-W3シリーズ 32GB[rn]
16-125224,http://tshop.r10s.jp/akibamac/cabinet/02158310/4969887821220.jpg?fitin=700:700,1104.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,サンワサプライ USB2.0メモリ （1GB・シルバー）　UFD-A1G2SVK,,“キャップ付タイプ：Win／Mac”シンプルなアルミボディのUSBメモリ。（1GB・シルバー）■ シンプルなアルミボディです。■ キャップを後ろにカチッと取り付けられます。■ USBポートに挿すだけですぐに使えます。■ USB2.0対応です。■ 1GB内蔵です。■ ネックストラップ付きです。■ 本体のホールにネックストラップを取り付けることができます。■ ライフボート製セキュリティファイル暗号化ソフト「キチッと秘密のファイルロック」付きです。※ ソフトはWindows7・Vista・XP・2000のみ対応です。※ ソフトは1MB程度です。,サンワサプライ USB2.0メモリ （1GB・シルバー）　UFD-A1G2SVK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライ USB2.0メモリ （1GB・シルバー）　UFD-A1G2SVK,サンワサプライ USB2.0メモリ （1GB・シルバー）　UFD-A1G2SVK[rn]
16-125225,http://tshop.r10s.jp/akibamac/cabinet/03140835/4953103445406.jpg?fitin=700:700,1768.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,エレコム USB3.0メモリ[Mac/Win] MF-KCU3BKシリーズ (32GB・ピンク) MF-KCU332GPN (MFKCU332GPN),,"〔USB3.0メモリ：Mac／Win〕
ストラップを取り付けられるストラップホール付き。キャップを紛失する心配のないスライド式のUSB3.0メモリ。",エレコム USB3.0メモリ[Mac/Win] MF-KCU3BKシリーズ (32GB・ピンク) MF-KCU332GPN (MFKCU332GPN)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコム USB3.0メモリ[Mac/Win] MF-KCU3BKシリーズ (32GB・ピンク) MF-KCU332GPN (MFKCU332GPN),エレコム USB3.0メモリ[Mac/Win] MF-KCU3BKシリーズ (32GB・ピンク) MF-KCU332GPN (MFKCU332GPN)[rn]
16-125226,http://tshop.r10s.jp/akibamac/cabinet/04544162/4571164054292.jpg?fitin=700:700,2008.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,究体音像製作所“かわいい☆肉球USBメモリー” にゃんえすびぃ （2GB・山吹） CPGY-02G (CPGY02G),,”ねこ好き必見！かわいい☆肉球USBメモリー”ネコの手（肉球部分）をモチーフにデザインされたUSBメモリー。（2GB・山吹）,究体音像製作所&ldquo;かわいい☆肉球USBメモリー&rdquo; にゃんえすびぃ （2GB・山吹） CPGY-02G (CPGY02G)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン究体音像製作所&ldquo;かわいい☆肉球USBメモリー&rdquo; にゃんえすびぃ （2GB・山吹） CPGY-02G (CPGY02G),究体音像製作所&ldquo;かわいい☆肉球USBメモリー&rdquo; にゃんえすびぃ （2GB・山吹） CPGY-02G (CPGY02G)[rn]
16-125227,http://tshop.r10s.jp/akibamac/cabinet/04927126/4991348072025.jpg?fitin=700:700,408.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,三菱化学メディアUSB2.0対応 USBメモリー（8GB・Win／Mac） ブルー USBS8GVB2,,〔USB2.0対応 USBメモリー〕<br><br>■ キャップな不要な、シンプル設計スライドタイプ<br>■ 本体にストラックの取り付け可能（ストラップは付属されていません。）<br>■ 対応機種：USBポート標準搭載の機種（USB2.0／1.1）<br>※隣り合うUSBポートの間隔により、複数のポートを使用できない場合があります。<br>■ 対応OS:<br>Windows 10／8.1／8／7／Vista<br>Mac OS X 10.2.8以降,三菱化学メディアUSB2.0対応 USBメモリー（8GB・Win／Mac） ブルー USBS8GVB2：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン三菱化学メディアUSB2.0対応 USBメモリー（8GB・Win／Mac） ブルー USBS8GVB2,三菱化学メディアUSB2.0対応 USBメモリー（8GB・Win／Mac） ブルー USBS8GVB2[rn]
