16-23201,,19008.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90×125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自由に高さを変えられる伸縮式のつい立てで、組み立て不要ですぐに使用できます。<br>
●ストッパー付キャスターで移動・設置も簡単にできます。<br>
●幅×奥行×高さ(mm):900×400×1290～1870<br>
●フレーム：スチールパイプ（粉体塗装）<br>
●布：ポリエステル100％（帝人ファイバーエコペット）",■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1：クローバー資材館,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品。■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1[rn]
16-23212,,9270.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ オフィス用品【JTMR-616-BR】(8186847) ＩＲＩＳ ジョイントマット 60×60 16枚 ブラウン／ベージュ 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●へこみ、傷の悩みを解消し長く使えるリバーシブルタイプです。<br>
●320mmタイプと620mmタイプの組み合せ自由です。<br>
●取り外しが簡単で汚れても水洗いできます。<br>
●衝撃吸収、防音効果、床面保温に。<br>
●色:ブラウン/ベージュ<br>
●幅(mm):620<br>
●長さ(mm):620<br>
●極厚18ｍｍ仕様です。<br>
●厚み:18mm<br>
●ポリエチレン",■〒アイリスオーヤマ/ＩＲＩＳ オフィス用品【JTMR-616-BR】(8186847) ＩＲＩＳ ジョイントマット 60&times;60 16枚 ブラウン／ベージュ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ オフィス用品【JTMR-616-BR】(8186847) ＩＲＩＳ ジョイントマット 60&times;60 16枚 ブラウン／ベージュ 発注単位1,オフィス住設用品\床材用品。■〒アイリスオーヤマ/ＩＲＩＳ オフィス用品【JTMR-616-BR】(8186847) ＩＲＩＳ ジョイントマット 60&times;60 16枚 ブラウン／ベージュ 発注単位1[rn]
16-23213,,1142.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カーボーイ【TM-01】(4403410) カーボーイ　止まるんです　６００ｍｍ×１２５０ｍｍ　イエロー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけで滑り止め効果を発揮します。<br>●好きなサイズにハサミでカットして使用できます。<br><br>●トランクルーム、荷台の滑り止め。<br><br>●色：イエロー<br>●幅(mm)：600<br>●厚み(mm)：3<br>●長さ(m)：1.25<br><br><br>●ポリ塩化ビニール（PVC）<br>",『カード対応OK！』■〒カーボーイ【TM-01】(4403410) カーボーイ　止まるんです　６００ｍｍ&times;１２５０ｍｍ　イエロー 受注単位1：クローバー資材館,『カード対応OK！』■〒カーボーイ【TM-01】(4403410) カーボーイ　止まるんです　６００ｍｍ&times;１２５０ｍｍ　イエロー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒カーボーイ【TM-01】(4403410) カーボーイ　止まるんです　６００ｍｍ&times;１２５０ｍｍ　イエロー 受注単位1[rn]
16-23214,,1616.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-6】(4804813)吸油マットＤＰ－２ ＃６（２枚入） 受注単位1,オフィス住設用品\床材用品\吸油・吸水マット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●油だけでなく、水分も吸収する親油性のPET繊維を使用しています。<br>●防炎適合品です。防炎性能登録番号(EO080222)<br>●別売の端止め用縁を付けることによりマットのそり上がりを防止し、台車の通行もスムーズにできます。<br>●オイル・水用。<br>●スーパーの惣菜売り場や食品工場に。<br>●色:グレー<br>●幅(mm):600<br>●油吸収量(L/枚):1<br>●厚み(mm):3<br>●ベース厚み(mm):3.4<br>●長さ(mm):900<br>●質量(g):460<br>●塩ビ不使用<br>●パイル：ＰＥＴ（二―パン不織布）<br>●バッキング：ＥＶＡ<br>●油類の吸着後は、その性質に応じ、専門業者に相談の上、処分してください。<br>",『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-6】(4804813)吸油マットＤＰ&minus;２ ＃６（２枚入） 受注単位1：クローバー資材館,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-6】(4804813)吸油マットＤＰ&minus;２ ＃６（２枚入） 受注単位1,オフィス住設用品\床材用品\吸油・吸水マット。『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-6】(4804813)吸油マットＤＰ&minus;２ ＃６（２枚入） 受注単位1[rn]
16-23215,,129.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ジポン/ジポン 清掃品【10072】(8188892) ジポン 人工芝Ｓ用フチ オス 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●屋上やベランダに。<br>
●人工芝フチ<br>
●色:グリーン<br>
●幅(mm):75<br>
●厚み(mm):16<br>
●長さ(mm):150<br>
●タイプ:オス<br>
●エチレン酢酸ビニル樹脂（ＥＶＡ）<br>
●高温（70℃以上）になるような場所では使用しないでください。",■〒ジポン/ジポン 清掃品【10072】(8188892) ジポン 人工芝Ｓ用フチ オス 発注単位1：クローバー資材館,■〒ジポン/ジポン 清掃品【10072】(8188892) ジポン 人工芝Ｓ用フチ オス 発注単位1,オフィス住設用品\床材用品。■〒ジポン/ジポン 清掃品【10072】(8188892) ジポン 人工芝Ｓ用フチ オス 発注単位1[rn]
16-23216,,571.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3001】(7535279) タイルカーペット　シルバー　５０ｃｍ×５０ｃｍ 受注単位1,オフィス住設用品\床材用品\通路マット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐薬品性に優れ、漂白剤でのスポットクリーニングも可能です。<br>●防汚性、防音効果に優れています。<br>●含有率が低いため、乾燥が早く、水切れが良いです。<br>●防炎適合品です。防炎性能登録番号（Ｅ２１２００４４）<br>●帯電防止加工<br><br>●工事の事務所、休憩場、ビルや店舗の床材用マット。<br><br>●色：シルバー<br>●幅(mm)：500<br>●厚み(mm)：6<br>●長さ(mm)：500<br><br><br>●表面：ポリプロピレン(PP)100％<br>●裏面：ＰＶＣ100％<br>",『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3001】(7535279) タイルカーペット　シルバー　５０ｃｍ&times;５０ｃｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3001】(7535279) タイルカーペット　シルバー　５０ｃｍ&times;５０ｃｍ 受注単位1,オフィス住設用品\床材用品\通路マット。『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3001】(7535279) タイルカーペット　シルバー　５０ｃｍ&times;５０ｃｍ 受注単位1[rn]
16-23217,,2948.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニューウェル・ラバーメイド社/エレクター 製品０１【7041-0401】(8194253) エレクター ラバーメイド  バスマット ホワイト 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●転倒などの事故を防ぐ滑り止めマットです。<br>
●強力な吸盤で床にしっかり取り付けられます。<br>
●良質ゴムを使用し、ラテックスは含んでおりませんので安心して使用できます。<br>
●滑り止めマット。<br>
●浴室。<br>
●間口×奥行(mm):711×406<br>
●色:ホワイト<br>
●厚み:5mm<br>
●合成ゴム",■〒ニューウェル・ラバーメイド社/エレクター 製品０１【7041-0401】(8194253) エレクター ラバーメイド  バスマット ホワイト 発注単位1：クローバー資材館,■〒ニューウェル・ラバーメイド社/エレクター 製品０１【7041-0401】(8194253) エレクター ラバーメイド  バスマット ホワイト 発注単位1,オフィス住設用品\床材用品。■〒ニューウェル・ラバーメイド社/エレクター 製品０１【7041-0401】(8194253) エレクター ラバーメイド  バスマット ホワイト 発注単位1[rn]
16-23218,,17496.0000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒日大工業/ワニ印 養生資材【003023】(7924330) ワニ印 塩ビマット 平マット グリーン 1．5mm厚×915mm×20ｍ巻 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●高級感があるので事務所など、様々な場所にお使いいただけます。<br>
●厚みがあるのでめくれ上がりにくいです。<br>
●緩衝性と柔軟性を兼ね備えています。<br>
●複数枚使用の際はテープで固定してください。<br>
●建築現場の床・プラズマディスプレイ工場、住宅廻り、玄関、ベランダの床養生用マットに。<br>
●体育館や選挙投票所、イベント会場の床養生などに。<br>
●色:グリーン<br>
●幅(mm):915<br>
●長さ(m):20<br>
●厚み(mm):1.5<br>
●難燃性<br>
●厚み:1.5mm<br>
●塩化ビニール（PVC）",&Dagger;&Dagger;&Dagger;■〒日大工業/ワニ印 養生資材【003023】(7924330) ワニ印 塩ビマット 平マット グリーン 1．5mm厚&times;915mm&times;20ｍ巻 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒日大工業/ワニ印 養生資材【003023】(7924330) ワニ印 塩ビマット 平マット グリーン 1．5mm厚&times;915mm&times;20ｍ巻 発注単位1,オフィス住設用品\床材用品。&Dagger;&Dagger;&Dagger;■〒日大工業/ワニ印 養生資材【003023】(7924330) ワニ印 塩ビマット 平マット グリーン 1．5mm厚&times;915mm&times;20ｍ巻 発注単位1[rn]
16-23219,,27123.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-RS】(4804821)吸油マットＤＰ－２ ９１Ｘ２０Ｍ 受注単位1,オフィス住設用品\床材用品\吸油・吸水マット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●油だけでなく、水分も吸収する親油性のPET繊維を使用しています。<br>●防炎適合品です。防炎性能登録番号(EO080222)<br>●別売の端止め用縁を付けることによりマットのそり上がりを防止し、台車の通行もスムーズにできます。<br>●オイル・水用。<br>●厨房や食品工場など、食用油が発生する場所に最適です。<br>●色:グレー<br>●幅(mm):910<br>●厚み(mm):3.4<br>●長さ(m):20<br>●油吸収量(L/巻):33<br>●質量(kg):15.5<br>●塩ビ不使用<br>●パイル：ＰＥＴ（二―パン不織布）<br>●バッキング：ＥＶＡ<br>●油類の吸着後は、その性質に応じ、専門業者に相談の上、処分してください。<br>",『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-RS】(4804821)吸油マットＤＰ&minus;２ ９１Ｘ２０Ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-RS】(4804821)吸油マットＤＰ&minus;２ ９１Ｘ２０Ｍ 受注単位1,オフィス住設用品\床材用品\吸油・吸水マット。『カード対応OK！』■〒山崎産業（株）/コンドル 【F-140-RS】(4804821)吸油マットＤＰ&minus;２ ９１Ｘ２０Ｍ 受注単位1[rn]
16-23220,,3186.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒五十嵐刃物工業/鋼典 農機具【A-50】(8188010) 鋼典 刈込鋏 鋼付 尺5樫柄入れ 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●火造り鍛造による鍛えられた刃物です。<br>
●鋼を貼り合せてあり、刃研ぎが楽にできます。<br>
●切れ味を追求するセミ・プロ用です。<br>
●一般刈込に。<br>
●切断能力(mm):8<br>
●刃長(mm):165<br>
●全長(mm):665<br>
●有効内寸(mm)幅×奥行×高さ:466×266×183<br>
●外形寸法(mm)幅×奥行×高さ:525×336×201<br>
●容量(L):22.6<br>
●刃：SK-5鋼<br>
●柄：樫<br>
●木以外の使用はしないでください。<br>
●けが防止のため手袋等をはめて作業を行ってください.。<br>
●無理な使用は刃欠け、刃折れの原因となります。",■〒五十嵐刃物工業/鋼典 農機具【A-50】(8188010) 鋼典 刈込鋏 鋼付 尺5樫柄入れ 発注単位1：クローバー資材館,■〒五十嵐刃物工業/鋼典 農機具【A-50】(8188010) 鋼典 刈込鋏 鋼付 尺5樫柄入れ 発注単位1,オフィス住設用品\緑化用品。■〒五十嵐刃物工業/鋼典 農機具【A-50】(8188010) 鋼典 刈込鋏 鋼付 尺5樫柄入れ 発注単位1[rn]
16-23221,,404.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-178】(7931174) 工進 ＨＳ－Ｗ安全弁クミ 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●石灰硫黄合剤・マシン油対応<br>
●加圧式噴霧器の補修用に。<br>
●適合機種:HS-503W・505W・703W・705W・507W・707W<br>
●品名:HS-W安全弁クミ<br>
●サイズ(mm):80×140×30<br>
●プラスチック<br>
●パック入り",■〒工進/工進 パーツ【PA-178】(7931174) 工進 ＨＳ&minus;Ｗ安全弁クミ 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-178】(7931174) 工進 ＨＳ&minus;Ｗ安全弁クミ 発注単位1,オフィス住設用品\緑化用品。■〒工進/工進 パーツ【PA-178】(7931174) 工進 ＨＳ&minus;Ｗ安全弁クミ 発注単位1[rn]
16-23222,,1296.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-106】(7760299) 工進 泡除草ノズルクミ 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ＨＳ泡除草ノズル組です。<br>
●ラウンドアップに。<br>
●ノズル長さ(mm):110<br>
●品名:泡除草ノズルクミ<br>
●適合機種:HS-402B<br>
●長さ(mm):380<br>
●アルミ<br>
●プラ（噴口）",■〒工進/工進 パーツ【PA-106】(7760299) 工進 泡除草ノズルクミ 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-106】(7760299) 工進 泡除草ノズルクミ 発注単位1,オフィス住設用品\緑化用品。■〒工進/工進 パーツ【PA-106】(7760299) 工進 泡除草ノズルクミ 発注単位1[rn]
16-23223,,3888.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ミツギロン/ミツギロン 安全用品【EG-45】(3759652) ミツギロン ＥＧ－45 快適園芸チェアー 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●タイヤつきで自由に移動できるので腰や膝への負担をやわらげます。<br>
●作業しやすいように高さ調節できます。<br>
●色:ブラック<br>
●座幅(mm):220<br>
●座高(mm):215（低）～290（高）<br>
●張地:合成皮革張り<br>
●完成品<br>
●座上下昇降機能:座部回転ねじ式<br>
●座部:合成皮革<br>
●脚部:スチール<br>
●タイヤ:PE<br>
●耐荷重量150kg",■〒ミツギロン/ミツギロン 安全用品【EG-45】(3759652) ミツギロン ＥＧ&minus;45 快適園芸チェアー 発注単位1：クローバー資材館,■〒ミツギロン/ミツギロン 安全用品【EG-45】(3759652) ミツギロン ＥＧ&minus;45 快適園芸チェアー 発注単位1,オフィス住設用品\緑化用品。■〒ミツギロン/ミツギロン 安全用品【EG-45】(3759652) ミツギロン ＥＧ&minus;45 快適園芸チェアー 発注単位1[rn]
16-23224,,707.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ　チップソーＫ【TBC-230】(4363191) ＴＲＵＳＣＯ　トクマルチップソー刈払機用　２３０Ｘ２５．４Ｘ３６Ｐ 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>●完全埋込み型チップ採用で衝撃に強く、耐久性があります。
<br>●チップに木工用と同じ側面研磨を施しているため、刈れ具合が抜群です。
<br>●一般草刈り、雑草、ツル草、笹に。
<br>●外径(mm):230
<br>●刃厚(mm):2.0
<br>●穴径(mm):25.4
<br>●刃数:36
<br>●最高使用回転数(rpm):10000
<br>●刃部：超硬チップ<br>",■〒トラスコ中山/ＴＲＵＳＣＯ　チップソーＫ【TBC-230】(4363191) ＴＲＵＳＣＯ　トクマルチップソー刈払機用　２３０Ｘ２５．４Ｘ３６Ｐ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ　チップソーＫ【TBC-230】(4363191) ＴＲＵＳＣＯ　トクマルチップソー刈払機用　２３０Ｘ２５．４Ｘ３６Ｐ 発注単位1,オフィス住設用品\緑化用品。■〒トラスコ中山/ＴＲＵＳＣＯ　チップソーＫ【TBC-230】(4363191) ＴＲＵＳＣＯ　トクマルチップソー刈払機用　２３０Ｘ２５．４Ｘ３６Ｐ 発注単位1[rn]
16-23225,,9925.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒大進/ＤＡＩＳＨＩＮ 緑化用品【DG-M300】(8184425) ＤＡＩＳＨＩＮ ＥＧ 手動式芝刈機 30ｃｍ 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●本体リール5枚刃の手動式芝刈機です。<br>
●本格リール5枚刃の手動式芝刈機です。<br>
●芝刈りに。<br>
●刈り幅(mm):300<br>
●刈込高さ(mm):無段階調整17～43<br>
●ブレード数(枚):5<br>
●長さ×幅×高さ(mm)1020×455×860<br>
●電源不要<br>
●電源不要<br>
●刃：炭素鋼<br>
●使用後は、汚れや水気をよく拭き取り保管して下さい。",■〒大進/ＤＡＩＳＨＩＮ 緑化用品【DG-M300】(8184425) ＤＡＩＳＨＩＮ ＥＧ 手動式芝刈機 30ｃｍ 発注単位1：クローバー資材館,■〒大進/ＤＡＩＳＨＩＮ 緑化用品【DG-M300】(8184425) ＤＡＩＳＨＩＮ ＥＧ 手動式芝刈機 30ｃｍ 発注単位1,オフィス住設用品\緑化用品。■〒大進/ＤＡＩＳＨＩＮ 緑化用品【DG-M300】(8184425) ＤＡＩＳＨＩＮ ＥＧ 手動式芝刈機 30ｃｍ 発注単位1[rn]
16-23226,,2052.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒五十嵐刃物工業/鋼典 農機具【B-25】(8188027) 鋼典 調質 花生垣刈込鋏 大 染樫 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●刃物鋼を熟練を要した職人が焼入れし仕上げた刃物です。<br>
●ダブル焼入れ処理され、刃物の腰が強く長切れします。<br>
●一般刈込に。<br>
●切断能力(mm):12<br>
●刃長(mm):150<br>
●全長(mm):655<br>
●刃/150ｍｍ<br>
●柄/450ｍｍ<br>
●刃：刃物用特殊鋼<br>
●柄：樫<br>
●木以外の使用はしないでください。<br>
●けが防止のため手袋等をはめて作業を行ってください。<br>
●無理な使用は刃欠け、刃折れの原因となります。",■〒五十嵐刃物工業/鋼典 農機具【B-25】(8188027) 鋼典 調質 花生垣刈込鋏 大 染樫 発注単位1：クローバー資材館,■〒五十嵐刃物工業/鋼典 農機具【B-25】(8188027) 鋼典 調質 花生垣刈込鋏 大 染樫 発注単位1,オフィス住設用品\緑化用品。■〒五十嵐刃物工業/鋼典 農機具【B-25】(8188027) 鋼典 調質 花生垣刈込鋏 大 染樫 発注単位1[rn]
16-23227,,810.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-291】(7931344) 工進 泡状除草噴口(電池 充電用) 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●適合機種:DK・LSシリーズ<br>
●品名:泡状除草噴口",■〒工進/工進 パーツ【PA-291】(7931344) 工進 泡状除草噴口(電池 充電用) 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-291】(7931344) 工進 泡状除草噴口(電池 充電用) 発注単位1,オフィス住設用品\緑化用品。■〒工進/工進 パーツ【PA-291】(7931344) 工進 泡状除草噴口(電池 充電用) 発注単位1[rn]
16-23228,,324.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-175】(7931158) 工進 ＨＳ－ＢＣ安全弁クミ 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●石灰硫黄合剤・マシン油対応<br>
●加圧式噴霧器の補修用に。<br>
●適合機種:HS-C・B全シリーズ<br>
●品名:HS-BC安全弁クミ<br>
●サイズ(mm):80×140×30<br>
●プラスチック<br>
●パック入り",■〒工進/工進 パーツ【PA-175】(7931158) 工進 ＨＳ&minus;ＢＣ安全弁クミ 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-175】(7931158) 工進 ＨＳ&minus;ＢＣ安全弁クミ 発注単位1,オフィス住設用品\緑化用品。■〒工進/工進 パーツ【PA-175】(7931158) 工進 ＨＳ&minus;ＢＣ安全弁クミ 発注単位1[rn]
16-23229,,1428.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40WL-W】(4953169) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　ウォールタイプ　電球色 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●2段階の明るさ切り替えができます（Hi/Lo）。<br>●壁紙には両面テープ、天井にはねじ、金属面にはマグネットで取り付けられます。<br>●センサーが人の動きを感知して自動的に点灯する乾電池式LED室内センサーライトマルチタイプです。<br><br>●乾電池式で電源や配線が不要なので、いろいろな場所に簡単に設置できます。<br><br>●幅(mm)：194<br>●奥行(mm)：35<br>●高さ(mm)：29.6<br>●使用電球(W)：0.3×4<br>●点灯保持時間：（ＯＮ）常時点灯、（ＡＵＴO）約10秒（感知中は常時点灯）<br>●光源色：電球色<br><br>●電源：単三形アルカリ電池×3本（別売）<br>●ウオールタイプ<br>●点灯時間ＯＮ：常時点灯　ＡＵＴＯ：約10秒（感知中は常時点灯）<br><br>●ポリカーボネート<br>",『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40WL-W】(4953169) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　ウォールタイプ　電球色 受注単位1：クローバー資材館,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40WL-W】(4953169) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　ウォールタイプ　電球色 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト。『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40WL-W】(4953169) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　ウォールタイプ　電球色 受注単位1[rn]
16-23230,,1428.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40ML-W】(4953126) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　電球色 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●2段階の明るさ切り替えができます（Hi/Lo）。<br>●壁紙には両面テープ、壁フックは収納式フック、天井にはねじ、金属面にはマグネットで取り付けられます。<br>●センサーが人の動きを感知して自動的に点灯する乾電池式LED室内センサーライトマルチタイプです。<br><br>●乾電池式で電源や配線が不要なので、いろいろな場所に簡単に設置できます。<br><br>●幅(mm)：95<br>●奥行(mm)：95<br>●高さ(mm)：37<br>●使用電球(W)：0.3×4<br>●点灯保持時間：（ＯＮ）常時点灯、（ＡＵＴO）約10秒（感知中は常時点灯）<br>●光源色：電球色<br><br>●電源：単三形アルカリ電池×3本（別売）<br>●マルチタイプ<br>●点灯時間ＯＮ：常時点灯　ＡＵＴＯ：約10秒（感知中は常時点灯）<br><br>●ポリカーボネート<br>",『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40ML-W】(4953126) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　電球色 受注単位1：クローバー資材館,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40ML-W】(4953126) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　電球色 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト。『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40ML-W】(4953126) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　電球色 受注単位1[rn]
16-23231,,4029.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムサシ/ライテックス【S-HB10】(4747232) １Ｗ　ＬＥＤハイブリッドソーラーライト 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●太陽光発電でAC電源のない所にセンサーライトとしてご使用いただけます。<br><br><br>●幅(mm)：85<br>●奥行(mm)：137<br>●高さ(mm)：155<br>●使用電球(W)：1<br><br>●充電池：ニッカド電池3.6V　400ｍAｈ・乾電池：単３アルカリ乾電池×3本（別売）<br>●HYBRID電源自動切替<br>●探知範囲最大140度　最長8ｍ<br>●夜のみ点灯／時間10秒<br>●状態表示赤色LED搭載・クランプ付属<br>●ソーラーパネルコード長：約5ｍ・防雨基準：IP44<br><br>●自己消火性ABS、PC、HDPE<br>",『カード対応OK！』■〒ムサシ/ライテックス【S-HB10】(4747232) １Ｗ　ＬＥＤハイブリッドソーラーライト 受注単位1：クローバー資材館,『カード対応OK！』■〒ムサシ/ライテックス【S-HB10】(4747232) １Ｗ　ＬＥＤハイブリッドソーラーライト 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト。『カード対応OK！』■〒ムサシ/ライテックス【S-HB10】(4747232) １Ｗ　ＬＥＤハイブリッドソーラーライト 受注単位1[rn]
