5-16016,http://tshop.r10s.jp/soukai/cabinet/03/4547498287903.jpg?fitin=700:700,2384.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > その他,ヘナヘアグロー ブラック(150g)【送料無料】,☆送料無料☆,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞リンス・コンディショナー＞白髪染め・ヘナ用＞ヘナヘアグロー ブラック (150g)<br><br>☆送料無料☆<br><br>商品区分：化粧品<br><br>【ヘナヘアグロー ブラックの商品詳細】<br>●天然ヘナとミカンエキスでいたわりながら自然な毛髪を演出する増毛剤です。<br>●気になる細毛や薄毛、白髪の部分にスプレーするだけで、地毛を活かして髪を自然にボリュームアップ<br>●シャンプーで簡単に洗い流すことができます。<br>●ミクロの特殊微粉末がスプレーされることにより、うぶ毛や細毛の1本1本を太らせボリュームアップします。<br>●デイリー使いにも<br>●男女兼用<br>●ブラック<br><br>【使用方法】<br>(1)あらかじめ髪型を整えて、缶の音がするまで上下によく振ってください。<br>(2)髪の毛に対して20cm程度離し、円を描くように小刻みに手を動かしてください。<br><br>【成分】<br>DME、タルク、エタノール、(アクリル酸アルキル／ジアセトンアクリルアミド)コポリマーAMP、ジメチコン、カーボンブラックメトキシケイヒ酸オクチル、ヘンナ葉エキス、センブリエキス、オタネニンジンエキス、ウンシュウミカン果皮エキス、赤色404、黄色205<br>【注意事項】<br>・使用後5分位は手等で触れないで下さい。急ぎの場合はヘアードライヤーをご使用ください。<br>・頭皮に合わない時は、ご使用をおやめください。<br>・目に入った時はすぐに洗い流して下さい。<br>・染毛料は水性の成分ですので、雨やプール、汗などで流れ落ちることがあります。<br>・使用後のクシ通しは極力お避けください。<br>・使用中は枕や車のヘッドレスト等、極力接触しないようにして下さい。汚れることがあります。<br>・スプレー式ですので火気と高温にご注意ください。<br><br>【原産国】<br>日本<br><br>【発売元、製造元、輸入元又は販売元】<br>コジット<br><br>(HENNA Hair grow ヘアグロウ)<br><br>コジット<br>540-0028 大阪市中央区常盤町1-3-8 中央大通FNビル22F<br>06-6962-1541<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー]</div><!---->,ヘナヘアグロー ブラック(150g)【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションヘナヘアグロー ブラック(150g)【送料無料】,☆送料無料☆。ヘナヘアグロー ブラック(150g)【送料無料】[rn]
5-16097,http://tshop.r10s.jp/soukai/cabinet/21/4545828096621.jpg?fitin=700:700,380.0000,,美容・コスメ・香水 > ボディケア > その他,ゴージョージャパン ピュレル ゴージョー IHS-N(60mL),★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞バス・洗面＞ハンドソープ・消毒用アルコール＞消毒用アルコール＞ゴージョージャパン ピュレル ゴージョー IHS-N (60mL)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：医薬部外品<br><br>【ゴージョージャパン ピュレル ゴージョー IHS-Nの商品詳細】<br>●水もタオルもいらない無色ジェル状手指消毒剤です。<br>●家族みんなの清潔習慣に！幅広いバイ菌を素早く消毒<br>●皮膚を保護する成分を配合。素早くなじみ、さらっとした使用感<br>●持ち運び可能な携帯タイプ<br>●指定医薬部外品<br>●外皮消毒剤<br>●火気厳禁 危険物第4類 アルコール類 危険等級II 水溶性<br><br>【使用方法】<br>・適量を手に取り、乾燥するまで塗擦する<br>(1)乾いた手のひらに取ります。<br>(2)手のひら、指先や爪の間にすり込みます。<br>(3)手の甲に塗りひろげます。<br>(4)指の間、親指、手首にも<br><br>【成分】<br>プロピレングリコール、ミリスチン酸イソプロピル<br>エタノール76.9～81.4v／v％<br>【注意事項】<br>★使用上の注意<br>＜してはいけないこと(守らないと現在の症状が悪化したり、副作用が起こりやすくなる)＞<br>・次の人は使用しないこと<br>(1)患部が広範囲の人<br>(2)深い傷やひどいやけどの人<br>・次の部位には使用しないこと<br>・損傷のある手指・唇等の粘膜の部分、目の周り。(局所刺激作用があるため)<br>＜相談すること＞<br>・次の人は使用前に医師又は薬剤師に相談すること<br>(1)医師の治療を受けている人<br>(2)本人又は家族がアレルギー体質の人<br>(3)薬によりアレルギー症状を起こしたことがある人<br>・使用後、皮ふに発疹・発赤、かゆみの症状があらわれた場合は、直ちに使用を中止し、この製品を持って医師又は薬剤師に相談すること<br>★用法及び用量<br>・適量を手のひらにとり、手指に乾燥するまで塗擦する<br>(1)小児に使用させる場合には、保護者の指導監督のもとに使用させること<br>(2)目に入らないように注意すること。万一、目に入った場合には、すぐに水又はぬるま湯で洗うこと。なお、症状が重い場合には、眼科医の診療を受けること<br>(3)用法・用量を守ること<br>(4)外用にのみ使用すること<br>(5)血液や汚物等が付着している場合には、石けんでよく洗浄し、乾いた後に使用すること<br>★保管及び取り扱い上の注意<br>(1)直射日光の当たらない涼しい所に保管すること<br>(2)高温になる所(車中など)に置かないこと<br>(3)火気に近づけないこと<br>(4)小児の手の届かない所に保管すること<br>(5)他の容器に入れ替えないこと。(誤用の原因になったり品質が変わる)<br>(6)本剤は、床、家具、眼鏡等の塗装面に付くと変質させることがあるので、注意すること<br>(7)ノズルの先が詰まる場合は、詰まりを取り除いてから使用すること<br><br>【原産国】<br>アメリカ<br><br>【発売元、製造元、輸入元又は販売元】<br>ゴージョージャパン株式会社<br><br>(GOJO)<br><br>ゴージョージャパン株式会社<br>101-0047東京都千代田区内神田1-6-6MIFビル3F<br>03-5280-4807<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハンドソープ・消毒用アルコール]</div><!---->,ゴージョージャパン ピュレル ゴージョー IHS-N(60mL)：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションゴージョージャパン ピュレル ゴージョー IHS-N(60mL),★税抜1900円以上で送料無料★。ゴージョージャパン ピュレル ゴージョー IHS-N(60mL)[rn]
5-16098,http://tshop.r10s.jp/soukai/cabinet/53/4545828096553.jpg?fitin=700:700,688.0000,,美容・コスメ・香水 > ボディケア > その他,ゴージョージャパン ピュレル ゴージョー IHS-N(215mL),★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞バス・洗面＞ハンドソープ・消毒用アルコール＞消毒用アルコール＞ゴージョージャパン ピュレル ゴージョー IHS-N (215mL)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：医薬部外品<br><br>【ゴージョージャパン ピュレル ゴージョー IHS-Nの商品詳細】<br>●水もタオルもいらない無色ジェル状手指消毒剤です。<br>●家族みんなの清潔習慣に！幅広いバイ菌を素早く消毒<br>●皮膚を保護する成分を配合。素早くなじみ、さらっとした使用感<br>●指定医薬部外品<br>●外皮消毒剤<br>●火気厳禁 危険物第4類 アルコール類 危険等級II 水溶性<br><br>【使用方法】<br>・適量を手に取り、乾燥するまで塗擦する<br>(1)乾いた手のひらに取ります。<br>(2)手のひら、指先や爪の間にすり込みます。<br>(3)手の甲に塗りひろげます。<br>(4)指の間、親指、手首にも<br><br>【成分】<br>プロピレングリコール、ミリスチン酸イソプロピル<br>エタノール76.9～81.4v／v％<br>【注意事項】<br>★使用上の注意<br>＜してはいけないこと(守らないと現在の症状が悪化したり、副作用が起こりやすくなる)＞<br>・次の人は使用しないこと<br>(1)患部が広範囲の人<br>(2)深い傷やひどいやけどの人<br>・次の部位には使用しないこと<br>・損傷のある手指・唇等の粘膜の部分、目の周り。(局所刺激作用があるため)<br>＜相談すること＞<br>・次の人は使用前に医師又は薬剤師に相談すること<br>(1)医師の治療を受けている人<br>(2)本人又は家族がアレルギー体質の人<br>(3)薬によりアレルギー症状を起こしたことがある人<br>・使用後、皮ふに発疹・発赤、かゆみの症状があらわれた場合は、直ちに使用を中止し、この製品を持って医師又は薬剤師に相談すること<br>★用法及び用量<br>・適量を手のひらにとり、手指に乾燥するまで塗擦する<br>(1)小児に使用させる場合には、保護者の指導監督のもとに使用させること<br>(2)目に入らないように注意すること。万一、目に入った場合には、すぐに水又はぬるま湯で洗うこと。なお、症状が重い場合には、眼科医の診療を受けること<br>(3)用法・用量を守ること<br>(4)外用にのみ使用すること<br>(5)血液や汚物等が付着している場合には、石けんでよく洗浄し、乾いた後に使用すること<br>★保管及び取り扱い上の注意<br>(1)直射日光の当たらない涼しい所に保管すること<br>(2)高温になる所(車中など)に置かないこと<br>(3)火気に近づけないこと<br>(4)小児の手の届かない所に保管すること<br>(5)他の容器に入れ替えないこと。(誤用の原因になったり品質が変わる)<br>(6)本剤は、床、家具、眼鏡等の塗装面に付くと変質させることがあるので、注意すること<br>(7)ノズルの先が詰まる場合は、詰まりを取り除いてから使用すること<br><br>【原産国】<br>日本<br><br>【発売元、製造元、輸入元又は販売元】<br>ゴージョージャパン株式会社<br><br>(GOJO)<br><br>ゴージョージャパン株式会社<br>101-0047東京都千代田区内神田1-6-6MIFビル3F<br>03-5280-4807<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハンドソープ・消毒用アルコール]</div><!---->,ゴージョージャパン ピュレル ゴージョー IHS-N(215mL)：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションゴージョージャパン ピュレル ゴージョー IHS-N(215mL),★税抜1900円以上で送料無料★。ゴージョージャパン ピュレル ゴージョー IHS-N(215mL)[rn]
5-16099,http://tshop.r10s.jp/soukai/cabinet/35/4975541014235.jpg?fitin=700:700,240.0000,,美容・コスメ・香水 > ボディケア > その他,ハンドフレッシュジェル ストロベリー(30mL),★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞バス・洗面＞ハンドソープ・消毒用アルコール＞消毒用アルコール＞ハンドフレッシュジェル ストロベリー (30mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='https://image.rakuten.co.jp/soukai/cabinet/z35/z4975541014235.jpg' width='100%'><br><br>【ハンドフレッシュジェル ストロベリーの商品詳細】<br>●香りつきのアルコールジェル。水なしでさっぱりリフレッシュできます。<br>●旅行やお出かけに便利なサイズ<br>●バッグやベビーカーにぶら下げられるホルダー付きです。<br>●アルコール50％配合<br><br>【使用方法】<br>・適量を手のひらに取り、手指全体に伸ばし、乾燥するまでよくすり込んでください。<br><br>【成分】<br>エタノール、水、グリセリン、PG、TEA、カルボマー、香料、トコフェロール、ホホバ種子油、オキシベンゾン-4、(+／-)青1、黄4、橙205、赤227<br>【注意事項】<br>・お肌に異常がある時、または、お肌に合わない時は、ご使用をお止めください。<br>・目に入った時は、直ちに水かぬるま湯で洗い流してください。<br>・乳幼児の手の届かない所に保管してください。<br>・高温や低温の場所、直射日光の当たる場所には置かないでください。<br><br>【原産国】<br>中国<br><br>【発売元、製造元、輸入元又は販売元】<br>チャーリー<br><br>/(/F264704/)/<br><br>チャーリー<br>550-0027 大阪府大阪市西区九条1-27-6　住友金属興産九条ビル1階<br>06-6585-1331<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハンドソープ・消毒用アルコール]</div><!---->,ハンドフレッシュジェル ストロベリー(30mL)：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションハンドフレッシュジェル ストロベリー(30mL),★税抜1900円以上で送料無料★。ハンドフレッシュジェル ストロベリー(30mL)[rn]
5-16100,http://tshop.r10s.jp/soukai/cabinet/59/4975541014259.jpg?fitin=700:700,240.0000,,美容・コスメ・香水 > ボディケア > その他,ハンドフレッシュジェル アップル(30mL),★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞バス・洗面＞ハンドソープ・消毒用アルコール＞消毒用アルコール＞ハンドフレッシュジェル アップル (30mL)<br><br>★税抜1900円以上で送料無料★<br><br>【ハンドフレッシュジェル アップルの商品詳細】<br>●香りつきのアルコールジェル。水なしでさっぱりリフレッシュできます。<br>●旅行やお出かけに便利なサイズ<br>●バッグやベビーカーにぶら下げられるホルダー付きです。<br>●アルコール50％配合<br><br>【使用方法】<br>・適量を手のひらに取り、手指全体に伸ばし、乾燥するまでよくすり込んでください。<br><br>【成分】<br>エタノール、水、グリセリン、PG、TEA、カルボマー、香料、トコフェロール、ホホバ種子油、オキシベンゾン-4、(+／-)青1、黄4、橙205、赤227<br>【注意事項】<br>・お肌に異常がある時、または、お肌に合わない時は、ご使用をお止めください。<br>・目に入った時は、直ちに水かぬるま湯で洗い流してください。<br>・乳幼児の手の届かない所に保管してください。<br>・高温や低温の場所、直射日光の当たる場所には置かないでください。<br><br>【原産国】<br>中国<br><br>【発売元、製造元、輸入元又は販売元】<br>チャーリー<br><br>チャーリー<br>550-0027 大阪府大阪市西区九条1-27-6　住友金属興産九条ビル1階<br>06-6585-1331<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハンドソープ・消毒用アルコール]</div><!---->,ハンドフレッシュジェル アップル(30mL)：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションハンドフレッシュジェル アップル(30mL),★税抜1900円以上で送料無料★。ハンドフレッシュジェル アップル(30mL)[rn]
5-16101,http://tshop.r10s.jp/soukai/cabinet/40/4517161113440.jpg?fitin=700:700,240.0000,,美容・コスメ・香水 > ボディケア > その他,デイリーディライト マッサージスクラブ ペパーミントシダーウッド(50g)【デイリーディライト(daily delight)】,デイリーディライト(daily delight),<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディスクラブ・マッサージソルト＞デイリーディライト マッサージスクラブ ペパーミントシダーウッド (50g)<br><br>★税抜1900円以上で送料無料★<br><br>【デイリーディライト マッサージスクラブ ペパーミントシダーウッドの商品詳細】<br>●ハチミツ配合のとろりとしたスクラブ<br>●エッセンシャルオイルで香り付けした、シュガーベースのスクラブ<br>●きめの細かいお砂糖(グルコース)がやさしく肌をマッサージ、すべすべの肌に導きます。<br>●アルガンオイル(アルガニアスピノサ核油)とハチミツが肌にうるおいを与え乾燥を防ぎます。<br>●アミノ酸(保湿成分)配合<br>●合成着色料不使用、合成香料不使用、鉱物油不使用<br>●ペパーミントとシダーウッド、グレープフルーツがブレンドされた清涼感と甘みのバランスが絶妙な香り<br><br>【使用方法】<br>・適量を手に取り、軽く水気を拭き取った肌に塗布し、やさしくマッサージした後洗い流してください。<br><br>【成分】<br>グリセリン、グルコース、PEG-32、PEG-6、PEG-75、BG、水、アルガニアスピノサ核油、ハチミツ、セイヨウハッカ油、エンピツビャクシン油、グレープフルーツ果皮油、ベタイン、PCA-Na、ソルビトール、セリン、グリシン、グルタミン酸、アラニン、アルギニン、リシン、トレオニン、プロリン、カラメル、フェノキシエタノール、メチルパラベン、エチルパラベン、プロピルパラベン<br>【注意事項】<br>・本品は食べ物ではありません。<br>・顔にはご使用にならないでください。<br>・肌に合わないときはご使用をおやめください。<br>・肌に傷・湿疹等異常のある時はご使用にならないでください。<br>・肌に赤み・かゆみ・刺激等の異常が現れたときはご使用を中止し皮膚科専門医等へご相談ください。そのままご使用を続けますと症状が悪化することがあります。<br>・目に入らないようにご注意ください。もし入った時は、こすらずすぐに洗い流してください。<br>・高温多湿、直射日光を避け、乳幼児の手の届かないところで保管してください。<br>・天然の成分を配合しているため、香りに若干の変化が見られることがあります。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>デイリーディライト(daily delight)<br><br>【発売元、製造元、輸入元又は販売元】<br>グローバルプロダクトプランニング<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>(daily delight セダーウッド シーダーウッド)<br><br>グローバルプロダクトプランニング<br>150-0036 東京都渋谷区南平台町12-8 +Fスクエア<br>03-3770-6131<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ボディケア/ブランド：デイリーディライト(daily delight)/]</div><!---->,デイリーディライト マッサージスクラブ ペパーミントシダーウッド(50g)【デイリーディライト(daily delight)】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションデイリーディライト マッサージスクラブ ペパーミントシダーウッド(50g)【デイリーディライト(daily delight)】,デイリーディライト(daily delight)。デイリーディライト マッサージスクラブ ペパーミントシダーウッド(50g)【デイリーディライト(daily delight)】[rn]
5-16102,http://tshop.r10s.jp/soukai/cabinet/16/4987379020616.jpg?fitin=700:700,250.4000,,美容・コスメ・香水 > ボディケア > その他,オレンジケア 綿手袋 Mサイズ(1双)【オレンジケア】,オレンジケア★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞ヘルスケア 介護＞衛生器具＞綿手袋＞オレンジケア 綿手袋 Mサイズ (1双)<br><br>★税抜1900円以上で送料無料★<br><br>【オレンジケア 綿手袋 Mサイズの商品詳細】<br>●「オレンジケア 綿手袋 Mサイズ」は、綿を100％使用した肌ざわりがよくソフトな綿手袋です。<br>●通気性の良い綿100％<br>●おやすみ時に、ハンドクリームの後に、ゴム手袋の内ばきとしても！<br><br>【使用方法】<br>・汗で手がべとつくのを防ぐので、炊事・洗濯の時はゴム手袋の下にお使い下さい。<br>・お休み前に、ハンドクリーム・ローションなどでお手入れした後、お使い下さい。<br><br>【原産国】<br>中国<br><br>【ブランド】<br>オレンジケア<br><br>【発売元、製造元、輸入元又は販売元】<br>オレンジケアプロダクツ<br><br>(ORANGE CARE)<br><br>オレンジケアプロダクツ<br>112-0013 東京都文京区音羽2-1-4<br>03-3947-2391<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[衛生器具/ブランド：オレンジケア/]</div><!---->,オレンジケア 綿手袋 Mサイズ(1双)【オレンジケア】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションオレンジケア 綿手袋 Mサイズ(1双)【オレンジケア】,オレンジケア★税抜1900円以上で送料無料★。オレンジケア 綿手袋 Mサイズ(1双)【オレンジケア】[rn]
5-16103,http://tshop.r10s.jp/soukai/cabinet/23/4987379020623.jpg?fitin=700:700,250.4000,,美容・コスメ・香水 > ボディケア > その他,オレンジケア 綿手袋 Lサイズ(1双)【オレンジケア】,オレンジケア★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞ヘルスケア 介護＞衛生器具＞綿手袋＞オレンジケア 綿手袋 Lサイズ (1双)<br><br>★税抜1900円以上で送料無料★<br><br>【オレンジケア 綿手袋 Lサイズの商品詳細】<br>●「オレンジケア 綿手袋 Lサイズ」は、綿を100％使用した肌ざわりがよくソフトな綿手袋です。<br>●通気性の良い綿100％<br>●おやすみ時に、ハンドクリームの後に、ゴム手袋の内ばきとしても！<br><br>【使用方法】<br>・汗で手がべとつくのを防ぐので、炊事・洗濯の時はゴム手袋の下にお使い下さい。<br>・お休み前に、ハンドクリーム・ローションなどでお手入れした後、お使い下さい。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>オレンジケア<br><br>【発売元、製造元、輸入元又は販売元】<br>オレンジケアプロダクツ<br><br>(ORANGE CARE)<br><br>オレンジケアプロダクツ<br>112-0013 東京都文京区音羽2-1-4<br>03-3947-2391<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[衛生器具/ブランド：オレンジケア/]</div><!---->,オレンジケア 綿手袋 Lサイズ(1双)【オレンジケア】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションオレンジケア 綿手袋 Lサイズ(1双)【オレンジケア】,オレンジケア★税抜1900円以上で送料無料★。オレンジケア 綿手袋 Lサイズ(1双)【オレンジケア】[rn]
5-16104,http://tshop.r10s.jp/kenkoukan-r/cabinet/goq001/1180_1.jpg?fitin=700:700,1016.0000,,美容・コスメ・香水 > ボディケア > その他,大正製薬（株） コパトーン タンニング ウォーター SPF2　200ml入り ●翌日配達「あす楽」対象商品●【あす楽_土曜営業】【あす楽_日曜営業】,7350円以上で配送料･代引手数料無料！10000円以上でクーポン,"<table width=600 border=0 cellpadding=0 cellspacing=0><tr><td><table width=600 border=0 cellpadding=5 cellspacing=0><tr><td bgcolor=#000066><strong><font color=#FFFFFF size=2>手軽にムラなくしっかり濃い日焼け色。</font></strong></td></tr></table></td></tr><tr><td height=5><table width=600 border=0 cellpadding=5 cellspacing=1 bgcolor=#000066><tr><td align=left valign=top bgcolor=#9CA4C0><font color=#000066 size=2>■　製品特長</font></td><td width=420 bgcolor=#FFFFFF><font size=2 color=#000000>●クールに全身爽快タンニング！<br>
スプレータイプの簡単タンニングウォーター。スプレーひとふきで、広範囲に塗ることができ手軽にお使いいただけます。 <br>
●炎症を引き起こす紫外線のみをカット<br>
SPF2で、炎症を引き起こす有害な紫外線からお肌を守りながら、健康的な濃い日焼け肌を楽しめます。アロエ・キャロット配合で、肌の潤いを保ちます。 <br>
●べたつかないウォータータイプ<br>
ウォーターベースなので、べとつかず快適なつけ心地です。<br>
●ほんのりココナッツの香り(微香性)</font></td></tr></table></td></tr></table><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064325936.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064347386.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349635.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349726.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349634.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064326794.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349725.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349726.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064360722.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064360101.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066638556.jpg"" ><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066613960.jpg"" ><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066377196.jpg"" ><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066377195.jpg"" ><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066638570.jpg"" ><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064412380.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064360100.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064412360.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064412381.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349737.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066377191.jpg"" ><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064413061.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064360721.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064412359.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064413060.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066377146.jpg"" ><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064347387.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066506638.jpg"" ><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066377197.jpg"" ><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066377186.jpg"" ><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349738.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066375127.jpg"" ><BR><BR>


★翌日配達の「あす楽」対応になりました！★
（配達地域・時間等はこちらをご確認ください）
<img src=""http://image.rakuten.co.jp/com/img/rms/cabinet/recommend_new/img00000410.jpg"">",大正製薬（株） コパトーン タンニング ウォーター SPF2　200ml入り ●翌日配達「あす楽」対象商品●【あす楽_土曜営業】【あす楽_日曜営業】：健康と美容の専門店　健康壱番館,大正製薬（株） コパトーン タンニング ウォーター SPF2　200ml入り ●翌日配達「あす楽」対象商品●【あす楽_土曜営業】【あす楽_日曜営業】,7350円以上で配送料･代引手数料無料！10000円以上でクーポン。大正製薬（株） コパトーン タンニング ウォーター SPF2　200ml入り ●翌日配達「あす楽」対象商品●【あす楽_土曜営業】【あす楽_日曜営業】[rn]
5-16105,http://tshop.r10s.jp/kenkoukan-r/cabinet/goq001/1177_1.jpg?fitin=700:700,1016.0000,,美容・コスメ・香水 > ボディケア > その他,大正製薬（株） コパトーン トロピカル サンドフリー ハワイ SPF2　120ml入り ●翌日配達「あす楽」対象商品●::【あす楽_土曜営業】【あす楽_日曜営業】,7350円以上で配送料･代引手数料無料！10000円以上でクーポン,"<table width=600 border=0 cellpadding=0 cellspacing=0><tr><td><table width=600 border=0 cellpadding=5 cellspacing=0><tr><td bgcolor=#000066><strong><font color=#FFFFFF size=2>砂浜でしっかり濃い日焼け色。</font></strong></td></tr></table></td></tr><tr><td height=5><table width=600 border=0 cellpadding=5 cellspacing=1 bgcolor=#000066><tr><td align=left valign=top bgcolor=#9CA4C0><font color=#000066 size=2>■　製品特長</font></td><td width=420 bgcolor=#FFFFFF><font size=2 color=#000000>●ベタつかないドライオイル。<br>
光沢感があり肌なじみが抜群。砂が付いてもサラッと落ちるサンドフリー仕様。<br>
●炎症を引き起こす紫外線のみをカット<br>
SPF2で、炎症を引き起こす有害な紫外線からお肌を守りながら、健康的な濃い日焼け肌を楽しめます。アロエベラ配合で、肌の潤いを保ちます。 <br>
●南国気分いっぱいのハワイアンココナッツの香り</font></td></tr></table></td></tr></table><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064325936.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064347386.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349635.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349726.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349634.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064326794.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349725.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064349726.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064360722.jpg""><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0064360101.jpg""><BR>

<img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066638556.jpg"" ><img src=""http://image.rakuten.co.jp/kenkoukan-r/cabinet/bana/imgrc0066613960.jpg"" ><BR>

