28-45901,http://tshop.r10s.jp/takisyo/cabinet/01211869/img56420620.jpg?fitin=700:700,3840.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位,,,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位：瀧商店,屋外照明農業用品農機具藤棚ぶどう棚パーゴラ園芸用品家庭菜園ミソノ包丁温室バーベキューコンロ温室ハラックスタカショーピカ防草シートザバーン除草剤マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位[rn]
28-45931,http://tshop.r10s.jp/monju/cabinet/bond/309-9865.jpg?fitin=700:700,3751.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,3M(スリーエム)　スコッチウェルド　工業用接着剤　EC1368NT　1Ｌ,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●速乾性で非常に優れた接着力、耐久力を保ち、長い粘着保持期間を有します</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●トルエン・キシレンは使用していません</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●金属、木、ゴム、ダンボール、プラスチックなどの多くの下地に適します</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●テープのプライマーとして使用可能です</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●JIS F☆☆☆☆(国土交通大臣認定番号NFN-1828)</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：黄</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：クロロプレンゴム</FONT></TD>
  </TR></TABLE></center><br>",3M(スリーエム)　スコッチウェルド　工業用接着剤　EC1368NT　1Ｌ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチウェルド　工業用接着剤　EC1368NT　1Ｌ,3M(スリーエム)　スコッチウェルド　工業用接着剤　EC1368NT　1Ｌ[rn]
28-45932,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065754674.jpg?fitin=700:700,205.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,コニシボンド　ビニール用ボンド　50ml,,"★特徴★<br>
●透明・速乾タイプで、接着後も柔軟性を保ちます<br>●塩化ビニル、塩ビレザーの接着に最適です<br>
●軟質塩化ビニル同士や、軟質塩化ビニルと木、金属、布、紙などの接着に<br>
<br>
★仕様★<br>
●色:透明<br>
●容量(ml):50<br>
●質量(ｇ):73<br>
●主成分：塩化ビニル樹脂系<br>",コニシボンド　ビニール用ボンド　50ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアコニシボンド　ビニール用ボンド　50ml,コニシボンド　ビニール用ボンド　50ml[rn]
28-45933,http://tshop.r10s.jp/monju/cabinet/00564959/03720986/imgrc0065698995.jpg?fitin=700:700,387.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,3M(スリーエム)　スコッチ　強力接着剤　多用途用　30ml,,"★特徴★<br>
●耐久性に優れ、幅広く使えるタイプです。<br>
●多用途タイプ。<br>
<br>
★仕様★<br>
●容量(ml):30<br>
●色:淡黄色透明<br>
●質量(g):42<br>
●質量:42g<br>
●主成分：塩化ビニール樹脂、ウレタン樹脂<br>",3M(スリーエム)　スコッチ　強力接着剤　多用途用　30ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチ　強力接着剤　多用途用　30ml,3M(スリーエム)　スコッチ　強力接着剤　多用途用　30ml[rn]
28-45934,http://tshop.r10s.jp/monju/cabinet/bond/335-0584.jpg?fitin=700:700,560.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダイン万能型接着剤　575F180ml,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●初期接着力が強く接着後も弾力性があります</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●多用途汎用接着剤</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ゴム、皮、金属、木、硬質プラスチック、タイル、コンクリートなどの接着</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●日本接着剤工業会　JAIA 4VOC基準適合品</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●JIS A5549　F☆☆☆☆</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：褐色</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：クロロプレンゴム</FONT></TD>
  </TR></TABLE></center><br>",セメダイン万能型接着剤　575F180ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダイン万能型接着剤　575F180ml,セメダイン万能型接着剤　575F180ml[rn]
28-45935,http://tshop.r10s.jp/monju/cabinet/bond/335-0592.jpg?fitin=700:700,825.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダイン万能型接着剤　575F500g,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●初期接着力が強く接着後も弾力性があります</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●多用途汎用接着剤</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ゴム、皮、金属、木、硬質プラスチック、タイル、コンクリートなどの接着</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●日本接着剤工業会　JAIA 4VOC基準適合品</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●JIS A5549　F☆☆☆☆</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：褐色</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：クロロプレンゴム</FONT></TD>
  </TR></TABLE></center><br>",セメダイン万能型接着剤　575F500g：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダイン万能型接着剤　575F500g,セメダイン万能型接着剤　575F500g[rn]
28-45936,http://tshop.r10s.jp/monju/cabinet/00564959/03720986/imgrc0065698999.jpg?fitin=700:700,387.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,3M(スリーエム)　スコッチ　強力接着剤　塩化ビニール用　30ml,,"★特徴★<br>
●耐水、耐油性に優れ、乾燥後も柔軟性があります<br>●軟質塩化ビニール、硬質塩化ビニールの接着に<br>
<br>
★仕様★<bR>
●容量(ml):30<br>
●色:淡黄色透明<br>
●質量(g):40<br>
●質量:40g<br>
●主成分：塩化ビニール樹脂<br>",3M(スリーエム)　スコッチ　強力接着剤　塩化ビニール用　30ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチ　強力接着剤　塩化ビニール用　30ml,3M(スリーエム)　スコッチ　強力接着剤　塩化ビニール用　30ml[rn]
28-45937,http://tshop.r10s.jp/monju/cabinet/00564959/img56562764.jpg?fitin=700:700,1305.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダインスパーXゴールド　黒色　135ml,,"仕様<BR>
●色:黒色<br>
●容量(ml):135<br>
●粘度(Pa・s):50.0<br>
●厚生労働省指針値策定１４物質不使用<br>
●ホルムアルデヒド規制対象外<br>
●日本接着剤工業会 JAIA F☆☆☆☆４VOC基準適合品<br>●低分子環状シロキサン非含有<br>
<p>
特徴<br>
●シロキサンフリーの環境対応品です。<br>
●作業性に優れた１液湿気硬化・速硬化タイプです。<br>
●オープンタイムを取ることにより水分供給がない被着体でも速硬化が可能です。<br>
●各種被着体に対する良好な接着性があります。<br>
●接点障害の原因となるシロキサンを含有していません。<br>
<p>
用途<br>
●金属・硬質プラスチック・ゴム・皮・木・タイル・コンクリートの接着。<br>
<p>
材質/仕上げ<br>
●主成分:アクリル変性特殊ポリマー<br>
<p>
生産国 日本<br>",セメダインスパーXゴールド　黒色　135ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダインスパーXゴールド　黒色　135ml,セメダインスパーXゴールド　黒色　135ml[rn]
28-45938,http://tshop.r10s.jp/monju/cabinet/bond/335-0592.jpg?fitin=700:700,3733.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダイン万能型接着剤　575F3kg,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●初期接着力が強く接着後も弾力性があります</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●多用途汎用接着剤</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ゴム、皮、金属、木、硬質プラスチック、タイル、コンクリートなどの接着</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●日本接着剤工業会　JAIA 4VOC基準適合品</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●JIS A5549　F☆☆☆☆</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：褐色</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：クロロプレンゴム</FONT></TD>
  </TR></TABLE></center><br>",セメダイン万能型接着剤　575F3kg：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダイン万能型接着剤　575F3kg,セメダイン万能型接着剤　575F3kg[rn]
28-45939,http://tshop.r10s.jp/monju/cabinet/00058755/img59095644.jpg?fitin=700:700,392.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダイン接着剤スーパーX2　20ml　AX-022,,"●色:透明<br>
●容量(ml):20<br>
●可使時間（分）:２～３<br>
●使用温度範囲:－６０～１２０℃<br>
●初期硬化時間（分）:５～１０<br>
●ＩＳＯ１４００認証取得工場製<br>
●質量 21 ｇ<br>
<p>
特徴<br>
●熱、水、ショックに強く、屋外でも使えます。<br>
●ハイスピードタイプで、すばやくつけたい小物の接着用途に最適です。<br>
<p>
用途<br>
●合成ゴム、皮革、金属、木、硬質プラスチック、発泡スチロール、軟質塩化ビニール、タイル、コンクリートなどの接着。<br>
<p>
材質/仕上げ<br>
●主成分:変成シリコーン<br>
<p>
セット内容/付属品<br>
●ヘラ<br>
<p>
生産国 日本<br>",セメダイン接着剤スーパーX2　20ml　AX-022：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダイン接着剤スーパーX2　20ml　AX-022,セメダイン接着剤スーパーX2　20ml　AX-022[rn]
28-45940,http://tshop.r10s.jp/monju/cabinet/bond/335-0592.jpg?fitin=700:700,1428.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダイン万能型接着剤 575F1kg,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●初期接着力が強く接着後も弾力性があります</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●多用途汎用接着剤</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ゴム、皮、金属、木、硬質プラスチック、タイル、コンクリートなどの接着</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●日本接着剤工業会　JAIA 4VOC基準適合品</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●JIS A5549　F☆☆☆☆</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：褐色</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：クロロプレンゴム</FONT></TD>
  </TR></TABLE></center><br>",セメダイン万能型接着剤 575F1kg：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダイン万能型接着剤 575F1kg,セメダイン万能型接着剤 575F1kg[rn]
28-45941,http://tshop.r10s.jp/monju/cabinet/bond/356-3928.jpg?fitin=700:700,1305.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダインスーパーXゴールド　135ml,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""5""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●シロキサンフリーの環境対応品です</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●作業性に優れた1液湿気硬化・速硬化タイプです</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●オープンタイムを取ることにより水分供給がない被着体でも速硬化が可能です</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●各種被着体に対する良好な接着性があります</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●接点障害の原因となるシロキサンを含有していません</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●金属、硬質プラスチック、ゴム、皮、木、タイル、コンクリートの接着</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""4""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●厚生労働省指針値策定14物質不使用</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●ホルムアルデヒド規制対象外</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●日本接着剤工業会：JAIA F☆☆☆☆ 4VOC基準適合品</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●低分子環状シロキサン非含有</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：アクリル変性特殊ポリマー</FONT></TD>
  </TR></TABLE></center><br>",セメダインスーパーXゴールド　135ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダインスーパーXゴールド　135ml,セメダインスーパーXゴールド　135ml[rn]
28-45942,http://tshop.r10s.jp/monju/cabinet/00058755/imgrc0065703928.jpg?fitin=700:700,1305.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダインスパーXゴールド　白色　135ml,,"仕様<BR>
●色:白色<br>
●容量(ml):135<br>
●粘度(Pa・s):50.0<br>
●厚生労働省指針値策定１４物質不使用<br>
●ホルムアルデヒド規制対象外<br>
●日本接着剤工業会 JAIA F☆☆☆☆４VOC基準適合品<br>●低分子環状シロキサン非含有<br>
<p>
特徴<br>
●シロキサンフリーの環境対応品です。<br>
●作業性に優れた１液湿気硬化・速硬化タイプです。<br>
●オープンタイムを取ることにより水分供給がない被着体でも速硬化が可能です。<br>
●各種被着体に対する良好な接着性があります。<br>
●接点障害の原因となるシロキサンを含有していません。<br>
<p>
用途<br>
●金属・硬質プラスチック・ゴム・皮・木・タイル・コンクリートの接着。<br>
<p>
材質/仕上げ<br>
●主成分:アクリル変性特殊ポリマー<br>
<p>
生産国 日本<br>",セメダインスパーXゴールド　白色　135ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダインスパーXゴールド　白色　135ml,セメダインスパーXゴールド　白色　135ml[rn]
28-45943,http://tshop.r10s.jp/monju/cabinet/00564959/03720986/imgrc0065698997.jpg?fitin=700:700,387.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,3M(スリーエム)　スコッチ　強力接着剤　プラスック用　30ml,,"★特徴★<br>
●垂直面なども作業がしやすいジェルタイプです<br>
●難接着素材のポリエチレン、ポリプロピレンなどのプラスチックの接着に<br>
<br>
★仕様★<br>
●容量(ml):30<br>
●色:透明<br>
●質量(g):40<br>
●質量:40g<br>
●主成分：スチレンイソプレンゴム、スチレンブタジエンゴム<br>",3M(スリーエム)　スコッチ　強力接着剤　プラスック用　30ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア3M(スリーエム)　スコッチ　強力接着剤　プラスック用　30ml,3M(スリーエム)　スコッチ　強力接着剤　プラスック用　30ml[rn]
28-45944,http://tshop.r10s.jp/monju/cabinet/bond/336-8378.jpg?fitin=700:700,9588.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　3000ml,,"<center>
<TABLE border=""0"">
  <TR>
    <TD><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●PP樹脂への接着性を改善する下地処理剤です</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●自動車、電機、建材等のポリプロピレン樹脂部品の接着</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●適用接着剤：スーパーX、EP001、No.575Fなど</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●ポリプロピレン対応</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：透明</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：ポリオレフィン樹脂</FONT></TD>
  </TR></TABLE></center><br>",セメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　3000ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　3000ml,セメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　3000ml[rn]
28-45945,http://tshop.r10s.jp/monju/cabinet/bond/332-5938.jpg?fitin=700:700,2277.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　硬化促進剤 712(高粘度接着剤用)スプレー　20ml　712-20,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">【特長】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●高粘度接着剤の硬化促進、白化防止に後塗布としての使用に適した促進剤です</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【用途】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●プリント基板のワイヤ固定</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●微調整部品の固定</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【仕様】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●塗布後有効時間：1分</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【材質】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●主成分：希釈溶剤IPA</font></td>
  </tr>
</table>
</center><br>",LOCTITE(ロックタイト)　硬化促進剤 712(高粘度接着剤用)スプレー　20ml　712-20：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　硬化促進剤 712(高粘度接着剤用)スプレー　20ml　712-20,LOCTITE(ロックタイト)　硬化促進剤 712(高粘度接着剤用)スプレー　20ml　712-20[rn]
28-45946,http://tshop.r10s.jp/monju/cabinet/bond/215-0891.jpg?fitin=700:700,1414.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　硬化促進剤 7471硬化促進・高強度用ボトル　100ml,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●嫌気性接着剤(ネジロック)やシール剤(配管シール剤・フランジシール剤)の<BR>
    　硬化速度を促進します</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●材料費の節減、工数の削減、作業時間の短縮</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""4""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●硬化速度を高めつつ硬度を確保したい場合</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●すき間が大きい場合</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●メッキ面や金、銀、アルマイトなど不活性面を接着したい場合</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●15℃以下で硬化させる場合</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●色：黄</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●希釈溶剤：アセトン/IPA(塗布後有効期間7日)</FONT></TD>
  </TR></TABLE></center><br>",LOCTITE(ロックタイト)　硬化促進剤 7471硬化促進・高強度用ボトル　100ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　硬化促進剤 7471硬化促進・高強度用ボトル　100ml,LOCTITE(ロックタイト)　硬化促進剤 7471硬化促進・高強度用ボトル　100ml[rn]
