14-67201,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgamon-f233.jpg?fitin=700:700,120.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,amon エーモン F233 配線止め金具 4個入,【メール便可能】,"■コードの固定・小物掛けに。
■サイズ
15.0×25.0mm(両面テープ付）
■入り数
4個",amon エーモン F233 配線止め金具 4個入：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOamon エーモン F233 配線止め金具 4個入,【メール便可能】。amon エーモン F233 配線止め金具 4個入[rn]
14-67212,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgat-rs91dl-60.jpg?fitin=700:700,24320.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RS91DL/6.0  オプティカルデジタルケーブル2.0+4.0m(4PIN→TOS＋TOS→4PIN),,"角形光プラグ － 角形光プラグ。
オールプラスチックファイバー(APF)シングルコアφ1mmで高忠実度伝送。
2重樹脂被覆構成とマグネシウムウィスカー配合外被で、不要振動抑制を徹底し高音質をサポート。
端末平面加工で、高効率伝送を実現。
最大85℃までの耐熱仕様。

取り付け上の注意
●ケーブルを機器に接続する際は、先端にキャップが付いていますのでキャップを必ず取り外してください。
●ケーブルは、プラグの根元に力がかからないように固定してください。
●ケーブルは鋭く折り曲げないでください。やむを得なく小さく曲がる場合には半径30mm以下にならないようにしてください。
※小さく折り曲げると、ファイバーの断線や、ケーブルの劣化を招き、光の伝達が妨げられ音質に影響を与えたり、音が出なくなる可能性があります。
●余った線の引き回しについては、直径200mm以上のループ(巻き)にしてケーブルに圧力がかからないようにしてください。
●ケーブルを外す場合は、プラグ部を持って引っ張ってください。直接ケーブルを引っ張るとケーブルが破損する恐れがあります。",audio-technica オーディオテクニカ AT-RS91DL/6.0  オプティカルデジタルケーブル2.0+4.0m(4PIN&rarr;TOS＋TOS&rarr;4PIN)：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RS91DL/6.0  オプティカルデジタルケーブル2.0+4.0m(4PIN&rarr;TOS＋TOS&rarr;4PIN),audio-technica オーディオテクニカ AT-RS91DL/6.0  オプティカルデジタルケーブル2.0+4.0m(4PIN&rarr;TOS＋TOS&rarr;4PIN)[rn]
14-67213,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgn42582.jpg?fitin=700:700,7040.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RS90/6.0 オプティカルデジタルケーブル,【送料無料】,"強力な制振構造によりハイレゾ音源まで
余さず表現するオプティカルデジタルケーブル。

ハイレゾ音源を余さず再現するサンプリング周波数192kHz/24bit対応※。(※当社調べ)
高忠実度伝送を可能にするシングルコアφ1mmのプラスチック光ファイバー(APF)。
有害な振動を減衰する マグネシウムウィスカー + チタン入りレジン のデュアルハイブリッドインシュレーションシステム。
高効率伝送を可能にする端末平面加工。
最大85°Cまでの耐熱仕様。",audio-technica オーディオテクニカ AT-RS90/6.0 オプティカルデジタルケーブル：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RS90/6.0 オプティカルデジタルケーブル,【送料無料】。audio-technica オーディオテクニカ AT-RS90/6.0 オプティカルデジタルケーブル[rn]
14-67214,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgat-ca44li-12.jpg?fitin=700:700,3072.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-CA44Li/1.2 iPod/iPhone/iPad専用 Lightning-USBケーブル,,"ノイズに強いメタルプラグで明快な高音質再生を実現
iPhoneやiPad、iPodに対応し
カーオーディオ・カーナビゲーションにダイレクト接続

■電源部分の導線を強化することで充電速度を向上
■iPhoneやiPad、iPodの音楽を高音質伝送
■音質を重視したOFC※導体を採用
■外来ノイズに強いメタルプラグ
■ケーブルはUSB2.0相当

※OFC:Oxygen-Free Copper（無酸素銅）",audio-technica オーディオテクニカ AT-CA44Li/1.2 iPod/iPhone/iPad専用 Lightning-USBケーブル：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-CA44Li/1.2 iPod/iPhone/iPad専用 Lightning-USBケーブル,audio-technica オーディオテクニカ AT-CA44Li/1.2 iPod/iPhone/iPad専用 Lightning-USBケーブル[rn]
14-67215,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgn42583.jpg?fitin=700:700,5120.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RS90MT/2.0 オプティカルデジタルケーブル,【送料無料】,"強力な制振構造によりハイレゾ音源まで
余さず表現するオプティカルデジタルケーブル。

ハイレゾ音源を余さず再現するサンプリング周波数192kHz/24bit対応※。(※当社調べ)
高忠実度伝送を可能にするシングルコアφ1mmのプラスチック光ファイバー(APF)。
有害な振動を減衰する マグネシウムウィスカー + チタン入りレジン のデュアルハイブリッドインシュレーションシステム。
高効率伝送を可能にする端末平面加工。
最大85°Cまでの耐熱仕様。",audio-technica オーディオテクニカ AT-RS90MT/2.0 オプティカルデジタルケーブル：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RS90MT/2.0 オプティカルデジタルケーブル,【送料無料】。audio-technica オーディオテクニカ AT-RS90MT/2.0 オプティカルデジタルケーブル[rn]
14-67216,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgat-rs9560.jpg?fitin=700:700,22400.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RS95/6.0 コアキシャルデジタルケーブル,【送料無料】,"HiFC＋OFCハイブリッド導体で伝送ロスの低減と低ジッターを実現
ハイレゾ音源まで余さず再現するコアキシャルデジタルケーブル。

ハイレゾ音源を余さず再現するサンプリング周波数192kHz/24bit対応。(当社調べ)
信号ライン(芯線部)にHiFC＋OFCハイブリッド導体を採用。
アルミシールド＋フッ素樹脂テープ＋OFC編組2重シールドの3重シールド構造で高周波ノイズの影響を低減。
最良の音質を得るために外皮PVCの素材と厚みを追及。
最大90℃までの耐熱仕様。",audio-technica オーディオテクニカ AT-RS95/6.0 コアキシャルデジタルケーブル：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RS95/6.0 コアキシャルデジタルケーブル,【送料無料】。audio-technica オーディオテクニカ AT-RS95/6.0 コアキシャルデジタルケーブル[rn]
14-67217,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgat-rs9540.jpg?fitin=700:700,20480.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RS95/4.0 コアキシャルデジタルケーブル,【送料無料】,"HiFC＋OFCハイブリッド導体で伝送ロスの低減と低ジッターを実現
ハイレゾ音源まで余さず再現するコアキシャルデジタルケーブル。

ハイレゾ音源を余さず再現するサンプリング周波数192kHz/24bit対応。(当社調べ)
信号ライン(芯線部)にHiFC＋OFCハイブリッド導体を採用。
アルミシールド＋フッ素樹脂テープ＋OFC編組2重シールドの3重シールド構造で高周波ノイズの影響を低減。
最良の音質を得るために外皮PVCの素材と厚みを追及。
最大90℃までの耐熱仕様。",audio-technica オーディオテクニカ AT-RS95/4.0 コアキシャルデジタルケーブル：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RS95/4.0 コアキシャルデジタルケーブル,【送料無料】。audio-technica オーディオテクニカ AT-RS95/4.0 コアキシャルデジタルケーブル[rn]
14-67218,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgat-rs9520.jpg?fitin=700:700,18560.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RS95/2.0 コアキシャルデジタルケーブル,【送料無料】,"HiFC＋OFCハイブリッド導体で伝送ロスの低減と低ジッターを実現
ハイレゾ音源まで余さず再現するコアキシャルデジタルケーブル。

ハイレゾ音源を余さず再現するサンプリング周波数192kHz/24bit対応。(当社調べ)
信号ライン(芯線部)にHiFC＋OFCハイブリッド導体を採用。
アルミシールド＋フッ素樹脂テープ＋OFC編組2重シールドの3重シールド構造で高周波ノイズの影響を低減。
最良の音質を得るために外皮PVCの素材と厚みを追及。
最大90℃までの耐熱仕様。",audio-technica オーディオテクニカ AT-RS95/2.0 コアキシャルデジタルケーブル：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RS95/2.0 コアキシャルデジタルケーブル,【送料無料】。audio-technica オーディオテクニカ AT-RS95/2.0 コアキシャルデジタルケーブル[rn]
14-67219,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgat-rx97otg-13.jpg?fitin=700:700,17920.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RX97OTG/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット,【送料無料】,"トリプルハイブリッド導体の電源ライン＋ハイブリッド導体の信号ラインによりUSB接続での高解像度再生を徹底追求。

電源ラインにPC-Triple C+6N-OFC+OFCトリプルハイブリッド導体を採用。
信号ラインにPC-Triple C+6N-OFCハイブリッド導体を採用。
ハイブラーとハネナイトスタビライザーを組み合わせたハイブリッドインシュレーションシステムで不要振動の減衰に効果を発揮。
金メッキコンタクトで耐久性・信頼性を向上。
銅テープ＋OFC編組シールドの強力2重シールド。
最大90℃までの耐熱仕様。
ケーブルはUSB2.0相当。
＊PC-TripleC：高純度銅素材であるOFCを鍛造技術にて製造した素材。
　(古河電工が製造・販売している高純度無酸素銅をFCM独自の鍛造方法で製造するものです)
　FCM株式会社および株式会社プロモーションワークスの登録商標です。
＊6N-OFC：99.99997％の無酸素銅
＊OFC：Oxgen-Free Copper(高純度無酸素銅)99.99％純度の無酸素銅
＊ハイブラー：ゴム弾性があり、高い制振性能を発揮します。
クラレの制振性熱可塑エラストマーの登録商標です。",audio-technica オーディオテクニカ AT-RX97OTG/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RX97OTG/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット,【送料無料】。audio-technica オーディオテクニカ AT-RX97OTG/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット[rn]
14-67220,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgat-rx97mr-13.jpg?fitin=700:700,17920.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RX97MR/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット,【送料無料】,"トリプルハイブリッド導体の電源ライン＋ハイブリッド導体の信号ラインによりUSB接続での高解像度再生を徹底追求。

電源ラインにPC-Triple C+6N-OFC+OFCトリプルハイブリッド導体を採用。
信号ラインにPC-Triple C+6N-OFCハイブリッド導体を採用。
ハイブラーとハネナイトスタビライザーを組み合わせたハイブリッドインシュレーションシステムで不要振動の減衰に効果を発揮。
金メッキコンタクトで耐久性・信頼性を向上。
銅テープ＋OFC編組シールドの強力2重シールド。
最大90℃までの耐熱仕様。
ケーブルはUSB2.0相当。
＊PC-TripleC：高純度銅素材であるOFCを鍛造技術にて製造した素材。
　(古河電工が製造・販売している高純度無酸素銅をFCM独自の鍛造方法で製造するものです)
　FCM株式会社および株式会社プロモーションワークスの登録商標です。
＊6N-OFC：99.99997％の無酸素銅
＊OFC：Oxgen-Free Copper(高純度無酸素銅)99.99％純度の無酸素銅
＊ハイブラー：ゴム弾性があり、高い制振性能を発揮します。
　クラレの制振性熱可塑エラストマーの登録商標です。",audio-technica オーディオテクニカ AT-RX97MR/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RX97MR/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット,【送料無料】。audio-technica オーディオテクニカ AT-RX97MR/1.3 トリプルハイブリッドUSBケーブル Rexat レグザット[rn]
14-67221,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgat-rx97mb-20.jpg?fitin=700:700,21120.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RX97MB/2.0 トリプルハイブリッドUSBケーブル Rexat レグザット,【送料無料】,"トリプルハイブリッド導体の電源ライン＋ハイブリッド導体の信号ラインによりUSB接続での高解像度再生を徹底追求。

電源ラインにPC-Triple C+6N-OFC+OFCトリプルハイブリッド導体を採用。
信号ラインにPC-Triple C+6N-OFCハイブリッド導体を採用。
ハイブラーとハネナイトスタビライザーを組み合わせたハイブリッドインシュレーションシステムで不要振動の減衰に効果を発揮。
金メッキコンタクトで耐久性・信頼性を向上。
銅テープ＋OFC編組シールドの強力2重シールド。
最大90℃までの耐熱仕様。
ケーブルはUSB2.0相当。
＊PC-TripleC：高純度銅素材であるOFCを鍛造技術にて製造した素材。
　(古河電工が製造・販売している高純度無酸素銅をFCM独自の鍛造方法で製造するものです)
　FCM株式会社および株式会社プロモーションワークスの登録商標です。
＊6N-OFC：99.99997％の無酸素銅
＊OFC：Oxgen-Free Copper(高純度無酸素銅)99.99％純度の無酸素銅
＊ハイブラー：ゴム弾性があり、高い制振性能を発揮します。
　クラレの制振性熱可塑エラストマーの登録商標です。",audio-technica オーディオテクニカ AT-RX97MB/2.0 トリプルハイブリッドUSBケーブル Rexat レグザット：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RX97MB/2.0 トリプルハイブリッドUSBケーブル Rexat レグザット,【送料無料】。audio-technica オーディオテクニカ AT-RX97MB/2.0 トリプルハイブリッドUSBケーブル Rexat レグザット[rn]
14-67222,http://tshop.r10s.jp/cps-mm/cabinet/diy/imgtbt-171p.jpg?fitin=700:700,3200.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TBT-171P バッテリーターミナル（D端子＋用）,,"●プラチナカラー仕上げ
●専用クリアカバー1個",audio-technica オーディオテクニカ TBT-171P バッテリーターミナル（D端子＋用）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TBT-171P バッテリーターミナル（D端子＋用）,audio-technica オーディオテクニカ TBT-171P バッテリーターミナル（D端子＋用）[rn]
14-67223,http://tshop.r10s.jp/cps-mm/cabinet/diy/imgtbt-151n.jpg?fitin=700:700,3200.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TBT-151N バッテリーターミナル（D端子－用）,,"●プラチナカラー仕上げ
●専用クリアカバー1個",audio-technica オーディオテクニカ TBT-151N バッテリーターミナル（D端子&minus;用）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TBT-151N バッテリーターミナル（D端子&minus;用）,audio-technica オーディオテクニカ TBT-151N バッテリーターミナル（D端子&minus;用）[rn]
14-67224,http://tshop.r10s.jp/cps-mm/cabinet/diy/imgtbt-wp.jpg?fitin=700:700,2560.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TBT-WP バッテリーターミナル（D端子＋用）,,"●プラチナカラー仕上げ
●専用クリアーカバー×1個",audio-technica オーディオテクニカ TBT-WP バッテリーターミナル（D端子＋用）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TBT-WP バッテリーターミナル（D端子＋用）,audio-technica オーディオテクニカ TBT-WP バッテリーターミナル（D端子＋用）[rn]
14-67225,http://tshop.r10s.jp/cps-mm/cabinet/diy/imgtbt-wn.jpg?fitin=700:700,2560.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TBT-WN バッテリーターミナル（D端子－用）,,"●プラチナカラー仕上げ
●専用クリアーカバー×1個",audio-technica オーディオテクニカ TBT-WN バッテリーターミナル（D端子&minus;用）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TBT-WN バッテリーターミナル（D端子&minus;用）,audio-technica オーディオテクニカ TBT-WN バッテリーターミナル（D端子&minus;用）[rn]
14-67226,http://tshop.r10s.jp/cps-mm/cabinet/diy/imgtbt-sp.jpg?fitin=700:700,1280.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TBT-SP サブバッテリーターミナル（D端子＋用）,,"●プラチナカラー仕上げ
●専用クリアーカバー×1個",audio-technica オーディオテクニカ TBT-SP サブバッテリーターミナル（D端子＋用）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TBT-SP サブバッテリーターミナル（D端子＋用）,audio-technica オーディオテクニカ TBT-SP サブバッテリーターミナル（D端子＋用）[rn]
14-67227,http://tshop.r10s.jp/cps-mm/cabinet/diy/imgtbt-sn.jpg?fitin=700:700,1280.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TBT-SN サブバッテリーターミナル（D端子－用）,,"●プラチナカラー仕上げ
●専用クリアーカバー×1個",audio-technica オーディオテクニカ TBT-SN サブバッテリーターミナル（D端子&minus;用）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TBT-SN サブバッテリーターミナル（D端子&minus;用）,audio-technica オーディオテクニカ TBT-SN サブバッテリーターミナル（D端子&minus;用）[rn]
14-67228,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgtct-8.jpg?fitin=700:700,640.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TCT-8 8ゲージ用ケーブルジョイントアダプター (2個1組),,"●プラチナカラー仕上げ
●絶縁用熱収縮チューブ付属",audio-technica オーディオテクニカ TCT-8 8ゲージ用ケーブルジョイントアダプター (2個1組)：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TCT-8 8ゲージ用ケーブルジョイントアダプター (2個1組),audio-technica オーディオテクニカ TCT-8 8ゲージ用ケーブルジョイントアダプター (2個1組)[rn]
14-67229,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgtct-4.jpg?fitin=700:700,768.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TCT-4 4ゲージ用ケーブルジョイントアダプター (2個1組),,"●プラチナカラー仕上げ
●絶縁用熱収縮チューブ付属",audio-technica オーディオテクニカ TCT-4 4ゲージ用ケーブルジョイントアダプター (2個1組)：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TCT-4 4ゲージ用ケーブルジョイントアダプター (2個1組),audio-technica オーディオテクニカ TCT-4 4ゲージ用ケーブルジョイントアダプター (2個1組)[rn]
14-67230,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgtdt-40.jpg?fitin=700:700,640.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TDT-40 中継ターミナル（4連）,,"システム変更によるスピーカーケーブルの延長に最適な中継ターミナルブロック：4連

■特徴
非磁性体ビス・プレート採用で音質劣化が最小限。
音質に有利な金メッキ処理。 
8mmの端子外形で、さまざまな端子の接続が可能。
ネジ径4mm　使用可能端子幅7mm 

■仕様
タイプ 4連
使用可能ネジ径 端子内径4mm、端子外径8mm
固定用ネジ穴径 φ3.5mm
材質 真鍮(表面：金メッキ)",audio-technica オーディオテクニカ TDT-40 中継ターミナル（4連）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TDT-40 中継ターミナル（4連）,audio-technica オーディオテクニカ TDT-40 中継ターミナル（4連）[rn]
14-67231,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgtdt-60.jpg?fitin=700:700,768.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ TDT-60 中継ターミナル（6連）,,"システム変更によるスピーカーケーブルの延長に最適な中継ターミナルブロック：6連

■特徴
非磁性体ビス・プレート採用で音質劣化が最小限。
音質に有利な金メッキ処理。 
8mmの端子外形で、さまざまな端子の接続が可能。
ネジ径4mm　使用可能端子幅7mm 

■仕様
タイプ 6連
使用可能ネジ径 端子内径4mm、端子外径8mm
固定用ネジ穴径 φ3.5mm
材質 真鍮(表面：金メッキ)",audio-technica オーディオテクニカ TDT-60 中継ターミナル（6連）：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ TDT-60 中継ターミナル（6連）,audio-technica オーディオテクニカ TDT-60 中継ターミナル（6連）[rn]
14-67232,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgat-rx71bp.jpg?fitin=700:700,16640.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RX71BP クイントハイブリッドコーティング バッテリーターミナルD端子(＋用) Rexat レグザット,【送料無料】,"■仕様
接続可能ケーブル(AWG) 六角穴付きボタンボルト(ネジ径8mm)×4、8AWG×3
使用可能バッテリーポス D端子＋用
材質 真鍮

■付属品
専用クリアカバー",audio-technica オーディオテクニカ AT-RX71BP クイントハイブリッドコーティング バッテリーターミナルD端子(＋用) Rexat レグザット：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RX71BP クイントハイブリッドコーティング バッテリーターミナルD端子(＋用) Rexat レグザット,【送料無料】。audio-technica オーディオテクニカ AT-RX71BP クイントハイブリッドコーティング バッテリーターミナルD端子(＋用) Rexat レグザット[rn]
14-67233,http://tshop.r10s.jp/cps-mm/cabinet/diy1/imgat-rx51bn.jpg?fitin=700:700,16640.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,audio-technica オーディオテクニカ AT-RX51BN クイントハイブリッドコーティング バッテリーターミナルD端子(-用) Rexat レグザット,【送料無料】,"■仕様
接続可能ケーブル(AWG) 六角穴付きボタンボルト(ネジ径8mm)×4、8AWG×3
使用可能バッテリーポス D端子-用
材質 真鍮

■付属品
専用クリアカバー",audio-technica オーディオテクニカ AT-RX51BN クイントハイブリッドコーティング バッテリーターミナルD端子(-用) Rexat レグザット：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOaudio-technica オーディオテクニカ AT-RX51BN クイントハイブリッドコーティング バッテリーターミナルD端子(-用) Rexat レグザット,【送料無料】。audio-technica オーディオテクニカ AT-RX51BN クイントハイブリッドコーティング バッテリーターミナルD端子(-用) Rexat レグザット[rn]
14-67234,http://tshop.r10s.jp/cps-mm/cabinet/diy2/imgamon-1191.jpg?fitin=700:700,640.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,amon エーモン  1191 スピーカーコード 1.25sq（16ゲージ相当）　6m,,"■スピーカーの取付け・各種電装品の取付け時の配線に。
■電気伝導性の高いOFC (無酸素銅）99.97％以上を使用。
■保管しやすく、もつれない樹脂製リール採用。
■コードホルダー付で余ったコードをスッキリ収納。
■コードサイズ
1.25sq-6m
■許容電流
12A（MAX)
■入り数
1巻",amon エーモン  1191 スピーカーコード 1.25sq（16ゲージ相当）　6m：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOamon エーモン  1191 スピーカーコード 1.25sq（16ゲージ相当）　6m,amon エーモン  1191 スピーカーコード 1.25sq（16ゲージ相当）　6m[rn]
